"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.5396678180878614,0.49973735176790923,0.3499650435037257,0.2259962851741372,0.18427368299013194,0.11445183395790641,0.08605120387531852,0.09524510416209164,0.29256764097048377,0.218404915015576,0.18198234080163125,0.15109641570543733
[8.0-8.5),,,,,,,,,,0.562281786579698,0.49318998827714466,0.3922625721411312,0.31251988023956073,0.20048586599938187,0.14745526836904557,0.1078530925738319,0.09276243022902037,0.0712815459441854,0.2731008488872026,0.21938190295377336,0.17995333099786912,0.16482597545271585
[7.5-8.0),,,,,,,,,,0.565155999809629,0.49277665469181164,0.4012377601256976,0.2637408553887736,0.19621421965188876,0.14918407060400568,0.09929690085314954,0.07564238293867356,0.06009000226724535,0.19278474109332033,0.19427843743750509,0.165091086655785,0.146328579083
[7.0-7.5),,,,,,,,,,0.48597885998807366,0.37834042228350756,0.3730219160516707,0.2807993530108949,0.2041678770333027,0.13644996090058975,0.0909296909544898,0.07169104275272342,0.05588106001818286,0.23854253250241028,0.19178765988241203,0.15536056417662653,0.1553864120878179
[6.5-7.0),,,,,,,,,,0.4598096117675763,0.38956713444723073,0.3466130060417928,0.2957736618283845,0.2260289958851478,0.11648348038250503,0.11148364115184337,0.07192989995930553,0.05555199722307809,0.19444217086598847,0.158533494790334,0.13963148626539837,0.13149856785922254
[6.0-6.5),,,,,,,,,0.5584782626398157,0.41032947666628344,0.3321090383412313,0.2941688472647915,0.23516581858736446,0.1577469909949072,0.11323341715532824,0.08186724510409614,0.06468265545565732,0.0536862396838166,0.18785085242244978,0.1395294755611336,0.11868611997929474,0.11463521129593725
[5.5-6.0),,,,,,,,,0.578638619493391,0.4016203480360695,0.309710455053606,0.3111616954845812,0.23362401973486543,0.13248840808289428,0.12583021077158818,0.07455792805218903,0.056084185918185446,0.04778266943677671,0.18849763577792628,0.1507831189172209,0.12120541314470284,0.10949118696766326
[5.0-5.5),,,,,,,,0.5569721499658496,0.4301556647621312,0.3328897524040196,0.3122353542330943,0.26922053425452863,0.19438887278989075,0.13254651663302547,0.09851045191305144,0.06777581021186004,0.05036969711795855,0.045183846377616715,0.12480228919952985,0.12566614388513583,0.1094776585559538,0.09158253059106505
[4.5-5.0),,,,,,,,0.5605727690830163,0.416312216450599,0.3434516159376088,0.2778833731933814,0.20489126900182303,0.15037054564419922,0.12234251331636989,0.08112976229321776,0.057084161688277166,0.044837606380551585,0.03748710459269932,0.12002851964169195,0.1152212227771915,0.0873006974391441,0.07775439902836977
[4.0-4.5),,,,,,,0.617769444312486,0.5154095791777518,0.39392188636863024,0.302719578887271,0.20895416346388596,0.1935351411610613,0.14722639264193352,0.09792919596950957,0.07475491399947184,0.06423909432324915,0.04137676185407029,0.033823311396846675,0.12079662954771375,0.10819470607702897,0.09096988457461652,0.0689288946925419
