"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.0022720446179679914,0.0014404359640883325,0.0008947890528922319,0.0005364571059178682,0.00031655971849573454,0.00018825870860411257,0.00011436776765555551,7.15403606064064e-05,4.8498925914365106e-05
[8.0-8.5),,,,,,,,,,0.0037157073686988036,0.0023075810130680392,0.0014492840910352329,0.000897432193316231,0.000536491282424423,0.00031551807890245655,0.00018776611015448752,0.00011363681369996077,7.17911119992058e-05,4.8992371397577644e-05
[7.5-8.0),,,,,,,,,,0.0037973351712792466,0.002305825943952834,0.0014633061840765452,0.0009004304552220106,0.0005381910431911936,0.0003160030493160869,0.00018739559033495543,0.0001142103072947866,7.152766103279714e-05,4.726228492698754e-05
[7.0-7.5),,,,,,,,,,0.0037367025667835565,0.0023143550618698362,0.0014651186659367372,0.0009038241402904211,0.0005401508670750802,0.00031632233724339663,0.00018727880325907834,0.00011409234929633444,7.167596834088566e-05,4.786805912533948e-05
[6.5-7.0),,,,,,,,,,0.003820204734353767,0.002323626248165462,0.0014646281431270958,0.0009084027151889508,0.0005388832662936103,0.00031771420971237645,0.00018701126043159266,0.00011462131631315296,7.172792443813226e-05,4.8866966527047046e-05
[6.0-6.5),,,,,,,,,0.006474253634144302,0.0038191747434128632,0.0023320886937750027,0.0014741873067238497,0.0009100151664566775,0.0005409128732366897,0.0003178276020837698,0.00018829882283739923,0.00011399203347558303,7.174163402812663e-05,4.8306943576255936e-05
[5.5-6.0),,,,,,,,,0.006533999114165245,0.003833283128634465,0.0023326865362281743,0.001479265334441479,0.0009160027455890496,0.0005405737610641982,0.00031693563093381996,0.00018800223113281506,0.00011405054179123015,7.152048259713006e-05,4.852111038955706e-05
[5.0-5.5),,,,,,,,0.011519044169194491,0.006562705461477863,0.0038598012713805777,0.002348889707057204,0.0014849621406380891,0.0009168668596156549,0.0005431625918924674,0.0003166398779644254,0.0001878598203890351,0.00011415614273211403,7.155588431133134e-05,4.764360659907282e-05
[4.5-5.0),,,,,,,,0.011496723272085731,0.006561564032277699,0.003883806779741262,0.0023594474168656906,0.0014986372757421493,0.0009175481828787924,0.0005420440377876331,0.0003174181724646994,0.00018803490441429845,0.0001147351360578054,7.147475539637666e-05,4.766231487332419e-05
[4.0-4.5),,,,,,,0.02180022531067616,0.011621389738434153,0.006653118281885294,0.003896643563204478,0.002376322491620545,0.0015085635325281339,0.000925580192163068,0.000543982224045671,0.00031887607436854317,0.00018852318064924422,0.00011426459724775268,7.138602497428167e-05,4.8854179139686534e-05
[3.5-4.0),,,,,,0.042622478531631806,0.021825330887649815,0.011805206674605394,0.00661395179316521,0.003928107301275239,0.0023936443152663394,0.001514617515132822,0.0009276763929557056,0.000545861056461622,0.00031913162752469036,0.0001885956090894193,0.00011505902139269256,7.18378815415199e-05,4.8335278205063076e-05
[3.0-3.5),,,,,,0.043936686639014594,0.022055463862601737,0.011870389963725836,0.006701308710625682,0.003936515976083538,0.0023908283509549684,0.001518857047989721,0.0009342453619056049,0.0005472714373415552,0.0003177832305039181,0.00018958600295500915,0.00011521080963193195,7.201201226708145e-05,4.80085185905859e-05
[2.5-3.0),,,,,,0.04428298108273712,0.022281266831818736,0.012022327090646939,0.0067899361816843974,0.003967977302081999,0.0024094144198391035,0.0015336430004524175,0.0009357440050870534,0.0005467354590699427,0.0003189023027294903,0.00018881370469940012,0.0001147338570858815,7.145367737379918e-05,4.878606981347069e-05
[2.0-2.5),,,,,0.09799020632477312,0.044526466831558795,0.022621942444325388,0.012146097602421305,0.0068442686609853825,0.003995817728377833,0.002408758528163405,0.0015422069721155996,0.0009373304505255525,0.0005490494484844437,0.00031918057354996156,0.0001887052849681473,0.00011490314072076626,7.155350576470214e-05,4.849543654539455e-05
[1.5-2.0),,,,0.22368321756181664,0.0972348305898693,0.04532069534418095,0.02275370954071968,0.012219901069693357,0.006894825772405203,0.004029329474857999,0.002426361684213292,0.0015467799551735675,0.0009424072250845347,0.0005481951904532245,0.00032032305271701507,0.00018918876598998774,0.0001145820210319757,7.212064375210661e-05,4.8918860707199294e-05
[1.0-1.5),,,0.5681773981112492,0.23054260176001273,0.09885850933058943,0.04606351178694127,0.02318708143935622,0.012329619302263303,0.006912135842881714,0.004054082086218833,0.0024466098764891753,0.0015653955673088473,0.000948422739635446,0.0005502048116584409,0.00032004103689827526,0.0001894239395030227,0.0001149950864364094,7.197325531798924e-05,4.908983779953947e-05
[0.5-1.0),,1.1769487118878024,0.5904554224280623,0.23780930685852458,0.1006930846982336,0.04661388087163166,0.02335325422111209,0.01250359718429054,0.0069868589549821,0.004078445276006263,0.002460853061714183,0.0015721041130802563,0.0009502766910171583,0.0005526847068240586,0.00032001656775645557,0.0001898185079688297,0.00011551255448711425,7.188870609239679e-05,4.8510539593545343e-05
[0.0-0.5),0.6437770067412627,1.2287604462072745,0.6229685438251751,0.2478765053391879,0.10489487089425566,0.04809558815632246,0.023766468425313318,0.01263535529804564,0.007079510623730839,0.004104999608494429,0.0024626454403599675,0.0015786807465831547,0.0009528344651185907,0.000551453758297731,0.00032039860921489143,0.0001890252994380995,0.00011497037652788895,7.176839377912004e-05,4.8641326731535786e-05
