"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1000.2321423632525,689.271115628206,462.4241863189152,297.7756044958167,187.83367671680497,118.91184836439454,76.6174693473741,50.665106945083906,36.20369039935614
[8.0-8.5),,,,,,,,,,1327.7267471058271,903.0934630361746,616.5118652880346,412.2999809387053,264.7332998475891,166.43085665106298,105.43360469721591,67.67604928396882,45.19811368412499,32.511796962914374
[7.5-8.0),,,,,,,,,,1197.4065795560387,796.3386068623358,549.3114230068593,365.0542034632111,234.35697160461524,147.0944819089929,92.8574430670694,60.022870091564805,39.739203802237,27.677237137165093
[7.0-7.5),,,,,,,,,,1031.1547504994437,699.4776556523163,481.3143742393735,320.673980524603,205.8396796420958,128.85686959800927,81.21169729451877,52.473567211525065,34.84907979473967,24.531632363312653
[6.5-7.0),,,,,,,,,,913.8049105972159,608.7537703592235,417.07574857017687,279.37641629787686,178.008298948644,112.18786602015618,70.29577956566914,45.696295089532775,30.229957904214707,21.708386333288665
[6.0-6.5),,,,,,,,,1201.2775297728685,783.229195426466,523.8089839533698,359.9090104306274,239.94540521806925,153.18821605335938,96.21734047457875,60.68223782845874,38.96212081684967,25.922270107819195,18.3981523386131
[5.5-6.0),,,,,,,,,1026.14414213242,665.3740980625042,443.46557947325306,305.67631324982125,204.42605023825615,129.57721982009164,81.20980330755802,51.28054607633676,32.994465332259786,21.872975091775416,15.641234819483621
[5.0-5.5),,,,,,,,1349.3480333820485,859.201704089422,558.5253058477426,372.26231716689404,255.80793125835834,170.5802140225563,108.53916230801194,67.63724643205718,42.717561970650436,27.531250985471566,18.2433963173124,12.803474842147711
[4.5-5.0),,,,,,,,1102.4279800123459,703.2151202717616,460.0490499565392,306.10143597243484,211.3312720870765,139.7397209143686,88.66654736873018,55.50354325081955,35.000934629492775,22.65122568891205,14.917004809834422,10.484964548461427
[4.0-4.5),,,,,,,1476.6246362778306,892.1232466394843,570.8167575911274,369.51140289199964,246.80336877815256,170.30268003930888,112.84847249138156,71.23617218323076,44.63766797293404,28.092899591435035,18.059162518140912,11.927043203906154,8.603678954428233
[3.5-4.0),,,,,,1947.980464140985,1150.945183528408,705.5455551619631,441.79131118408236,290.00479685196103,193.54858330473914,133.12068004097068,88.05678261259237,55.652240522063806,34.780360968511175,21.88003746076466,14.157653022928967,9.344536934893018,6.62721978514732
[3.0-3.5),,,,,,1508.264071029923,873.6031389327406,532.8692244653801,336.2172229659229,218.2921124862574,145.20546562753069,100.26829730869642,66.60877478711367,41.90902053767128,26.013536634531672,16.520642788751346,10.647999046451211,7.035798636032192,4.944127281727369
[2.5-3.0),,,,,,1088.3926444241483,631.8828015586095,386.4051066478243,243.90723877644422,157.54109882172438,104.77188016269102,72.48859494325879,47.766807259678174,29.976480091819198,18.690664649036222,11.780205044761011,7.5921544493548145,4.998408025039046,3.597210366402628
[2.0-2.5),,,,,1364.2074036777008,732.5995245879908,429.46343859148976,261.3308812270959,164.58327295713286,106.2013430620421,70.11745528075662,48.79639247709514,32.030338989052865,20.1518305389056,12.522850315374274,7.881394167497778,5.089850061615193,3.3507165121376925,2.393704438232834
[1.5-2.0),,,,1541.3171710118927,818.8995888740556,451.082545847551,261.3121330067026,159.0496498602276,100.29816865795695,64.78406296295127,42.72671278294344,29.606335079494066,19.481324356044365,12.17164633803175,7.602667454330405,4.779972415715784,3.0704400948412243,2.0430426112901454,1.460686606429029
[1.0-1.5),,,1553.6100729604473,810.5013343125448,424.78265727987645,233.91627079306113,135.86180530872784,81.87637817909224,51.30100820888772,33.25614211351386,21.981260609082433,15.287066087000461,10.002896082092594,6.2327888820682755,3.875496931190052,2.441792970156152,1.5721984473727848,1.0402384557678133,0.7478529977273591
[0.5-1.0),,827.542063046111,581.2295564526238,300.9774039928202,155.7596153925801,85.21600096845162,49.26077062265831,29.891412018694574,18.668013770342796,12.044158705705996,7.959321621481811,5.5269285225477764,3.608081811205773,2.253917320016864,1.3950722250632985,0.8808765135428503,0.5685383541162654,0.37404592388700203,0.2660499905833502
[0.0-0.5),30.17704719099669,95.99690985994332,68.13718448087852,34.8576335633233,18.028805934950192,9.769416344252999,5.570266037182809,3.356266251043373,2.101729716420093,1.3469529965372344,0.8850132051293633,0.6166721666340449,0.4019770399719055,0.24987748422865935,0.15519307633846302,0.09746617002277005,0.06287442466368927,0.041491102653553776,0.02964080847702962
