"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4025.257342430766,3180.4125718195482,2812.4648375096367,2507.442480618361,2166.854561460828,1877.700766916717,1616.3158174791522,1349.1588718911273,349.33734606256803
[8.0-8.5),,,,,,,,,,4632.4170211975,3833.546263478594,3016.528467901095,2649.462799814145,2356.144057452529,2049.1067258274184,1767.4072890941634,1508.2611809599402,1276.3991780994631,329.98885731066963
[7.5-8.0),,,,,,,,,,4385.9001012458775,3588.9236614550246,2836.7307388307527,2486.3444301074446,2218.552359532437,1930.8412990395668,1651.5741120543125,1428.5434950235401,1210.7309837737257,307.6980075267288
[7.0-7.5),,,,,,,,,,4083.995423193157,3364.919847893744,2682.7112320556344,2340.322224744552,2081.4048166382927,1797.0431986515791,1542.9268535501212,1331.5323211594193,1131.2265427316577,288.7275136753745
[6.5-7.0),,,,,,,,,,3803.8028731950726,3137.696158144777,2486.958688857196,2185.0352528277217,1937.918823631025,1686.5851284304272,1436.4423517556797,1237.5776856520056,1044.7831067263014,271.91383008416034
[6.0-6.5),,,,,,,,,4387.211821200959,3556.984546985342,2919.9609259542012,2302.3149761836653,2014.5638057358485,1797.4902052446778,1556.2878795078773,1346.1411884858646,1147.3120148213109,967.2823148597626,249.38276373619124
[5.5-6.0),,,,,,,,,4038.3136277122594,3259.5166898386515,2684.0787658233317,2123.461357863137,1867.6614443226133,1654.6722185963645,1430.7001329530124,1233.5220135722757,1056.836881571522,895.1706903050143,231.3325338927626
[5.0-5.5),,,,,,,,4590.05212701835,3708.27953369528,3002.055984329728,2456.863539752975,1948.5473011169386,1701.8855219130298,1509.7476313786422,1306.316068318603,1121.9213027114663,971.5598375012266,814.9435826497177,208.5801826104247
[4.5-5.0),,,,,,,,4133.174642004865,3340.664202330253,2700.0508870797735,2218.1655774160313,1769.2832247162464,1547.6167843085505,1361.204217081054,1191.2013691933596,1018.9006287314824,877.1770399884159,737.7479417117979,190.32464137668316
[4.0-4.5),,,,,,,4796.866028222894,3739.3654788998433,3010.7027633161892,2427.8005502042265,2010.4294756980821,1589.0297169733908,1386.936704512957,1229.542013585751,1062.5090575866075,907.4995754678146,783.7891324887638,657.0808000770514,171.35043729830835
[3.5-4.0),,,,,,5463.820078668332,4251.027216169505,3336.118620008677,2653.6179135527186,2153.264870441375,1766.608522988647,1401.7561248796467,1229.9767391144985,1085.2260466877556,934.483843868764,810.1340528915134,694.9614858831814,585.2266011027158,151.26399252487303
[3.0-3.5),,,,,,4804.403502962437,3668.1288542050925,2894.651697279461,2298.379721586454,1867.678835337093,1536.748784920196,1219.7719859557048,1069.7134577924328,935.9940631251371,810.9679232361806,701.661907259464,599.3058365969056,508.76162638617427,130.0162570638606
[2.5-3.0),,,,,,4081.3071746868927,3121.750833989365,2476.618046626743,1956.103179947175,1585.6603764950187,1297.5327552818849,1032.6695846584735,901.4482386132476,799.5649517450614,685.5285053822379,589.3244609395895,509.22619228148653,426.1563791648022,111.32705926489331
[2.0-2.5),,,,,4749.360380052018,3350.4552781242114,2601.444849228743,2018.8661918651635,1622.448792545742,1307.5736855835614,1068.1776353710409,856.236472651901,739.3388737691786,655.1531865053676,562.6638028106038,482.3637564877757,414.42276612974143,348.53809266005425,90.62017435124262
[1.5-2.0),,,,4765.694840295267,3686.0394401356693,2638.816567611464,2007.208497976824,1575.4097199794162,1265.4004531243042,1010.9283394107332,827.7218046844972,658.64671328208,577.126694710927,506.36556334866134,440.35387925084933,375.3545203306482,323.43214394251083,275.8281067308268,70.4899180210906
[1.0-1.5),,,4714.079011150721,3444.915119294997,2661.261725458726,1900.1546079412803,1452.112040537183,1138.3411223223773,901.2973454146972,732.3027521846052,595.6990173556895,474.6721963737883,411.8202317168902,362.8414108323551,313.47370333687775,267.91225833850444,230.12762571858732,193.5259821979488,50.450588564426695
[0.5-1.0),,2984.7750915313195,2880.110920693159,2118.380521954634,1594.2174994572433,1144.9882440810504,871.263198925962,685.9081223533764,540.8362245548229,438.10622834122057,359.13606422052163,283.8391110736724,248.0715227029061,217.4249647310826,187.36234086429914,160.97571321597508,139.13711530113667,117.06486740804485,30.24265071711983
[0.0-0.5),533.8858531044236,1007.811817985325,980.7263306920095,712.1555664411369,541.9542987366142,388.82074464713304,292.9259228505873,226.71541925189615,181.2504650550571,146.6604165063748,118.86642433801767,95.68580622238972,83.10587606308763,72.70204713247303,62.7205646930862,53.90690349550583,46.17657663256174,39.1065935431748,10.088029497880978
