"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,21075.448474799636,17201.485687169086,13667.055909461287,10919.188936308314,10610.284694273912,7650.20153297585,6548.949515984767,7689.788936034136,1940.1854085411028
[8.0-8.5),,,,,,,,,,21958.583454849257,19260.3669106127,13502.090641068411,12204.723744092318,9686.632894075397,8490.319136617676,7209.127766777185,7059.709163745444,5755.046919914758,1811.0898399888172
[7.5-8.0),,,,,,,,,,22070.82904519709,19244.225146385485,13811.026059063486,10299.774457814212,9480.24492844389,8589.861749514854,6637.213899131575,5756.783459437998,4851.477025155493,1278.467230408335
[7.0-7.5),,,,,,,,,,18978.753374271088,14775.18912286119,12839.80700514698,10965.953680741264,9864.532164030099,7856.645117118168,6077.931974326423,5456.065674759898,4511.660319362763,1581.9136365949312
[6.5-7.0),,,,,,,,,,17956.77536481798,15213.621776833957,11930.78452375434,11550.739846140068,10920.769380135036,6706.996186234764,7451.801276991635,5474.243965323989,4485.092828431673,1289.4586067955024
[6.0-6.5),,,,,,,,,21810.04583572333,16024.445878230646,12969.731918378611,10125.601374272295,9183.844073253917,7621.670407017095,6519.86096673311,5472.179014852742,4922.690515204236,4334.457456577614,1245.7477581699302
[5.5-6.0),,,,,,,,,22597.360824426112,15684.33148646124,12095.008297356613,10710.51309720611,9123.632770698428,6401.282032636682,7245.171083374604,4983.608875067372,4268.301728299797,3857.821837685025,1250.0369530536163
[5.0-5.5),,,,,,,,21751.228172350548,16798.710697552702,13000.220857041186,12193.612254787155,9266.854179076932,7591.39703211047,6404.089593111442,5672.128125940962,4530.277840476961,3833.3990543456875,3648.0010706981075,827.6362336389874
[4.5-5.0),,,,,,,,21891.841824189374,16258.087610860235,13412.689422405565,10852.076995236263,7052.57315406275,5872.365519368201,5911.075117075135,4671.366313093697,3815.6255444269473,3412.3778329619786,3026.5904444842504,795.9786039396413
[4.0-4.5),,,,,,,24125.52250946656,20128.10040788904,15383.686299238085,11821.996186018689,8160.209962642282,6661.683279964952,5749.578070542877,4731.526415789989,4304.309258706431,4293.876304764548,3148.98934952556,2730.787351724358,801.0723854216807
[3.5-4.0),,,,,,27640.925374135244,23014.82188893495,16241.20254828384,11445.211714204816,10888.412192898559,8069.334553395258,5992.225516242519,5283.419582656756,4229.969090410873,4137.21883560179,3126.18334311405,3193.317976714203,2621.9519143705193,680.1040516661375
[3.0-3.5),,,,,,26999.806825001146,18742.468782295997,13833.543038477836,11092.95974416014,9442.919294337755,7113.518230176164,5697.076419445067,4327.66718251573,3896.750482564922,3239.5371121738735,3021.712751086913,2549.0769502569015,2109.8136794286943,566.7216345319501
[2.5-3.0),,,,,,18500.003013882673,17642.64415648341,10618.887293760967,9524.172050090701,7470.651136733811,6117.54682047688,4254.08411946758,3687.16463668562,3347.630930975484,3170.595699473009,2316.846452370626,2101.80206656077,1793.6464728810706,449.38624676833007
[2.0-2.5),,,,,22750.452871834637,16512.937169277127,11312.642039109183,9653.768440999176,7094.856441307681,5272.597460120881,4922.32049087961,3185.220041916395,3089.305993817226,2488.6791895320625,2486.9453904199186,2075.995091761555,1715.3141894077276,1530.4331715108235,408.6018049118618
[1.5-2.0),,,,25199.27384549482,19348.259842605425,13109.470841244707,10393.663197927333,8392.93813517465,5512.730688469654,4624.414721237501,3697.40718213147,2717.8658266695033,2457.566531631783,2010.1901638802508,1778.5002941284843,1512.787789935362,1279.3370166549769,1205.4014769380499,288.16520550661875
[1.0-1.5),,,20412.771575321625,15310.837357083401,13842.295060170953,7701.854743081298,6662.1112596863295,4991.067349655413,4238.889929566115,3196.983218483097,2596.5306125727643,2021.1801054155096,1748.2121841500832,1610.5549766430263,1469.9753505235954,1087.9641170864106,924.9424309755575,802.6383296828269,234.07173212595032
[0.5-1.0),,13834.812810869444,13708.063277594782,10198.628672620966,8010.250767276307,5191.45556892618,3988.3948999885297,3124.1037047956515,2561.55768579516,1992.2201468214735,1504.5263489790434,1294.7603313502407,1031.4263722994153,832.1754334148287,796.463627152464,646.4496031848367,588.7163345508411,447.63538151021896,128.00758230231847
[0.0-0.5),2675.312723376428,4896.46544590587,4692.320777764901,3444.8124546075865,3140.188983515859,1823.6100258071306,1420.0658138881506,1133.814571903753,823.9212946976976,687.8831817725428,569.331609721861,418.6787223697779,334.833557773277,270.9522476248087,253.88741652108075,215.64644308942374,194.41150014209987,157.0391123876459,42.836984583523424
