"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,47626.50934202518,36179.99811024228,31703.30758818581,32613.797137518697,21971.464149576186,24125.317004628592,15297.199150577475,14193.429309136107,10463.72770979101,9508.540707582017,9136.535213372144,7575.999842039334
[8.0-8.5),,,,,,,,,,81771.62175845704,32248.338553820042,30602.81511838876,24695.718734211972,20707.85800045883,17689.757641037857,14337.199706560794,12435.275841873996,12832.036859076417,12983.830570353108,8552.146447992338,8667.810080230478,8439.739208711802
[7.5-8.0),,,,,,,,,,60217.08087479508,60605.6831034536,34378.60842200044,33224.81147672164,20584.32855230939,21070.47078068339,14022.418106472953,12511.001673492185,9514.2205067678,8613.046676222226,8562.99399597147,9028.249689865243,7020.243778160814
[7.0-7.5),,,,,,,,,,32170.2772697405,28837.21188043115,22897.3835300648,31380.671367122486,25735.973877979737,16786.66971311942,13685.520353399745,12548.528537335358,9506.637045544867,8219.03637263057,7254.189154076306,7484.008583183361,6319.323132279131
[6.5-7.0),,,,,,,,,,33344.7100406903,26476.88077254962,23705.431289702807,18451.344703593226,17867.008832121035,14931.803134638765,14994.07363701079,9966.849345716664,9214.072292408127,7721.7196822425085,6516.893592191972,6271.901086489454,6584.781714182314
[6.0-6.5),,,,,,,,,42319.38347736017,32695.822613606153,25384.28281562087,25237.829423965293,17190.224812803444,15162.486578521824,12197.340404352659,11124.522306731442,9981.852870020633,7869.318761877839,8266.019235828493,6092.42397253673,5697.559545977126,5782.181159325795
[5.5-6.0),,,,,,,,,34951.694710294076,25190.15222623152,26202.45542978803,16151.840368650983,15829.620204504294,13755.674579804805,16349.458801039678,9308.55599929283,8434.216729301386,8233.95972208047,8336.83531168337,5875.78512800013,6237.003340316687,6385.784910519917
[5.0-5.5),,,,,,,,39337.55616700407,32471.21087426911,23145.214665763175,18746.349973768858,21506.907888493763,14659.557234010814,11033.02533007614,9795.437775128357,10835.93085270556,7064.342364056455,7497.905401232114,6173.723358985257,5719.779301334061,5147.1496556346065,5053.4348766120365
[4.5-5.0),,,,,,,,37380.096674960114,29312.561617501975,18152.98710966391,16845.14915729611,13925.173654993258,10264.471916846134,10882.700869714801,8957.626173971625,9196.34498185592,7313.915915008969,7252.239468299629,5743.34319858244,5717.003407202567,4865.8631635043575,4262.931342663396
[4.0-4.5),,,,,,,35175.781616168504,30396.130352164597,22931.536084661282,16124.119813556652,14266.007175673154,12250.03592580343,11866.330930413895,8921.159370978561,9699.510004869211,8119.955193026397,6410.429061184653,5671.752467676404,5066.519850634511,4868.973968011226,4496.480456766174,3782.98789780551
[3.5-4.0),,,,,,36660.97934514838,27498.62887947298,17117.31872179736,16117.992474093227,15436.663462579256,12238.83919691984,9604.302596271358,9160.676280979682,8503.724765779189,9509.308113688196,5889.866274909073,6181.077656535841,5767.96569838036,4411.4332740194695,4103.893085283245,3840.680954043624,3296.1225625770116
[3.0-3.5),,,,,,28258.86477105769,24377.29426801497,17819.597260683546,16321.892133915351,11217.459645818315,9520.824287201773,9537.736465415031,7652.484728162409,7179.712871597119,5634.133506569585,5617.051843352096,4444.226496116261,5176.670020492339,3818.110743027928,3262.557715474237,3359.271844468278,3035.317668053228
[2.5-3.0),,,,,,25888.902465768137,17934.445723843513,14986.401186678471,15187.816656797397,10796.80057556868,8428.457791803883,7335.621206701528,6178.351066267445,6058.960985571432,6668.555970855766,4710.983313358777,3934.499635374719,3651.3934494276477,3273.4205553656398,2864.782083637532,2709.026426317674,2524.6465300135537
[2.0-2.5),,,,,21976.030653542097,17553.043587883494,14690.83589660714,11433.505889650281,12460.704181707688,8292.821067551049,6983.322835809974,5821.338113126633,4910.036340270358,4784.189431002909,4463.972328352727,3552.8617046077184,3316.628696450103,3203.2654179924516,2674.4387730703866,2859.950973473561,2180.8473254784517,2199.6794617919236
[1.5-2.0),,,,29172.323314707803,16478.117209545715,11962.898671307074,9808.772849000281,9818.43011283353,8313.721059891062,6031.65702129355,5522.993143151903,4392.49118831564,4272.003795861168,3844.077029480111,3650.626237516218,2867.8336864858607,2364.2181735885233,2695.9129635987356,2141.6478363324513,2259.9295283076667,1903.8913402706928,1782.8876235045752
[1.0-1.5),,,19088.24419678988,12942.13212371333,10851.639814086626,8840.340132444939,6987.437973345675,6356.5704049704555,5240.480150308451,4311.1116854725615,3598.7543714006174,3258.281390941578,3296.9387683853324,2565.2159703454026,2436.158699476739,2020.8816590865918,2178.897779214893,1682.6961427030085,1645.3631344146725,1352.4456434763108,1262.8206595230977,1423.7127967440224
[0.5-1.0),,11471.17517438411,10774.349751616006,7417.9194497869175,6517.116011277312,6095.025063597635,4378.59981890367,3795.5997498450356,2965.0171418221626,2372.6929065584623,2326.116687339679,2046.813111994036,1646.7364991301251,1623.1969538871772,1408.1877973537366,1264.2777534516404,1160.6311294834231,943.7251370934256,960.9963382888747,722.2410515035838,744.8964177929779,715.9035845223189
[0.0-0.5),3855.8827815570958,3295.14349815892,3044.134704411091,2417.6044621812416,2461.8267508160984,1683.8192243293379,1327.0908447139207,1180.2840964853078,1092.4913663761138,840.000080585347,754.1853280368581,862.9632069776659,640.6132703782714,558.2035535654704,487.08489029276353,374.3594724341562,373.1284901786425,340.3483261230763,299.18416172438646,304.73871028307576,254.43443614416802,211.95074034109584
