"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.4848157362797952,0.4979905270417291,0.4056699424462637,0.31885928645816397,0.4196223729384137,0.27013220651059133,0.19351436991772722,0.11598688601785058,0.10374953983957289,0.08074751976506042,0.07099503823374627,0.06499878637592359
[8.0-8.5),,,,,,,,,,0.6042747279884916,0.44051669350501627,0.44092046969324156,0.32805911102642055,0.2989902044420548,0.3447997385301529,0.24544082929268274,0.17131093088887847,0.11803785880997181,0.11262653109378233,0.07593645075716185,0.06159150966788123,0.06068425157226796
[7.5-8.0),,,,,,,,,,0.5914078955459099,0.633743045991674,0.5422124120238809,0.35870824619005476,0.27200221272014535,0.3770031894486951,0.21990436992801937,0.14868886475624504,0.10729330746978831,0.08399033042160368,0.07883279443508148,0.07014680589555158,0.04782816026695439
[7.0-7.5),,,,,,,,,,0.4945797190374299,0.4023939024354429,0.32274331932358236,0.3173150984300791,0.31534272710293476,0.3054146971792147,0.20533378955824885,0.1683016608007854,0.10619227484906127,0.0829252786076637,0.0580626244955675,0.05485019066478711,0.04574214314131866
[6.5-7.0),,,,,,,,,,0.40044629856523195,0.3643059695591526,0.36326148211121234,0.2671454028245006,0.24952011894134998,0.2606330321357135,0.20753838176603615,0.12167710356730996,0.09994500192305547,0.06641975144271349,0.05712128923276002,0.055262892894899045,0.04537696886005762
[6.0-6.5),,,,,,,,,0.5138687166101276,0.3791981426872473,0.3595372427546917,0.38071751070770155,0.2281496573951349,0.1930410359841455,0.24833146921054544,0.1830941873224708,0.12396165386637135,0.08023338758879134,0.06697360911545061,0.05683781596188522,0.048065714321592665,0.04086931947258843
[5.5-6.0),,,,,,,,,0.5089352494987739,0.3799136524399217,0.35786072090669907,0.2683196557226664,0.2231385118257666,0.18431663654113134,0.28292933347804067,0.16023714837670608,0.11722174050064213,0.07636643243545095,0.06495411029032555,0.05626021123565475,0.041515020075481204,0.037570868066231396
[5.0-5.5),,,,,,,,0.4706738625024554,0.445623681518441,0.3222906313317762,0.2612488733151821,0.30802179469591195,0.20092023284549437,0.17282740391802978,0.20480260438587267,0.15456122263855582,0.09631474450071152,0.08878411307404617,0.06209137445584653,0.04333004469244216,0.04032319296107108,0.03202903032687427
[4.5-5.0),,,,,,,,0.5231497016919036,0.3483120116147777,0.29602867087753354,0.2348573195130307,0.2202675361541688,0.1759948422595734,0.16607170819007117,0.18254718212674284,0.1554096362859412,0.09489293591984033,0.07209720395022855,0.04696823971556313,0.04154263849248936,0.03605453281225361,0.03166443757445074
[4.0-4.5),,,,,,,0.46903965177433365,0.412879713515784,0.3522763251290768,0.2593684158393575,0.19988247107952356,0.20138927885943972,0.18039075080967432,0.1292848628011278,0.1676061024524764,0.13441794900601384,0.10081888842804282,0.05755582598058628,0.047624173056043106,0.035477347314263795,0.037259177165200004,0.024381253300618147
[3.5-4.0),,,,,,0.5189863716161238,0.43808128699023663,0.282320774765787,0.28518924994999767,0.24469838473656783,0.21357667870316885,0.17859838145808157,0.14518075051370094,0.1193323960654783,0.1869638452348225,0.107124810232159,0.06930104234180509,0.05401791651471366,0.04279918992406057,0.030796296338207338,0.029834257233404028,0.02389705381857424
[3.0-3.5),,,,,,0.5271945271732837,0.38212473553238496,0.3087879172671275,0.2463787080410537,0.20356667691709293,0.16539610870000035,0.17000788858426938,0.1082395572521093,0.09555068797406976,0.11695050591230148,0.09221419098453783,0.062045985913274176,0.04753438787742916,0.03526839814287989,0.030944243590576178,0.024387558980368394,0.01980380293482845
[2.5-3.0),,,,,,0.3932439722191455,0.2849055447942279,0.23356982581783445,0.21759589107672556,0.1623949665445952,0.15566021203823993,0.11422746604961813,0.09664920058739246,0.08852097218972081,0.12658130018715974,0.07675675120797436,0.051700298133810885,0.0420760976491099,0.030137511322456303,0.026781435897548635,0.018105266934845293,0.0181049889689443
[2.0-2.5),,,,,0.383933742318094,0.31528444457129295,0.24596969394150744,0.18106218365866936,0.20190739202594418,0.12045979153188936,0.1314528263825502,0.09107995238518263,0.08138824321670944,0.07266312674700172,0.08368155190938747,0.06303432539727398,0.051309262131024186,0.030571206233639795,0.02603418607814699,0.01970791582174706,0.015637912113129943,0.014986876956164621
[1.5-2.0),,,,0.41825317616905144,0.3533255956727848,0.24112954166536174,0.17919549749936128,0.16608446069093338,0.12057833081579368,0.09882025761362129,0.09129633252143775,0.08086073325544463,0.06417504895409991,0.05699955229222423,0.07075258269009335,0.04513482327232038,0.030959176875300743,0.02185763647435739,0.018383162703654553,0.016250130514494456,0.013627433926365236,0.011173036075733729
[1.0-1.5),,,0.3161275812430881,0.26166741236833807,0.2206220733637993,0.14293862215119474,0.12130976132759345,0.10220474333231917,0.08879189659826928,0.06667257276716841,0.06437102388419949,0.058882516604063226,0.05098285543276487,0.042864860303214534,0.054380395631360774,0.034036680785312946,0.023968450214178375,0.017632200026254107,0.01627137616390728,0.009925405312200373,0.011332432098873727,0.008326709343502678
[0.5-1.0),,0.1415182104183737,0.19316215723498958,0.15787973243266165,0.13398917033430058,0.11819866731369938,0.07425391101733232,0.0579312194026109,0.055909754060763234,0.0404603003272232,0.036281924081306836,0.03453015300968811,0.024307186410888675,0.02385812257685004,0.032262677818603924,0.020910625462160094,0.01448520155447176,0.009351327451214548,0.008136174845388797,0.006030247590951721,0.00662929975673993,0.00510468116878154
[0.0-0.5),0.009445839952843921,0.0512622140705059,0.06813981155593223,0.048728666857784084,0.043821248186995995,0.03168912286537113,0.02644942976703316,0.02135549837519129,0.020842156088228366,0.013028326776964187,0.013009671124867643,0.011908941297605247,0.010013686115444446,0.007973839637294498,0.010258704627146231,0.006780053993905932,0.004882548151854379,0.0036185045063489045,0.002623297417521846,0.0021644993427471014,0.0019848328720411443,0.0015110938560350575
