"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.0039108664778941486,0.002564722952849096,0.0016961127723935773,0.0011690289928766012,0.0008060315894966115,0.0005531918526106521,0.00033284806773878334,0.0001993632057518448,0.00012264255918206348
[8.0-8.5),,,,,,,,,,0.006287644185080402,0.003990109660577841,0.0025861722824341814,0.0017105219911284057,0.0011706784839128315,0.0008158052298852293,0.0005588445626967146,0.00033159352989106195,0.0001999734916528895,0.0001231621686540069
[7.5-8.0),,,,,,,,,,0.00636545722920763,0.003955403969739496,0.002604433972360846,0.0017182426274418348,0.001177743274329498,0.0008183420269002299,0.0005596667068917518,0.000334023781603078,0.00019980342710607942,0.00012216651678247236
[7.0-7.5),,,,,,,,,,0.006303051683292661,0.004031067821514226,0.0026164125697233725,0.0017344816025352304,0.001189245887002723,0.000833150782629642,0.0005596059739411972,0.00033422550453430616,0.00020034283854631428,0.00012315735380667248
[6.5-7.0),,,,,,,,,,0.0064623965229179195,0.004031564130306492,0.0026097524463040405,0.0017454970419794019,0.0011893043252697334,0.0008397650249765458,0.0005625733304126981,0.0003363829531124466,0.00020077445444759102,0.0001238764956336804
[6.0-6.5),,,,,,,,,0.010667373518603864,0.0065264547008747,0.004066482601799418,0.0026378085150072176,0.0017515805414282785,0.0011995443830717933,0.000853796296776375,0.0005676648230705017,0.0003360330260513227,0.00020110907372540421,0.00012351064145996456
[5.5-6.0),,,,,,,,,0.010723664318796209,0.006556991960931622,0.004082375097529439,0.002662546137431136,0.0017689869450615654,0.0012062588452670345,0.0008585230905723597,0.0005708693565729299,0.0003369279263099426,0.00020088548335294926,0.00012374050410220364
[5.0-5.5),,,,,,,,0.01855104395979189,0.01076279965353601,0.006627726282343693,0.004137058695053392,0.0026712957028582097,0.0017781575561335598,0.0012133672859298734,0.0008648250506109518,0.000576261168515257,0.0003379096051696753,0.0002011401253694866,0.0001232575101272671
[4.5-5.0),,,,,,,,0.018608319571902555,0.010915669217631548,0.006654991949601859,0.004187525385532107,0.0027045423735585234,0.0017808415048233505,0.0012173555956368264,0.000876433377321953,0.0005798418969653833,0.00034003539893126013,0.00020119985683232595,0.0001230423153849354
[4.0-4.5),,,,,,,0.03440385999395327,0.018920400381585635,0.011118950170096717,0.006775366083255169,0.004212495766249808,0.0027533874905744946,0.0018084018183270564,0.0012270664723829413,0.0008931888233174751,0.0005852888210042611,0.00033983743164928197,0.0002013316363487268,0.00012480841019486824
[3.5-4.0),,,,,,0.06443910382460162,0.03430408613679135,0.019380845846052836,0.011098418683832855,0.006870741967357107,0.004291566173635623,0.0027681281043071227,0.0018200571056423318,0.001237196221753351,0.0009053500038567664,0.0005887867463010488,0.00034263216461684733,0.00020256447868344712,0.00012395120634077405
[3.0-3.5),,,,,,0.06668262907813677,0.0348992008234932,0.019557386498159225,0.011346481240454011,0.006927891569900207,0.004316839098982657,0.0027863099415895865,0.0018460887754987285,0.0012500621513371925,0.0009187253379990468,0.0005960438843630339,0.0003435845489227419,0.000202868468827213,0.00012362822389955707
[2.5-3.0),,,,,,0.06727169345370834,0.03578590936765553,0.02013580444823076,0.011574610797316889,0.007043850873547148,0.004385037980037896,0.002836715303068559,0.0018522799908615288,0.0012563298457044499,0.0009347548193997026,0.000599211639499784,0.00034352463572960286,0.00020225446513839006,0.00012465619920041848
[2.0-2.5),,,,,0.14220871778644098,0.06858495489488746,0.03669447637147875,0.02045611064904221,0.011882117926445989,0.007159367356642604,0.004432135763819518,0.0028672538628617653,0.0018680286962066582,0.0012701485874512897,0.00095561956611294,0.0006039285433992696,0.000345287922589607,0.00020275174739671622,0.00012446415093627787
[1.5-2.0),,,,0.2991446739154529,0.14342327360943563,0.07077923397002715,0.0371234698339321,0.020863544693388542,0.012055470517643612,0.007313742324363167,0.004523358921156368,0.002903770800247624,0.0018910185526641462,0.0012778387610207279,0.0009797320431090895,0.0006106905863783476,0.0003454093453167501,0.0002037943383989867,0.00012459466048057736
[1.0-1.5),,,0.6101342208855115,0.3096408039882117,0.14857433769187026,0.07338040479269359,0.038674613256350174,0.021205166061178476,0.0122803778905211,0.007424561676589561,0.0046309897544007375,0.0029676105440365297,0.001909963330755679,0.001291828750622486,0.001004308000592427,0.0006170720434763959,0.00034777629288204164,0.0002037761696728544,0.0001250426999217265
[0.5-1.0),,0.7292398748794456,0.6540465224117913,0.32729669924472843,0.15650470756052579,0.07583076024488986,0.03960733916295936,0.021929072226413947,0.012624522244578568,0.007605365932369618,0.004719223087233386,0.003014313073457411,0.0019329285407415078,0.0013105469217885766,0.0010316238455673643,0.0006242306579532744,0.0003497318654285936,0.00020379738181058082,0.00012447112271105082
[0.0-0.5),0.1858774066766696,0.7291242356313419,0.7188442409950023,0.366100933826768,0.17115600952690566,0.08092751304788375,0.0412044313149398,0.022509456197588783,0.013077866632752759,0.007782277992408134,0.004802129627848302,0.0030599132611924046,0.0019547072540407546,0.0013188826507226886,0.0010636762689226142,0.0006298445693651648,0.00034997182094905323,0.00020406044318239635,0.00012451330237109014
