"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.547016353870661,5.546683098484823,4.81226841123472,4.614829922760206,4.846283309194743,3.692384737025424,3.9895110904695597,5.250927354503284,4.053868009034866
[8.0-8.5),,,,,,,,,,5.17215479662257,5.133197513817183,4.377793742217841,4.500118376071664,4.122725707755414,4.061032992747359,3.536645134307116,4.3986790717225315,4.0962898873681315,4.427498800408914
[7.5-8.0),,,,,,,,,,5.12650008219966,5.1082377452141685,5.2273895224785445,4.353805735932589,4.34316411626789,4.221630916937176,3.8570023815616077,4.009986983009541,3.7453617080546806,3.7775968688940513
[7.0-7.5),,,,,,,,,,4.681199508931214,4.7049987505427735,4.644362008567397,4.675949481877199,4.408499367809224,4.276776056143034,3.7429215155427205,4.063788847060133,3.763646698277841,3.940389668112386
[6.5-7.0),,,,,,,,,,4.637289289723097,4.64697715700335,4.743120033644292,4.952077058621465,5.506191339034819,3.9291625854077443,5.053398839292391,4.022264615009169,4.036407809806426,4.122227574755372
[6.0-6.5),,,,,,,,,4.553969732794221,4.680580647060801,4.678804868877461,4.739805016825538,4.56640364903535,4.479905626847647,4.072476143308573,3.7675404152411236,3.8587909483140486,4.2739217031614665,4.069616040595803
[5.5-6.0),,,,,,,,,5.08475066581539,5.556187319585147,4.496333171774298,4.871077713634557,4.816614462301045,4.2985565485797155,4.652026528568477,3.80828215567975,3.6807162031349545,4.1125707748738165,3.83938157676054
[5.0-5.5),,,,,,,,4.7840539640825375,4.42032120142062,4.536381141561302,4.530302560800657,5.084848923286303,4.594047510494626,4.188510525408952,4.109702842127081,4.084066122649275,3.742777936474149,4.20578335101501,3.8042667768250245
[4.5-5.0),,,,,,,,5.805832162644808,5.048512185477415,4.764238732307997,4.92366028516203,3.9504232033405726,4.064280974535035,4.234127493490313,3.7897926350286717,3.5747116062094055,3.660015261160144,3.975055267097864,3.8195952881305395
[4.0-4.5),,,,,,,4.685246275615578,5.147113178174802,4.5325888976495445,4.9545463368970495,4.236016504303745,4.7935904438141845,4.402246771224448,3.9351455635002845,4.00067841002076,4.109343262437456,3.97642413416577,3.896470801207768,4.128053364693924
[3.5-4.0),,,,,,4.9551623759626695,5.904375796690595,4.454311107858431,4.703191225889179,4.907252475065153,4.723017445288339,4.353042879050999,4.439064254699215,3.886893873176556,4.046074448352472,3.484656066849541,4.107222511507322,4.241679820352091,3.7862070261615397
[3.0-3.5),,,,,,4.9361830819989425,5.222477883536195,4.833142712691479,4.319346390220375,5.125960709106359,4.544664047702672,4.611375269132334,4.289750103692253,4.523379025981168,3.5043200298403145,4.018441324669537,3.9915991242826365,3.885389602152638,3.757551248946714
[2.5-3.0),,,,,,5.113616853918032,5.270582687242301,4.647335499423778,4.990844514830661,5.181650190167224,4.751896907792134,4.264458490422036,4.56806818560041,4.426123027263966,4.292940660779134,3.7490249526195036,3.8582482914114564,4.0339059603971625,3.751095962101789
[2.0-2.5),,,,,4.690923298938459,5.03250216138723,4.614349958043739,4.816374520055527,4.863485640093978,4.263172260447316,4.414643688476964,3.949998840097877,4.363819684876861,4.117875907570867,3.864622861399842,3.8335590482818573,3.9853342644801146,4.1321588501179205,3.712035559679318
[1.5-2.0),,,,5.348407514616242,5.344825963040046,5.137023968483599,4.929176922005006,5.751406032412951,4.244234950618909,4.753862943502657,4.26918098795891,4.175892888594998,4.450517523314589,4.1769929559749635,3.8279474386642685,3.6347923330051737,3.6443695352669883,4.088118695588361,4.035369975900803
[1.0-1.5),,,4.565422869131559,4.735416450323658,4.665895977576276,4.237157036692001,4.519163573181793,4.477993551616368,5.031612665876582,4.356328646024233,4.661354875838753,4.671061773672339,4.469922499383246,4.729375123585017,4.223352802147053,3.638671183531407,3.745988664280237,4.062635192118005,4.06994289326924
[0.5-1.0),,4.7039241601890325,4.7815840927668765,4.5731378587169145,5.376873862873978,5.639606598828556,4.7040573708289415,4.600381396190492,4.964523377016723,4.047298990818307,4.266989493889816,4.509880645937549,4.358356829388827,3.823271860255768,3.8522029146991583,3.8004676298987916,3.87283803816058,3.659517690199667,4.194473733587247
[0.0-0.5),4.86049657312467,5.043221306860434,5.17211563388009,4.383170150995551,5.0868767959338586,4.723732268313487,5.185996143330306,4.727141888507002,4.7188532285974505,4.625341031555942,4.278103205828575,4.729921409260754,4.271524993447069,3.913600202918634,4.095355911478648,3.618653921660298,4.0408391843208795,3.781069341223757,3.9936453889472436
