"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,13.36694518399136,19.664568045919516,15.080858467116924,13.923037161711433,15.607339162322498,9.319436092284102,10.901595849653013,18.3415813567922,11.016240077051268
[8.0-8.5),,,,,,,,,,17.43283926029993,17.268486747212606,12.522661610670166,13.215740406587845,11.071463339871665,11.033170816498195,8.570296004503591,13.098467027891415,11.192467086045644,13.072236532000122
[7.5-8.0),,,,,,,,,,16.93050897255996,16.683741211167426,17.340966747137156,12.277243518581697,12.323604065975909,11.956321553696078,10.104666993634423,10.926569409227648,9.526105907496618,9.613784551074792
[7.0-7.5),,,,,,,,,,14.250871103014811,14.386337226313444,14.287181303756114,14.217099513074578,12.720330477801657,12.244122260238857,9.54004171771157,11.237029913381239,9.563220667491192,10.376817315280338
[6.5-7.0),,,,,,,,,,13.509635727987279,13.920714946809273,14.595195620777808,16.014242394949473,19.979602972196748,10.367756462828499,17.343374072848093,10.862233663215534,10.837879554387431,11.388730171781718
[6.0-6.5),,,,,,,,,13.453309668646307,14.174424567482808,14.090927011312207,14.524456476883836,13.551605055897042,13.21685463546568,11.062586263872165,9.762896238156467,10.070478260576891,12.114900976319186,10.996626684682797
[5.5-6.0),,,,,,,,,16.732767351851198,19.67049196557295,13.091313197789601,15.257282002305596,15.118975144880899,12.060678560481316,14.586999226571358,9.911095613847543,9.175514469315173,11.365123999578804,9.902523715464062
[5.0-5.5),,,,,,,,14.676716330814713,12.767555493516543,13.237993745693009,13.312216347220513,16.973702653541253,13.662505562423124,11.459379046734199,11.342363249299197,11.32784074215666,9.573348877536507,11.83991317485263,9.69377508994467
[4.5-5.0),,,,,,,,21.331931179900568,16.417614239781756,14.51994368479072,15.531397742043392,10.160017055601768,10.85673658165334,11.665735103542014,9.760421548962011,8.700973293366987,9.053231431938968,10.595661313161484,9.820710439791306
[4.0-4.5),,,,,,,14.131435011257224,16.91108973550664,13.187383652770546,15.757157546692776,11.768284676140288,14.963001892466172,12.560164203286838,10.18990697097345,10.765932961105937,11.502216653134086,10.726788589864912,10.122185912530217,11.419006591819544
[3.5-4.0),,,,,,15.779329523108068,22.46417955937267,12.704643026306488,14.308561209130113,15.613632117550642,14.490177359088364,12.264522052277684,13.04174446102039,9.940248355740962,10.965868684925496,8.356865953046032,11.471916058609677,12.05588341189037,9.658217097930091
[3.0-3.5),,,,,,15.661277114653354,17.521206949817472,15.080092965448559,12.005824415478187,17.009847320925232,13.365669690293188,13.870987574057924,11.992894567470223,13.165491316695904,8.335088494265106,11.040875588093389,10.762824026763521,10.17326008581622,9.445965574531808
[2.5-3.0),,,,,,16.6787900062588,17.921485557460432,14.013527209564693,15.935314691538062,17.205626661171063,14.412376600674662,11.771727649702404,13.55821944450781,12.874462109307924,12.397956903293018,9.545883922848548,10.10543684065399,10.84770832530002,9.491163346634734
[2.0-2.5),,,,,14.021848923557275,16.28560152831471,13.784994884384773,14.846901637123604,15.418034033914148,11.886757433755896,12.728872799898905,10.263425565752213,12.406286344014957,11.227581363927492,10.168558125804767,10.047351244919883,10.690608201662773,11.384472702177941,9.285665796386443
[1.5-2.0),,,,18.28785465857874,18.484326845679437,17.07135261980143,15.593645619106304,21.535922621242968,11.59399877586364,14.343746939570975,11.777317264360725,11.24854024427618,12.911242885228246,11.339974580444517,10.022756341467911,8.98975336338922,9.015006489854919,11.31384454530451,10.882793922912338
[1.0-1.5),,,13.41325773102025,14.386934983195783,14.192175819946529,11.726753126091989,13.253853427573134,12.892360247388083,16.299300097081613,12.314656869746265,14.064823281146817,14.18702183481341,12.904211670478265,14.625778324149195,12.067943111209448,9.001459988327664,9.454660707320036,10.931310255497761,11.054410939408353
[0.5-1.0),,14.274857782683926,14.644585724668328,13.438167986584018,18.296158737012735,20.72644357061273,14.091145748656203,13.461599355703747,15.558076900020065,10.641778899867768,11.872712775759123,13.057382591350361,12.377724723168365,9.512016099818743,10.079827513046656,9.822303087163245,10.127269564911634,8.988754357667512,11.789914018301662
[0.0-0.5),15.124407818306743,16.149015527242714,17.02103612349337,12.174731782009351,16.167810648532424,14.552896097494461,17.375578459619774,13.995455274929823,14.175224450861663,13.79832691870282,11.930369023997205,14.577998008423604,11.940281870137133,10.038329520697486,11.444920490157338,8.99595024349186,11.022935001969406,9.629263013063182,10.693870700616353
