"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.8367317653377953,0.8545742649732562,0.6557814442286558,0.5904538266696477,0.7902787913055899,0.48478411683075096,0.3448474175586194,0.24947188332787007,0.1956541293866041
[8.0-8.5),,,,,,,,,,1.0042149237594957,0.7568127056155121,0.7151090688205755,0.5767235299793332,0.5292685570193892,0.6265938195440467,0.43939111039921697,0.3228607123073162,0.223527873882406,0.196879427808195
[7.5-8.0),,,,,,,,,,0.9354053370836585,0.9821163462465241,0.7890428425405416,0.5832579073996674,0.511075364400378,0.6229074115726501,0.4057505372278097,0.2915452591114225,0.20048660794485207,0.1509809642730011
[7.0-7.5),,,,,,,,,,0.7945642222257348,0.7190055497251379,0.6183460304004627,0.5919326955797932,0.534822183494328,0.6020961508545497,0.3826159533160164,0.3042089688712235,0.1962775182995746,0.1690898801372
[6.5-7.0),,,,,,,,,,0.7421436394046592,0.675163164817639,0.6258286498139161,0.49598718945731857,0.5156889306572753,0.5115022566950651,0.40574174125821194,0.2403348036346893,0.19088697547957076,0.13404941624774874
[6.0-6.5),,,,,,,,,0.835155179283086,0.6890462738304932,0.6396641387519332,0.6326881214613937,0.43104434380342904,0.36244116399844756,0.484795057497385,0.35553715963081123,0.25603881098070513,0.1694323085668018,0.1332988817560927
[5.5-6.0),,,,,,,,,0.8531879619173359,0.6987261430080245,0.6392141816203825,0.5336606070800971,0.43189831707971577,0.3539604978871028,0.49841632939328223,0.3110644037604004,0.22180366809992558,0.14014716278122952,0.13487246367634448
[5.0-5.5),,,,,,,,0.7701609572984289,0.7247072162012593,0.5636241288565017,0.5135779341630504,0.5057959937191026,0.3657368554017972,0.30742599805219734,0.41784408873725276,0.30080501757822053,0.17793075015766024,0.15378302085917084,0.1093760320110923
[4.5-5.0),,,,,,,,0.8672504810397617,0.613617163899497,0.5388303219600855,0.4685551602389492,0.3949836631194519,0.3127799040691036,0.2930541062129195,0.3541243975921071,0.27072240802049147,0.18591716630017882,0.13176877363627548,0.09215279597540513
[4.0-4.5),,,,,,,0.7896918209111488,0.6717903655578901,0.5831954919988342,0.48782228658924254,0.3837685678926803,0.39074469807727563,0.32384920610956336,0.24375379745740083,0.3247663968375344,0.260106895944648,0.18922050170992685,0.11492397265315032,0.08892423479087519
[3.5-4.0),,,,,,0.8612408429397248,0.7045552292809517,0.5150740322237419,0.49094805387082263,0.4466371526262598,0.3749755266503798,0.3257995546812907,0.26937451694689907,0.21441857319183916,0.340366608040779,0.19821448493348084,0.1376391957214324,0.1061910919280959,0.08507622360463021
[3.0-3.5),,,,,,0.8419919981870501,0.6778100419927826,0.5427019214534318,0.42769695846389133,0.3862381968253744,0.31775294891594663,0.2958638220580143,0.21137972866531346,0.18604670367443188,0.24392039870000787,0.1879304984056706,0.12281650376549552,0.08726082777345123,0.07003542924142331
[2.5-3.0),,,,,,0.6914176735508695,0.4993412368157989,0.4456678738577935,0.384603419043946,0.3156202359508875,0.3018800519525594,0.23978542894201,0.18589585798989094,0.1656706609351602,0.22656264404031068,0.14813812458229014,0.10340110761615967,0.08133128746391116,0.056426969214969515
[2.0-2.5),,,,,0.6425175736894453,0.5336908879936011,0.42896848843653995,0.3456396118999701,0.3635098287447561,0.23228528640856597,0.2610142430666311,0.18167976729637317,0.15664111261948832,0.1391120942524374,0.16357629637541005,0.13022340385208003,0.09244268290950375,0.059712904451328125,0.04936582598222912
[1.5-2.0),,,,0.6765469614752582,0.5630763535411926,0.42611481717306765,0.31991140086329517,0.317159631134599,0.22756827914290398,0.18740996621496195,0.17518360915373735,0.15398903902266847,0.1230543470329502,0.11120756370852261,0.13905667678831002,0.08865409696293339,0.06567561697791437,0.044418728090853815,0.037753805077079844
[1.0-1.5),,,0.5220507164695092,0.4570123561801332,0.38526821256740434,0.28379185674441787,0.2368582873538752,0.192756532067116,0.17969994060084749,0.13652681027241204,0.1263763675527064,0.11062108761603032,0.0923494779362574,0.08012860894592524,0.10669905239510943,0.06744934361847132,0.048836684061483955,0.03381376152888777,0.03111458438804357
[0.5-1.0),,0.26017811484355097,0.3365844287191393,0.2912998809873229,0.2467580380028142,0.21872963465809772,0.1440046375899577,0.11612425328659895,0.10751519069095056,0.07697510484328907,0.07458386655022567,0.06732778990636523,0.04978253932965418,0.046716334838720515,0.05984273711245577,0.0429917138745125,0.027330548687379906,0.019349508456714307,0.016911968507287503
[0.0-0.5),0.01857401679619597,0.09831575508005061,0.13004707719568281,0.0968833533830287,0.08959182301798424,0.06303118338439118,0.05102153132408299,0.04152351829988547,0.03986353146957199,0.028854652169313925,0.026510016130548666,0.023735071013868347,0.017942664164602246,0.015368740723799453,0.020297533896766168,0.01324408397889729,0.009329493677517169,0.007489724339748788,0.00508425311552562
