"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-7.657343245962806,-7.075179115391778,-7.866891439850886,-8.225759844453993,-7.286953082415314,-8.670884106785707,-7.254019298963022,-7.013191119648283,-7.9231904582902875
[8.0-8.5),,,,,,,,,,-8.443496574937104,-6.973108115515533,-6.006323091685054,-6.6355992055893855,-7.234295123523051,-6.463395432419504,-6.789156864959069,-6.968894941004208,-6.7738109905259325,-6.898374623850618
[7.5-8.0),,,,,,,,,,-8.403035183019616,-7.117727392597733,-7.946537892800071,-7.2634433546562125,-5.678734765396186,-6.657361989855616,-6.907478963309771,-7.177400514628294,-6.8823054717828605,-6.352842722910453
[7.0-7.5),,,,,,,,,,-6.293877302161899,-6.351767864729517,-5.852079346036024,-6.9430896794670085,-5.663554508742658,-6.41934942226108,-6.37839057308057,-6.837696535546316,-7.407939268334531,-6.092198214076388
[6.5-7.0),,,,,,,,,,-5.809904385200009,-6.1240365213052055,-5.791852440766709,-5.871625952966344,-5.718517809158678,-5.317980959361306,-5.153743132413996,-5.033945334906052,-6.029563514144093,-4.687237703691325
[6.0-6.5),,,,,,,,,-6.004653343560225,-5.423649471036296,-6.270033427724566,-6.061460963060915,-5.386765484227912,-5.033398385002003,-6.896991117085444,-5.165748904657573,-5.1987654047508105,-5.169679481237491,-5.623577155828033
[5.5-6.0),,,,,,,,,-5.031634876322879,-5.2113512384924645,-5.7830278721417,-5.004558349900764,-4.984390640148778,-5.191961362931123,-5.321519836466694,-4.845945714402683,-4.686711441940593,-4.452910291274312,-4.4984251032244
[5.0-5.5),,,,,,,,-4.574898220871944,-5.033284687647461,-4.697624268525861,-5.918237407464918,-4.712598998407453,-4.656688341986705,-4.431906788778849,-4.134853737090234,-4.281132663811337,-4.33787189125481,-4.728984733145887,-4.210154244625162
[4.5-5.0),,,,,,,,-4.3769770560592,-4.975114113136549,-3.9218452036422042,-3.9789973137535597,-4.20849612175191,-4.21562115465389,-3.7197934311095997,-4.070087466372369,-3.913046145907643,-3.4517732126789684,-3.8496809859362693,-3.65945248432294
[4.0-4.5),,,,,,,-3.989409482579857,-4.169892941120747,-3.7554096564895794,-3.7347170095865616,-3.9584253286437794,-3.6815363979375544,-3.3964149160633657,-3.477461192019592,-4.50089628365993,-3.3061773645614876,-3.6533486925785694,-3.3953299015747005,-4.395165547070757
[3.5-4.0),,,,,,-3.8618101402599896,-3.816527669602885,-3.085415364324276,-3.256508476203366,-3.37450804382964,-3.3404728740505263,-3.2431395570264545,-3.1466074412446026,-3.5070705547380525,-4.189001728242609,-3.6222534222260165,-3.1829904943045104,-3.1221911588947178,-3.719440498407234
[3.0-3.5),,,,,,-3.05847746702811,-2.9428214816417277,-2.853724105921841,-2.9455891247682433,-2.562069044830825,-2.56792464833625,-2.9136417257000784,-2.814308343846281,-2.8444551903445827,-2.78383305409415,-2.755037648133593,-2.982051953405345,-2.4743349226526137,-3.184043918985733
[2.5-3.0),,,,,,-2.709757328655276,-2.5306086915487507,-2.920163556485436,-2.7458436635249397,-2.85433751432749,-2.2927258794838274,-2.464599698196625,-2.5692103356461917,-2.3755946604710907,-2.553919240620358,-2.700806490379442,-2.0993559221312066,-2.5850897133300315,-1.9790565238135394
[2.0-2.5),,,,,-2.0543165945992947,-2.053151722306634,-2.0689064479987884,-1.7009520900588506,-2.6913709618367916,-2.2171951792578963,-2.540196144299865,-2.0852909325037245,-1.7251770638137975,-2.2743409470240885,-2.0251702417172575,-1.7834276232090323,-2.024416784851099,-2.081394228979575,-1.8439987020679334
[1.5-2.0),,,,-2.0015126329905013,-1.6326913394617235,-1.5499470200216872,-1.545410398822388,-1.6943287912341805,-1.8996487479465372,-1.7982874997525784,-1.6221280000938112,-1.4029665577350698,-1.6201208023155877,-1.5873092073971207,-1.6446720941123576,-1.4167961628445793,-1.2893389960582229,-1.52751639300578,-1.4029106786876178
[1.0-1.5),,,-1.1298369280713363,-1.0667396381753205,-1.2196352158817707,-1.4370582469388475,-1.2235291365698455,-1.1506804970413005,-1.1651000170223853,-1.1380402411089166,-1.0987164200238397,-1.0695774650552838,-1.4401517946311848,-1.0142431664510394,-1.0687869467570819,-1.0441757105475222,-1.0264921417623516,-0.9385364481826,-0.970222686257394
[0.5-1.0),,-0.8388506514173706,-0.7022217941736094,-0.8403463036582924,-0.7177035124900651,-0.7796723420180549,-0.6965775595352672,-0.6506932681965488,-0.7054039500915368,-0.668388127299683,-0.6320960184738338,-0.8854952917094439,-0.6260880969585525,-0.7565236892568815,-0.6314980556966376,-0.6226789783370301,-0.681140884101591,-0.6803071711657286,-0.569251095535538
[0.0-0.5),-0.2592698226719941,-0.26412614676178825,-0.2613302650207244,-0.23200614048838222,-0.2243178143808266,-0.231986949598245,-0.23493623832499835,-0.21708228442160454,-0.23982648438010057,-0.20940040442373314,-0.21397382695733494,-0.19078811936645085,-0.2110396213523394,-0.17955372356247407,-0.2246081292593316,-0.19782029995132097,-0.21777167716425563,-0.21394528717998063,-0.18504974630690707
