"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.0821994500484123e-05,1.4525423605348982e-05,8.647572936397273e-06,6.713350500659158e-06,5.022875223431845e-06,4.45314760193269e-06,2.0260192280429916e-06,1.732734484293108e-06,1.1863456677200243e-06,9.700802727879927e-07,6.588855348443214e-07,2.550901767112751e-07
[8.0-8.5),,,,,,,,,,3.337536139144881e-05,2.0702241299875615e-05,1.348961344539094e-05,8.683382006942182e-06,6.706430941355159e-06,4.189448500178688e-06,3.023965054924982e-06,1.842144249104766e-06,1.1993140035546028e-06,1.0195749264525943e-06,3.823470767321842e-07,4.0883266007711404e-07,2.2439511129336716e-07
[7.5-8.0),,,,,,,,,,2.8848534773500353e-05,1.872470680253948e-05,1.2586342036550981e-05,8.57464153875193e-06,5.417076609576616e-06,3.605260220100245e-06,2.7955636719993324e-06,1.8113619831908348e-06,1.2713356701003912e-06,4.797604376145472e-07,5.540339267168646e-07,3.2515774289335204e-07,1.3068042675957776e-07
[7.0-7.5),,,,,,,,,,2.7066258908537362e-05,1.582815041162905e-05,1.0385310131060596e-05,7.1943971722813306e-06,4.63953004325422e-06,2.7991268575365754e-06,1.940342344478337e-06,1.3336249567302594e-06,1.0769051453350133e-06,4.1117392895463774e-07,1.7565357072928713e-07,2.6428657119357376e-07,1.3083554952218686e-07
[6.5-7.0),,,,,,,,,,2.498381384662143e-05,1.5913096742147443e-05,1.0138532183798838e-05,6.214192198797666e-06,3.7802179247659046e-06,2.8057331345820054e-06,1.3874597968465376e-06,1.0202250207602916e-06,7.606895242885773e-07,2.777308469665988e-07,2.1597152894450797e-07,2.1082911310475265e-07,1.523906893556531e-07
[6.0-6.5),,,,,,,,,4.578867469368309e-05,2.3502430587138444e-05,1.344708112856541e-05,8.884414322378416e-06,4.154848151605928e-06,3.1643073174168136e-06,2.163181950324764e-06,1.136178106283164e-06,4.844791021769658e-07,3.039739906158413e-07,3.626317454965188e-07,1.635510682108099e-07,1.2835869089851974e-07,8.52501168071861e-08
[5.5-6.0),,,,,,,,,4.0915354436567603e-05,2.152065751916231e-05,1.2862921220743882e-05,7.067756703868984e-06,3.46367162922509e-06,2.43099937976001e-06,1.6696669269732455e-06,1.02320820565793e-06,5.129174787366303e-07,2.8387912161617005e-07,2.0675107762386924e-07,1.8690021902614803e-07,1.0714102147607046e-07,8.479186418545498e-08
[5.0-5.5),,,,,,,,4.1291127592827595e-05,3.697222493097698e-05,1.9028081999408082e-05,9.314627301710389e-06,5.164528888504487e-06,3.695088259642887e-06,1.5943734702256793e-06,9.531536582111776e-07,6.28014209513218e-07,3.4148075851836755e-07,2.731997421954225e-07,1.7716627170782133e-07,1.3148734054443732e-07,1.0417767873350752e-07,7.53632718879953e-08
[4.5-5.0),,,,,,,,3.818529268754344e-05,3.0193540825339052e-05,1.4084486585022098e-05,7.962631601740458e-06,4.272590389142002e-06,2.2913836167305025e-06,1.3863708303728246e-06,7.564349877528916e-07,4.942730351380443e-07,3.2502156616083e-07,2.378359071896208e-07,1.663481849335316e-07,1.3354993439830602e-07,9.729248337265039e-08,8.508720992692542e-08
[4.0-4.5),,,,,,,0.00010333359465641556,3.722042887494851e-05,2.9215732938729214e-05,1.1647017373936712e-05,6.001417119691695e-06,4.0180319379446675e-06,2.03482806041962e-06,1.0251631938668289e-06,1.0105699735652902e-06,4.4224371147573164e-07,3.108087075157807e-07,2.2294295121181358e-07,1.8233978859665747e-07,1.3011990428340145e-07,9.607672212769215e-08,8.027227549271697e-08
