"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1916.8613591077533,1935.0068775607272,1692.6546324086223,1706.730608041691,1532.0894063129845,1641.5739643887275,1512.8488216236137,1480.6168757576122,1521.588450673838,1006.3838193566157,1256.2911898097225,1194.453103276352
[8.0-8.5),,,,,,,,,,2287.7131417913743,1731.4714135699696,1569.8947213237977,1671.0177312410199,1613.6017841006528,1520.2901749320763,1496.9666810813537,1420.725117233086,1389.1570624478995,1539.7541138383697,587.5896001955457,655.3271062452636,1154.2872055594535
[7.5-8.0),,,,,,,,,,1903.1257424587316,1895.910234344855,1733.8034235469731,1593.2284355331658,1449.859668439556,1500.8125897904217,1526.5819850155071,1530.8716342991866,1105.5419865238505,539.305952253954,1594.0758223894434,976.8417127456014,235.99605955732585
[7.0-7.5),,,,,,,,,,1974.2778958222202,1875.8082990942294,1654.2690903825794,1600.0626568069333,1535.1010747482135,1518.3700751804697,1101.4166845199704,1480.739771868692,1447.2051296713241,576.3404334794864,225.7984156645705,1155.0624767147458,289.4427687231879
[6.5-7.0),,,,,,,,,,2009.7913379335014,1736.1150425392066,1647.446608091013,1323.7366044616099,1400.9591247503101,959.2736785016066,636.7599042890985,624.0725430304913,1105.0373885183262,201.43096910121716,427.3315681583533,327.1641577305946,323.39223206359
[6.0-6.5),,,,,,,,,4853.770867576064,1686.5582419125894,1482.3015148826769,1474.4104396733899,1091.068260686865,679.3333729220369,1714.5964362239865,732.9200447456219,490.28733841392705,282.8088718186736,536.425137061679,150.05870378004084,158.40366182894218,55.36418462153498
[5.5-6.0),,,,,,,,,1518.1824210492082,1488.9755798453232,1948.4928684003798,1147.6183744911175,1038.1493843539542,924.8390763070771,665.0183098276036,595.2013308182043,423.21724997129866,179.247183647961,113.01219145526385,345.0640419631884,40.27696339121851,59.72367062773082
[5.0-5.5),,,,,,,,844.5554008738118,1376.3551530450532,1136.3140430908286,1496.8743072807974,1318.760940806139,722.5070837296312,568.3962582546018,368.37343624730767,248.84777401621145,103.94371540021092,212.9263118972575,56.41770696598221,33.14808343011611,38.69285082898412,29.85375139804959
[4.5-5.0),,,,,,,,368.60871664659027,1561.1416127671562,852.7728226611845,838.3098826604785,816.5222951675739,631.2411300275753,492.06277807596575,143.84896608618425,211.36873252854858,45.24513348849381,106.16928759057822,43.143960645632646,36.44387384889822,28.519899067988604,54.171078998325065
[4.0-4.5),,,,,,,643.4258609114455,497.83165325291316,1100.4921263128394,740.7345565163453,710.3469605638265,668.1766508805081,455.32259777000763,171.31984323889284,503.7489697697247,65.71000331840291,46.46308712430632,41.1674051653046,67.23400349774192,19.215903180995312,22.895710563397554,17.8702655894165
[3.5-4.0),,,,,,1384.44424714933,628.1166445694387,169.81170191677774,743.2263927229417,747.0155017802812,407.4727435333445,160.61556760472388,151.37715287682462,148.68183203131264,522.8175080844264,64.8767772239261,28.07636786984941,26.130959417238163,27.996956966750407,13.943184505923906,16.043575433768122,19.062481571583945
[3.0-3.5),,,,,,358.39531161517476,270.68851802720275,120.5294090715162,708.6534865680029,144.54941841842955,141.3017157960307,58.72285756176932,44.73874968966133,47.017734607280815,24.083717386386326,21.546610286035133,21.770353210916685,18.420149004031654,22.77354197311636,11.330310098890942,14.184841873483453,14.864159917266457
[2.5-3.0),,,,,,313.9493605991182,119.00241226623308,92.52452208724414,277.3069637292763,407.7624860612215,50.406509248814615,31.811594160662416,33.347370547236906,24.850464404299924,24.49571692417241,20.301673298684015,15.401624104648382,16.041832061503154,11.74418287478778,14.45679720823739,10.373340680231,8.51618354372291
[2.0-2.5),,,,,237.68008650507807,138.3384811146398,99.80185798849857,42.05137334862251,423.42705041696524,41.32176340754991,89.03914700699917,24.18990695385171,19.94676990221215,18.874324299071667,17.43809457976832,13.97652019359854,14.190506893809722,11.385768122290868,9.90891412510932,10.708003157926349,8.957585150563874,8.729416736028073
[1.5-2.0),,,,391.0005051927294,130.80853844927225,67.55727634450382,47.891643088130515,38.470933244271414,42.19711354649493,29.506392523373066,22.985538613663238,19.432184727393306,16.37872032872622,13.443153916376861,13.138591785997852,9.798296498349284,9.43001135305877,7.712769409353935,7.442854501385664,8.02046274319025,6.256925366787413,7.829185563699011
[1.0-1.5),,,243.6016541850122,155.65003648582305,85.69419659960622,44.66384354259981,32.177698170975034,28.314861665293193,26.30395652613623,20.376259093832772,15.249880186328184,13.1384418890703,11.419467400346443,8.909843269171413,8.1429989744433,6.670159583309811,6.542579091570206,6.048320373019127,4.902420077344257,4.218333162956259,4.592043374680958,4.831031133672928
[0.5-1.0),,328.8802153899088,114.5475049428311,63.28606900593896,44.88925851901927,31.523726766166586,18.25687365974825,13.057190323761859,13.886538763295993,11.521118576849068,9.222076802111319,8.650878194125081,6.242107252260853,5.94330654360964,4.6491927784683655,4.38956242642273,3.5352741093007563,3.757310666365418,3.047516361972025,2.7238730211247084,2.866294779234168,2.674606550914675
[0.0-0.5),136.53513921162752,75.3644608980903,33.75569403281215,23.525149985841104,14.421997878252869,10.165962157752297,6.362959575901508,4.710251013837486,5.283816730479564,3.7779422201854396,3.271148533092713,2.934656949901268,2.4853909590567507,1.985032290775815,1.8975798169809797,1.4967031644984756,1.375216539325674,1.0649016947032093,0.9858717901542464,1.0711286019409665,0.814957802108421,0.781611163073575
