"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,127.09727891033732,98.64777711708116,75.89865712698786,112.3553657000347,126.63458608937222,152.3025859961276,140.70447242986373,159.44431727541328,353.87119329203495,146.60122444875648,223.71634348038322,468.02373593527284
[8.0-8.5),,,,,,,,,,89.25550527540457,164.04367378208272,124.24000746105894,70.26296836035941,111.61749864839673,100.40511411424909,144.21279203056665,314.813327481479,184.70471791857767,382.43010533218063,392.1784484412405,337.41535008338747,748.1123945846333
[7.5-8.0),,,,,,,,,,97.55714743397613,63.696786020215164,65.66133877162528,135.76457787813462,100.45725502721328,227.82483230815308,208.03203785359125,238.10081819727867,128.89039991313564,223.5594773386877,799.8214420984921,547.1713877697471,138.52020804138905
[7.0-7.5),,,,,,,,,,55.26556296072191,77.08484141973503,137.11645434880487,171.05915236523123,117.38499199055396,244.49825416554842,124.13245446769841,404.0136049846383,245.33199312145064,358.3154341071685,128.3670351906542,667.1489864315525,231.05904544731462
[6.5-7.0),,,,,,,,,,191.4386643329171,147.8316388344283,94.17434535545988,109.09333699730428,91.02622865881278,129.20653353423643,173.11934288829923,230.2532145930749,394.2291621944411,102.77453779253722,390.32727476673483,214.6635674768859,244.23160790535087
[6.0-6.5),,,,,,,,,978.3074262779089,74.33027198783049,84.48085910967268,98.23147766562568,137.80169229595475,153.8510674884639,439.8406380290954,258.5417429375902,381.14237595093834,257.58736700405126,395.4439048803687,115.8296550230174,92.46988410152555,46.835144063701755
[5.5-6.0),,,,,,,,,75.15907878352961,76.4587622680728,208.63443779658525,107.60194586183208,106.44477941471008,243.1246798119195,183.85330024168314,283.30284184497174,324.7483461337047,176.14675973237163,130.62424897790535,361.2629278572035,30.847886174077054,62.68199162146763
[5.0-5.5),,,,,,,,110.99350496808813,73.53734988761381,97.2321497567595,140.13943368478368,168.38814566733328,148.80296049641288,218.53105225263087,219.555046138038,165.2137367329417,49.31775460079331,311.99834167690994,48.64398142751318,28.053812778586103,30.00397797332812,32.56729886901311
[4.5-5.0),,,,,,,,53.473360094504216,106.44754416304396,142.62282327824684,158.4800012095887,199.60448785261187,240.15826641906162,372.15554352473976,97.71420832679247,225.22683012177887,38.200632441915886,114.96948645274732,49.595342065383875,34.80176811611423,47.0153319663248,58.82298088359783
[4.0-4.5),,,,,,,61.14206340753685,66.48454503034645,116.86009079870801,164.44862519459957,223.94628679088763,228.49542277201598,377.4331524868994,139.50324347624715,384.9011692605866,54.62185660197574,47.786053942990065,35.9122025984021,49.1963327342854,28.219675737800205,21.958910361554075,15.194491093388763
[3.5-4.0),,,,,,73.56415240338721,49.29412564859851,29.241550022943127,200.12040229555865,296.1556546344229,329.4056208986411,114.7704724986577,80.34624015569459,187.24877295048884,666.8360273479769,41.69510933190299,33.33597601982783,26.103904267344152,26.774555144949307,19.038928169080446,20.100347014415185,17.32713057650175
[3.0-3.5),,,,,,19.387107334913427,24.548304352738814,21.2273686667546,269.6146902969214,77.6996624022424,79.99801610521628,38.74459413148485,17.37644071970188,31.241501743519493,24.28826794645048,18.647375129433605,17.59600449694076,27.57009058679046,30.91674223530649,16.547960322220547,16.094543275809247,27.16331110198661
[2.5-3.0),,,,,,15.143270641369487,14.361729296765976,21.79370338060252,171.28144485252872,548.2033180409513,28.310943947825493,17.799879688695004,17.713711501108293,19.551927750664024,29.58867292258697,25.586066594724954,17.49627363180148,19.700131214484554,15.35012838609441,22.176649453245513,16.131902264340315,16.02378087342238
[2.0-2.5),,,,,14.576138598094571,13.81868658508515,14.252933037370314,12.114857518114375,346.4505659595131,23.65025869694686,85.79859285645703,16.436168107652065,19.02953604383505,18.348733327735918,22.720483502753087,14.927099252322476,18.954746226938397,16.73724196099666,13.622412268751518,24.115995757224244,20.648351594007398,18.579788997511827
[1.5-2.0),,,,17.68289294519378,16.914098281449743,14.654805260272656,14.491674600602114,14.53714206719542,18.539494760093884,16.524684185686183,22.202679285341876,18.32894691458292,17.98322600732997,17.101739741443698,18.10442814923705,14.812294096621741,13.034663738702784,21.05026505426527,14.859391052993995,17.871922586429616,19.08574549244987,17.090184999515674
[1.0-1.5),,,19.820380001039663,23.67425360611499,25.092496629347576,11.072741129849467,11.176196523301087,12.847495821981251,20.064614882507218,17.39617845759407,11.433383362665353,16.0174296626257,16.91827464127222,17.171811710154397,16.376584154031878,11.714130121420279,16.884339427933934,13.845086286724333,14.834501666895202,12.272549328435748,14.683744568312553,18.521509515619062
[0.5-1.0),,17.702777860176234,18.980016869225985,17.59059915535992,14.01045487341821,11.563221019243912,10.941013207840784,11.689556510502007,14.476979190494498,15.889991164319715,14.014734266140763,15.410292868934874,13.621993501689726,15.209091086764046,12.410917160444836,18.899196929139084,13.117388792815706,12.534316980328613,12.616703496308482,12.712645563379812,16.26854241972407,16.08100669141953
[0.0-0.5),18.97465836995564,20.669228860403475,15.662247111755212,16.123412218738434,13.23366537542697,10.774885229443711,12.025574511256357,10.937757549821113,13.925415181401325,15.33595663981937,13.451258626006489,19.84930970205942,13.716744012390103,13.076725710035914,16.20168252086436,14.63518878361878,14.12319966282078,19.4240459279852,11.592882112663217,15.68973493288204,13.209558791037834,12.4147574392114
