"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.791515024534976,-0.4224969286296933,-0.4651371118782895,-0.5058409828232895,-0.3596855447810665,-0.262371703218148,-0.2330834442972863,-0.2640211061871623,-0.1807552640656637,-0.16771876538598363,-0.15201202254680096,-0.17585526539388271
[8.0-8.5),,,,,,,,,,-0.7958677242027816,-0.7220896713967735,-0.45216237292697625,-0.4418112765228026,-0.390321500312027,-0.3268726837565525,-0.26690817394194405,-0.23692513226730458,-0.21742685652976332,-0.21773468625527986,-0.15628273615114444,-0.17492240671499068,-0.16913114472892063
[7.5-8.0),,,,,,,,,,-0.6777127457593813,-0.8502342548973051,-0.5635812431365759,-0.40295032035740375,-0.4452255767069745,-0.2974094313956827,-0.2380859631921465,-0.24225718153966272,-0.20161059990284375,-0.18222915243079976,-0.1836019075991515,-0.16545748267957747,-0.14552788259371366
[7.0-7.5),,,,,,,,,,-0.5549352300965071,-0.5871227107369426,-0.5507846260748634,-0.5519218640854339,-0.3896620918984642,-0.34165749516622823,-0.2477177695009317,-0.24297345246964328,-0.19967204350607587,-0.2060595967478575,-0.15213753398615204,-0.14106453327959553,-0.13080902232651584
[6.5-7.0),,,,,,,,,,-0.6563726560550686,-0.7019583872413175,-0.5078769058297429,-0.4174628147507419,-0.5170183348298284,-0.2941466822136965,-0.24877766428243417,-0.2117511529887249,-0.18571127326693337,-0.16587001895138945,-0.14380607151840016,-0.15032945265102668,-0.15067404858993955
[6.0-6.5),,,,,,,,,-0.736854855128892,-0.6189886991166034,-0.5130653308080204,-0.5382344105053237,-0.3663739751990847,-0.28195443827277816,-0.29324953979386614,-0.2530817989748984,-0.225157462776729,-0.19180200654637053,-0.16080626559157443,-0.11747257969700932,-0.12101708760510979,-0.11421916903220429
[5.5-6.0),,,,,,,,,-1.4458220922739429,-0.3503845493763386,-0.5819770409905863,-0.5120227277928018,-0.34843446237432507,-0.28393776941610177,-0.26728296443141286,-0.23962808627766233,-0.1876011725585338,-0.14970774488132468,-0.16159026885858788,-0.13051846786329416,-0.11888049275672842,-0.11422713688065445
[5.0-5.5),,,,,,,,-0.18658212619112088,-0.6450142569196021,-0.6716561778631568,-0.5563769246740957,-0.3654058683204358,-0.31496398083444904,-0.2484387922184279,-0.26098978970742465,-0.188596691607388,-0.14764241168926745,-0.13836203458113847,-0.13715476980522992,-0.1093399637333919,-0.1102858821571464,-0.09810307340469754
[4.5-5.0),,,,,,,,-0.1876496158696542,-0.9144069342487906,-0.6851901877520966,-0.516649533173717,-0.30849286975409973,-0.24423953606484222,-0.22596222066526123,-0.22067052042192578,-0.15443357318662274,-0.14436924505814558,-0.13354411635647612,-0.11639154150076651,-0.12104395987804814,-0.10662912697796191,-0.09254019332059296
[4.0-4.5),,,,,,,-0.25887871451627625,-0.17163762553137643,-0.7778384375388562,-0.5993567307117691,-0.39964722358946225,-0.31893152953055437,-0.23201512625071422,-0.22431396991723804,-0.1848327159010291,-0.17657466017907822,-0.15859586887668312,-0.13712574045412468,-0.11063231153281079,-0.0941516352610218,-0.09829179893490927,-0.08739184882479442
