"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,9.166557735174065,6.950642154903321,4.469038669864684,3.7264340083736966,2.9803701032785046,2.812788934502015,1.3572746000366136,1.2271279765716425,0.88558850430194,0.7612856515746396,0.5422936804363223,0.21971634361264125
[8.0-8.5),,,,,,,,,,11.925955307203793,8.102016216218509,5.738355094543254,3.989335642970641,3.3093093056083953,2.2098686237114427,1.6980036277943606,1.0970832508535648,0.7550618616441502,0.676599479708877,0.2667408535783639,0.29913135895985965,0.17182003795205403
[7.5-8.0),,,,,,,,,,9.096754379125166,6.466753038383283,4.724794803564645,3.476347250093692,2.3588829380045424,1.6781923002657249,1.3852454801580443,0.9519556297597458,0.7063262878399938,0.2809522100211814,0.3410857929151747,0.2099452095247185,0.08830117273778032
[7.0-7.5),,,,,,,,,,7.469018727869974,4.783811147064699,3.4117366485242036,2.5525496342342526,1.7680234097644871,1.1402505672318133,0.8414112669735514,0.6133632906461748,0.5235946469904627,0.21072021399661192,0.09463610581744608,0.14933430115739388,0.07736674018229941
[6.5-7.0),,,,,,,,,,5.976206346530117,4.168982704306035,2.8871054539020915,1.9111553913896009,1.2487122991793123,0.9907306735690429,0.521533130199018,0.4067350219484194,0.32059497716618435,0.12337758922042766,0.10086207857222498,0.10326344075772939,0.07811213381737814
[6.0-6.5),,,,,,,,,8.49594549980448,4.819834397753001,3.0203404878613713,2.1690464654244184,1.0955166024742193,0.8961417207528085,0.6548695357428485,0.36615114753266026,0.16559344312689261,0.10983435207798953,0.13811169994496322,0.0654843144203438,0.05390062215465184,0.03746343023753296
[5.5-6.0),,,,,,,,,6.425628553780328,3.7355153809433457,2.4453619139498564,1.4604856626354268,0.7729940918784681,0.5827181482015362,0.4278260614911602,0.27909602572141384,0.14838542373138608,0.08681821949052025,0.06664814816340697,0.0633387320384082,0.03808026274244023,0.03153859885835556
[5.0-5.5),,,,,,,,4.83686849317857,4.840473010885251,2.7534229280705977,1.4762228862695075,0.8896707968087807,0.6874596235557477,0.3186006611049408,0.20360255720945328,0.1428045436100916,0.08235555480829693,0.06965312802191734,0.04761066729848155,0.03714722819349955,0.030867520653492235,0.023368502040894794
[4.5-5.0),,,,,,,,3.6616115816164703,3.235898383140634,1.6683514500164458,1.0330270342070473,0.6025020040938527,0.3489705642542532,0.22677994098707968,0.13226974918660328,0.09200429168124254,0.0641663670069076,0.049637097067683836,0.036594001494987365,0.030885509047333247,0.023597987803025813,0.021597526957232865
[4.0-4.5),,,,,,,6.999236450555649,2.857249485353469,2.506618586977533,1.1044648194128421,0.6233034311654797,0.45359813674453475,0.24809005242897336,0.13424832387184207,0.14146400614330368,0.06590122306787582,0.049122344945658154,0.03724889027043629,0.03211174620738948,0.024090480403969123,0.018655397279387975,0.016311577230981006
[3.5-4.0),,,,,,12.946211625019263,5.470696939750717,2.167297742703939,1.4546072456787862,0.7679280442483614,0.39633479953828155,0.23647033241298085,0.14449600221535513,0.10411467470893776,0.0974266983671674,0.05097194901938545,0.03791854407980587,0.028798199431332695,0.023315817424867595,0.018253471582580325,0.015385258864977639,0.01192157398802908
[3.0-3.5),,,,,,9.426345315938441,4.014903962182615,1.6033875826065462,0.9372682962876108,0.45387585820542636,0.2609268096717488,0.1624995696629407,0.10425790293598922,0.0736868958388603,0.05144461931811986,0.03777730577496393,0.028695128922130032,0.02166351314861867,0.017036201670401617,0.01359797534493726,0.010917320879148984,0.009414776690456695
[2.5-3.0),,,,,,6.8351482795240095,2.8569078514119317,1.152246174161435,0.6082701384491505,0.3408014362171746,0.18546698530515768,0.11467848825525749,0.0736968913894519,0.05149119118069652,0.03684451089477613,0.02655632682663924,0.02027797261825997,0.015147315860933519,0.012603259540630986,0.010404646075227633,0.008224339347173005,0.006733639503633698
[2.0-2.5),,,,,9.891667830397044,4.655909987098635,1.9239411510015754,0.76940247447086,0.39530354598455386,0.20589854672678515,0.12289247863134792,0.07652633735455468,0.049640126584244305,0.034493821646659165,0.024532555991978032,0.01778195917979518,0.01340000029757777,0.010140566213173312,0.008302853848072344,0.006890506003085344,0.005650054851406366,0.004655403304590527
[1.5-2.0),,,,14.212580598332384,6.071418613729993,2.8660335716228795,1.1712157554602807,0.4674528940224539,0.22644894375184454,0.12389073912000409,0.07328503836882513,0.046137732987437355,0.030205720999675528,0.020793622379464874,0.015096704592216875,0.010808365195190864,0.008120554458115756,0.006424031427592788,0.00509862412020101,0.00400770605371544,0.0032739200363606363,0.0027465757952362868
