"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,507.1681838970585,376.62531009269276,183.0574882485075,223.2932448115104,198.46879915365042,219.49042156648872,99.01578832799497,95.52370150423833,163.71890901109137,52.71676880085529,57.843018518676615,48.20421641026067
[8.0-8.5),,,,,,,,,,499.9684074093885,742.3587262845035,392.8986092427084,153.54289188315713,198.38877977661983,118.38565404720741,117.17444372622528,163.2342716510809,74.53150430693137,135.39607154358646,46.22678209992926,45.64455404588506,59.72393922186334
[7.5-8.0),,,,,,,,,,366.7325343359912,221.5578801152682,171.50591544440573,258.4774943839944,122.71474137257997,206.28858731740726,149.8857759608675,119.17589157741372,41.983574399523846,27.177620724100017,141.45300907268444,52.5788589505101,5.778902643871111
[7.0-7.5),,,,,,,,,,244.4640537285211,214.63651664984997,264.82855598615413,241.8461439085306,113.51826367539276,154.4407359675844,47.53107139633723,130.7764169872205,59.90878600130933,32.37562131514495,5.515876501752551,45.74363746008845,7.744592561154493
[6.5-7.0),,,,,,,,,,688.4753480637884,358.2722847141166,153.8637389571035,116.61716964054688,63.2198092877699,70.74341013991456,38.87494879303821,40.66465786109581,57.51402922874801,5.914529278910551,16.32862816360032,10.269817500540235,9.010689040562982
[6.0-6.5),,,,,,,,,3195.2141169226084,218.333603178055,142.42283581913736,121.7819811812371,88.14030477109849,62.07410892787648,162.73029441698128,40.31262329482792,24.695902185298884,11.125960057234611,24.52750849685126,3.3475973192183406,2.3605437976054753,0.9312102768821826
[5.5-6.0),,,,,,,,,305.9414382825759,147.17368889099157,247.25951486988265,89.40950378503275,48.56200101953513,83.21948884621438,45.78702997551042,32.65009741908185,19.155252723352003,6.507524900288718,3.9623958129426167,10.388789615741812,0.6306056986042089,1.113199066369525
[5.0-5.5),,,,,,,,199.699597353106,224.0213940770377,167.61980447795074,127.92263571359021,91.63065363855922,60.910504759666864,30.63174668511405,19.974495680067765,9.644657839484092,1.8753862322377226,8.541535108910917,1.2745084123735717,0.5884509584975389,0.44291035588760785,0.41010439349197003
[4.5-5.0),,,,,,,,68.6099606743664,150.26885141982189,152.05887844666483,103.71212653518178,76.37320200071058,37.369854812793186,41.79341957101273,5.323981290461118,7.818574214818695,1.1872904774019377,2.470717183682098,0.9104594445702925,0.6521942856444203,0.6285563919271037,0.6703512672161942
[4.0-4.5),,,,,,,152.49509671287416,64.1770981126243,141.36356205156858,75.23558861800045,66.47808762662459,54.36012925543136,40.008494590725924,6.4446596812404,23.13662965790699,1.6198521955712784,1.310844597160977,0.63992446354099,0.6935930025030279,0.4218769338656334,0.2528220370262993,0.1464861269297662
