"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.890753856976453,4.597213277505246,2.9506597116188233,3.258840985734582,2.861953150924585,2.6764315281292115,1.710399506936062,1.6056613419700587,2.0166563503253014,1.062847611717039,1.0769560364692716,0.9831392038198299
[8.0-8.5),,,,,,,,,,5.848791731416368,7.126918372103327,4.695481642684281,2.702341528361331,3.071736303168794,2.2103748892788735,1.955531432723732,2.1960944317873468,1.4183007201758853,1.8339416306376564,0.9952757920000573,0.9566806387827966,1.094326013574542
[7.5-8.0),,,,,,,,,,5.009214113363012,3.8934847343103614,3.102269000746942,3.506200480016513,2.4158710274720385,2.917789789270157,2.211711933256752,1.876461000797644,1.064481419817151,0.8216525247879316,1.7410157692279473,1.0267816039678215,0.3404044193229398
[7.0-7.5),,,,,,,,,,4.089802915384589,3.8321868955412595,3.854981582029178,3.391524517344256,2.3235833038492975,2.524627627785863,1.245481132170118,1.9656674906283953,1.2715798565262142,0.8967916029747496,0.3437984200210688,0.9577184383569467,0.39406856102614435
[6.5-7.0),,,,,,,,,,6.863396245694773,4.951097539824944,2.9383805600327655,2.3550852130979973,1.7340114785055651,1.7086747225149534,1.1263756825246347,1.0961093925523433,1.2459059987538847,0.3833033106398372,0.5915227594389691,0.4537888949647752,0.4250612371318511
[6.0-6.5),,,,,,,,,16.734096965727964,3.8650504465385667,3.1216534633940274,2.614155507219403,2.0474469188368922,1.718227336738674,2.5914963670403544,1.1470144284889132,0.854196496992782,0.5479830537072079,0.7805652171356585,0.26783246306033265,0.21755974046633889,0.13664582932787178
[5.5-6.0),,,,,,,,,5.178112122468474,3.1732914637004526,4.113120017768861,2.239916059455067,1.519755291502899,1.9894723117628885,1.3746357551390767,1.0322635481910665,0.7522969152166523,0.4190890360605974,0.313733869029599,0.4718229756352742,0.11244792509825104,0.14940286212971587
[5.0-5.5),,,,,,,,1.2394154867799765,4.4309520038795505,3.3865503782286837,2.95847957419514,2.2675678638417383,1.7020467182931402,1.2070110840315165,0.9079340648755981,0.5610373355067693,0.2353914583831599,0.4801382941259497,0.1779319058233142,0.11229275754195296,0.09423894555020636,0.0906817122061045
[4.5-5.0),,,,,,,,0.7264770665783999,3.6289984396518586,3.2255276351781768,2.6638492577840527,2.070190926456379,1.3331716893526442,1.4098708482925801,0.4687428535785213,0.5051404331668812,0.18729398504044378,0.2582319042569973,0.15038786020053335,0.1182184073452082,0.11226506296505877,0.11593744306782951
[4.0-4.5),,,,,,,1.2088239021821998,0.7026165280447972,3.5198247275091217,2.268853932848043,2.1327214380570187,1.7465464549703593,1.3794357670484605,0.5536373378960754,0.9771617233093627,0.229924920667959,0.19679811854175416,0.13142038540921383,0.13126073410184097,0.09508007157867747,0.07119999510422008,0.05419643861918442
[3.5-4.0),,,,,,2.1057714599787745,0.9570457887216411,0.3970575923820822,3.0416173047954658,2.7176444135566404,1.7483315545646667,0.67940637028838,0.415629852179527,0.5845086693951934,1.024137268180381,0.18788516827444066,0.1461297382069675,0.10910624101667836,0.0945725553322834,0.06809899128417216,0.061406018467953856,0.04818618080980601
[3.0-3.5),,,,,,1.2608889819174296,0.7807484310765535,0.4227889092621554,3.1666051411045917,0.8089229745670397,0.6309843224154467,0.3431848354367038,0.23408617551861063,0.23001009079629303,0.16970336075924264,0.1237793400174866,0.09165787980418964,0.09720341804510618,0.0843503792702054,0.05423104292339432,0.046509323185547145,0.05194897471780265
[2.5-3.0),,,,,,0.9478505826915615,0.5096717803372113,0.2911946425237638,1.4863732815604591,1.975169054278088,0.46323407207327977,0.26541458812812163,0.18075755036501817,0.1660990535591431,0.14628873497110625,0.11334837044033878,0.08091306028319054,0.06934274784405144,0.05134769106311362,0.046093038059907186,0.03981331401594713,0.03437802844495306
[2.0-2.5),,,,,1.08574521616297,0.7470240803143031,0.4172747485939915,0.22193624374950768,1.7351942711641972,0.41377649635101815,0.5017637263554984,0.20550633957261494,0.16648924105017834,0.1346327376394748,0.11749010902084003,0.07602167118434366,0.06756233194349177,0.05432952622308495,0.041938032265308345,0.04676146198338308,0.03416731029182601,0.031290253828993045
[1.5-2.0),,,,1.3885490956253603,0.9136659874349626,0.6028724265065927,0.3285044415007317,0.18970931291659499,0.5155693369866694,0.31900676798084465,0.25795489256085036,0.16799058447931486,0.1255561720034914,0.10282201207379771,0.08257368820045143,0.057851522289281865,0.04517384091512305,0.0474345693434459,0.03430142855059787,0.030662716423423168,0.02761469033797493,0.02368426865538833
