"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-7.657346311543055,-7.075186281630652,-7.866893854657828,-8.225762018983025,-7.2869570492488425,-8.670884106785707,-7.254021266898499,-7.0131923955753255,-7.9231904582902875,-7.5781327326856776,-6.975559613577551,-7.639596923287504
[8.0-8.5),,,,,,,,,,-8.443503366816673,-6.973106948594475,-6.006321937963511,-6.635600750691058,-7.234294649227111,-6.4633961764258805,-6.789156864959069,-6.968895124553293,-6.773812261311791,-6.898374623850618,-5.624957717768572,-6.6386879412804936,-6.860038618602799
[7.5-8.0),,,,,,,,,,-8.40303779855905,-7.117732750073979,-7.94654087974236,-7.26344659818705,-5.678734519705144,-6.657364896897773,-6.907478963309771,-7.177401595524785,-6.882305274376044,-6.352843833180897,-7.727214425770347,-6.692684829542443,-5.908493364405528
[7.0-7.5),,,,,,,,,,-6.293882616073102,-6.351767864729517,-5.852084285950397,-6.943095845493661,-5.663556269717076,-6.419354093556871,-6.3783915523877175,-6.837696535546316,-7.407938949017745,-6.0921995283668915,-5.049492597070035,-7.351762376277638,-5.970403377023695
[6.5-7.0),,,,,,,,,,-5.809904802861446,-6.124036774548272,-5.791852440766709,-5.8716250054684185,-5.718517809158678,-5.317983269860866,-5.15374328341126,-5.033945334906052,-6.029563292258588,-4.687237703691325,-5.579768484858622,-6.025232527699844,-5.610770783476338
[6.0-6.5),,,,,,,,,-6.004654256045123,-5.423649471036296,-6.270039598407411,-6.061460963060915,-5.386767436993029,-5.033400229144984,-6.896991117085444,-5.165749128174893,-5.198766242765677,-5.169681315104393,-5.6235781837698156,-5.170936383670311,-5.260914805184936,-4.558591611841632
[5.5-6.0),,,,,,,,,-5.031643341090415,-5.211354217407264,-5.783028419258182,-5.004559626561682,-4.984394789697486,-5.191962438745626,-5.3215208486259264,-4.845945714402683,-4.686712741850021,-4.452910244298358,-4.4984251032244,-5.585743079250978,-4.070691748548503,-4.4908487274281885
[5.0-5.5),,,,,,,,-4.574898220871944,-5.033291804408515,-4.69762992082128,-5.918238458020982,-4.712602579007788,-4.656687489144376,-4.431908708287154,-4.134853737090234,-4.281132872087949,-4.337873904272312,-4.728985709790618,-4.210154914685058,-3.9240226791649864,-4.239610381031574,-4.3414564009760435
[4.5-5.0),,,,,,,,-4.376983419171216,-4.975117346764058,-3.921846587357831,-3.9789974559214603,-4.208497875513719,-4.2156235513837945,-3.719797614688866,-4.070088998622433,-3.913047535260513,-3.4517742125033575,-3.84968132046905,-3.65945248432294,-4.099992186836096,-3.6531412407597412,-4.359303913187601
[4.0-4.5),,,,,,,-3.9894096431453248,-4.169897227638237,-3.7554134746242434,-3.73471815961177,-3.9584251443738276,-3.6815393141034427,-3.396420635422881,-3.477461044236139,-4.500897526361185,-3.30617875556841,-3.6533486925785694,-3.3953304563863207,-4.395165722747368,-3.246144767344287,-3.327374103383562,-3.1129113320249435
