"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.1643989000968246e-05,2.9050847210697963e-05,1.7295145872794546e-05,1.3426701001318316e-05,1.004575044686369e-05,8.90629520386538e-06,4.052038456085983e-06,3.465468968586216e-06,2.3726913354400486e-06
[8.0-8.5),,,,,,,,,,6.675072278289762e-05,4.140448259975123e-05,2.697922689078188e-05,1.7366764013884363e-05,1.3412861882710319e-05,8.378897000357376e-06,6.047930109849964e-06,3.684288498209532e-06,2.3986280071092057e-06,2.0391498529051886e-06
[7.5-8.0),,,,,,,,,,5.7697069547000706e-05,3.744941360507896e-05,2.5172684073101962e-05,1.714928307750386e-05,1.0834153219153233e-05,7.21052044020049e-06,5.591127343998665e-06,3.6227239663816696e-06,2.5426713402007824e-06,9.595208752290944e-07
[7.0-7.5),,,,,,,,,,5.4132517817074724e-05,3.16563008232581e-05,2.077062026212119e-05,1.4388794344562661e-05,9.27906008650844e-06,5.598253715073151e-06,3.880684688956674e-06,2.667249913460519e-06,2.1538102906700267e-06,8.223478579092755e-07
[6.5-7.0),,,,,,,,,,4.996762769324286e-05,3.182619348429489e-05,2.0277064367597677e-05,1.2428384397595332e-05,7.560435849531809e-06,5.611466269164011e-06,2.774919593693075e-06,2.040450041520583e-06,1.5213790485771547e-06,5.554616939331976e-07
[6.0-6.5),,,,,,,,,9.157734938736617e-05,4.700486117427689e-05,2.689416225713082e-05,1.7768828644756833e-05,8.309696303211856e-06,6.328614634833627e-06,4.326363900649528e-06,2.272356212566328e-06,9.689582043539316e-07,6.079479812316826e-07,7.252634909930376e-07
[5.5-6.0),,,,,,,,,8.183070887313521e-05,4.304131503832462e-05,2.5725842441487763e-05,1.4135513407737969e-05,6.92734325845018e-06,4.86199875952002e-06,3.339333853946491e-06,2.04641641131586e-06,1.0258349574732607e-06,5.677582432323401e-07,4.135021552477385e-07
[5.0-5.5),,,,,,,,8.258225518565519e-05,7.394444986195396e-05,3.8056163998816165e-05,1.8629254603420778e-05,1.0329057777008974e-05,7.390176519285774e-06,3.1887469404513585e-06,1.9063073164223551e-06,1.256028419026436e-06,6.829615170367351e-07,5.46399484390845e-07,3.5433254341564265e-07
[4.5-5.0),,,,,,,,7.637058537508688e-05,6.0387081650678104e-05,2.8168973170044196e-05,1.5925263203480916e-05,8.545180778284004e-06,4.582767233461005e-06,2.772741660745649e-06,1.5128699755057833e-06,9.885460702760887e-07,6.5004313232166e-07,4.756718143792416e-07,3.326963698670632e-07
[4.0-4.5),,,,,,,0.00020666718931283112,7.444085774989701e-05,5.843146587745843e-05,2.3294034747873423e-05,1.200283423938339e-05,8.036063875889335e-06,4.06965612083924e-06,2.0503263877336578e-06,2.0211399471305805e-06,8.844874229514633e-07,6.216174150315614e-07,4.4588590242362716e-07,3.6467957719331495e-07
[3.5-4.0),,,,,,0.0005665350728213558,0.0002074812469001753,7.25265649846024e-05,4.35531526191543e-05,2.0803130087574658e-05,9.80306364075363e-06,5.381013786464275e-06,3.0445248203399927e-06,2.042402814213645e-06,1.7879021349100253e-06,8.787083467314933e-07,6.163268117098604e-07,4.4278312639166185e-07,3.401053709838236e-07
[3.0-3.5),,,,,,0.000549190805844388,0.00020272493379068038,7.14352977979944e-05,3.73622989488677e-05,1.6369712552914786e-05,8.592393012087431e-06,4.923063885646487e-06,2.9246135384191586e-06,1.924489424071438e-06,1.2569023234814548e-06,8.670423416165291e-07,6.20959679126398e-07,4.434558904562913e-07,3.308502220924605e-07
[2.5-3.0),,,,,,0.000556197698524522,0.0002014789008158277,7.170029669064835e-05,3.3866280000648654e-05,1.716748675159321e-05,8.530281753165715e-06,4.852511238569573e-06,2.8874202931894223e-06,1.8782765662949998e-06,1.2572906943565303e-06,8.512922198371708e-07,6.128879563488255e-07,4.330704557068328e-07,3.4185573663928087e-07
[2.0-2.5),,,,,0.0014210252326496316,0.0005659605682323128,0.00020268680438535115,7.152034621079889e-05,3.2877747814179914e-05,1.5493835379793354e-05,8.443498263452782e-06,4.837220336485432e-06,2.905320623129068e-06,1.8796122480938158e-06,1.250564383501867e-06,8.515117003418567e-07,6.050088317777617e-07,4.3309725568441244e-07,3.364245940339538e-07
[1.5-2.0),,,,0.004125193461647495,0.0014418211179173265,0.0005759062749885849,0.00020396682544070193,7.182949632037707e-05,3.113368936652642e-05,1.5411092912886805e-05,8.323411633726369e-06,4.8209223039934544e-06,2.9223977989104063e-06,1.8730356541671383e-06,1.2721383724843713e-06,8.555786920126349e-07,6.060821986232168e-07,4.5354441408266787e-07,3.415090985796595e-07
[1.0-1.5),,,0.01442351541973266,0.004252904006496099,0.0014771849968804637,0.0005885377453166288,0.00020589166665674712,7.208397348690705e-05,3.10258004914382e-05,1.5509178057980934e-05,8.404415272032547e-06,4.90295163322268e-06,2.975161715204951e-06,1.900448848745745e-06,1.2646849276260632e-06,8.73784676871256e-07,6.158150924262468e-07,4.52914421406643e-07,3.433643021686223e-07
