"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,17.94628081533931,15.102900266813009,14.2607750033793,17.357095812778333,21.892254344310572,22.90659920031884,22.740651383034667,28.2272492398181,37.375457722441695
[8.0-8.5),,,,,,,,,,14.675538583445498,20.33657755401715,17.210808574662018,13.46547582220051,17.96730274815336,17.68066069247152,25.212132710632908,37.99717337137886,25.93273560482472,38.619863239810904
[7.5-8.0),,,,,,,,,,15.740965229204626,13.325823913557679,13.327750168388137,19.118970743219826,19.22843760598082,26.510660900570556,26.939610575765442,29.75970103847906,24.790265491580374,28.292497446539077
[7.0-7.5),,,,,,,,,,10.576740864270207,13.461279127603044,18.195976154977284,21.63309134272299,19.326721275116732,27.082890982628957,23.130138814596577,36.88581250941015,34.796285943178184,34.883695933938746
[6.5-7.0),,,,,,,,,,21.69419777898487,18.239634239298155,15.294559647404224,16.88349712942066,16.907736628963246,19.8319080895475,25.2973624349989,29.334587117670964,41.42990560589244,15.567876637745217
[6.0-6.5),,,,,,,,,50.13663007508617,13.094215379770555,15.819313689119438,16.352747021710908,20.707485777547344,23.49840753595541,35.51657020095818,30.026661663996446,30.541547797794653,23.516001331265596,36.1889685325966
[5.5-6.0),,,,,,,,,13.288958037929099,14.628586086319716,25.67991119807161,18.78057566439224,18.25892851711123,24.602194812650122,24.95028386237702,30.62155607175038,29.70112695365912,18.600626126000915,15.882610053617194
[5.0-5.5),,,,,,,,13.598636414359481,13.794443147461628,15.898946018239682,18.747517341186278,21.708742799131144,21.720720002523144,24.088400258698073,22.658335745974476,19.737947191122892,9.482825455489769,24.82054437568877,9.21186236588991
[4.5-5.0),,,,,,,,9.04067081197282,16.602578364617127,19.56370488682749,20.549703176634598,21.37189289818587,24.459606651631965,29.68804859628803,13.557423900255447,20.642783444795654,8.078198984197044,14.199554942160548,9.035150123699857
[4.0-4.5),,,,,,,9.559952749233139,10.003287050936322,17.44365820036653,19.694345585242672,22.548975653776978,24.57276956451723,29.519181854456185,15.541045268547236,31.63382362438685,9.616331375243055,8.947726319232043,7.769665152715844,8.942321214938248
[3.5-4.0),,,,,,10.611811454584918,8.606224061951078,6.54245145678253,21.26223291334628,25.766056689573688,24.82926823906222,14.295812782012137,11.624262709660174,17.970591376142703,40.05471373709312,8.187302324256827,7.292111642682316,6.494743909619363,6.555251265558898
[3.0-3.5),,,,,,5.485683005011964,6.065895849934678,5.674157836764189,22.997743506251947,11.491408649553435,11.453019420981198,7.941752407798073,5.26472615026701,7.164633533040501,6.220604520796976,5.409472486349819,5.32343401658282,6.579581939904639,6.996106578318368
[2.5-3.0),,,,,,4.824670011622762,4.662594379376014,5.612881584085604,17.401356870843458,31.95843233813939,6.768284548412888,5.315359988500188,5.264366274753701,5.560754937249947,6.846953816814132,6.306240282437152,5.285426297442544,5.533166501262978,4.922150063088621
[2.0-2.5),,,,,4.761609051150083,4.583614822391479,4.637328974942432,4.274556497410806,24.234336959363834,6.085313299397789,11.630969996539225,5.039961972323702,5.457224737981647,5.287313359551808,5.943830082144952,4.830608595465474,5.449217053466044,5.131550197667241,4.624646849537426
[1.5-2.0),,,,5.253825059642887,5.143143316430284,4.730083884374049,4.668003619228216,4.688002565057137,5.363177864291676,5.073660358641383,5.871881766425031,5.328081495952098,5.295497017718269,5.152357469067775,5.297985210107168,4.852724671597688,4.502607990267342,5.718617278688804,4.82688345237462
[1.0-1.5),,,5.538486403598592,6.08081590851622,6.232903834580587,4.103439358069791,4.1175807598478675,4.401430523195847,5.5588574942209386,5.187103535896025,4.189991522753039,4.980148092771884,5.151698266255553,5.168346145473954,5.055886563715505,4.287828303252746,5.160847056400266,4.6813314657463865,4.810280530523388
[0.5-1.0),,5.274714353763782,5.444971064768927,5.231541606561691,4.655117455968975,4.193071905388761,4.06502016045208,4.19915367762713,4.746567811901164,4.9676654049714335,4.638660834725334,4.919249250117453,4.589755439253318,4.878642802471479,4.405346755038294,5.454280070526901,4.549904215149834,4.452833067120712,4.4101546393533315
[0.0-0.5),5.409118069427372,5.694602424447048,4.956663849175059,5.0507820450381695,4.509417980040978,4.047944677084828,4.264689458311604,4.067433796184305,4.667087605845444,4.901288977377416,4.6024862136238305,5.537161676046606,4.6346601927364635,4.509095238449675,5.0332650310848805,4.758097360877273,4.704164630283205,5.529188278377449,4.234038167879692
