"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.911137966517048,5.424434823981104,4.462742633693326,3.9476201240565523,3.4510443830059447,3.580130178324992,2.6403866932201843,2.4864795082378355,2.1721030411928486
[8.0-8.5),,,,,,,,,,7.067497559333559,5.509147528845293,4.861822176973521,4.21956592208431,3.5945976834221605,3.0292467451970895,2.852122483972507,2.3948730904510582,2.1142509685297424,1.9116563466531058
[7.5-8.0),,,,,,,,,,6.19788414018485,4.895283425822887,4.389977909523947,3.855861994187154,3.0542911878230705,2.666862637369345,2.5155939751574152,2.1368108077232377,1.9661133373585362,1.4950895696847257
[7.0-7.5),,,,,,,,,,5.651461388393529,4.286082859641874,3.7754362898854623,3.329831793470037,2.5926332649378905,2.258756994655429,2.1036518891525438,1.8036822228389011,1.6882521571981062,1.3328220899465542
[6.5-7.0),,,,,,,,,,5.070380442720825,3.9673051478695953,3.423664992571173,2.9328743859059085,2.311272743022403,2.0876711764073708,1.80203887129408,1.6422720318913686,1.423277486877127,1.1961987956088262
[6.0-6.5),,,,,,,,,5.53893538754676,4.568045580690117,3.410787872053069,2.9620590973888072,2.349893202496121,1.9980020441831086,1.7680184228610447,1.5726660636560366,1.28278727686085,1.1421613115798754,1.0935886329025186
[5.5-6.0),,,,,,,,,4.877347511470939,4.007169917214926,3.03491697132583,2.531759442909002,2.0627191561291323,1.7002519887400567,1.4990822460516853,1.4087768166082506,1.1695480341235698,1.0493144099568457,0.9576352483288747
[5.0-5.5),,,,,,,,15.8271417599632,4.299801671547617,3.522167625701517,2.5189755551122537,2.1007383192067888,1.8801524550582196,1.4048038652243908,1.2515450773873724,1.1721012340732215,1.026518603473007,0.9401068487801146,0.8432535410661267
[4.5-5.0),,,,,,,,14.156974555619664,3.597107665515491,2.868550319232937,2.1741064356966104,1.8292819596265737,1.5498893679053958,1.2397676663667925,1.1030488247188692,1.0258842357291866,0.9209773016700448,0.830544889428652,0.7552606111181797
[4.0-4.5),,,,,,,17.48127240676299,12.662898852440621,3.182817527224058,2.4633853344023846,1.8330649835143218,1.6056551650160582,1.3500467654370978,1.0765925587517922,1.0007338589497659,0.8999420001943812,0.8131004481315793,0.7327094536553418,0.703933873023373
[3.5-4.0),,,,,,20.17544857170629,15.500522556772355,11.184102761734879,2.600728238465675,2.1069623786228107,1.5569680830653332,1.3369338325651754,1.1511853427365972,0.9488135399935845,0.8587445749051388,0.8095212663671169,0.7261117072896636,0.6550163558671988,0.6074663221881842
[3.0-3.5),,,,,,17.35668708730212,13.432163610327224,9.686469743221629,2.1831076545934205,1.7620873493355136,1.3237669919003272,1.1433435632337787,0.9931207167358439,0.8090845492534087,0.7276526187368996,0.70112676252177,0.6272479070167234,0.5711564938472985,0.5233544009459474
[2.5-3.0),,,,,,14.835184738300113,11.407559810686774,8.243525545406605,1.8137757235378857,1.4909439655398045,1.1165134429374655,0.9644181631546666,0.8368133794759538,0.6894875687441506,0.6167228065717516,0.5899473171739887,0.531047141926589,0.47866664135899206,0.44890477294789843
[2.0-2.5),,,,,17.949318251155375,12.30685768358197,9.390398012405065,6.749638636174798,1.4788643201544491,1.216081085784622,0.9149024052015501,0.7989561147068578,0.688047145153698,0.5699361391792378,0.5062870747914977,0.4822129406674972,0.4359755525938012,0.39227495050503997,0.3650602277637027
[1.5-2.0),,,,21.651694352403386,13.984038149292406,9.624479913625327,7.344121681090755,5.260707590687243,1.1419187300132105,0.9450464111521824,0.7106106726044943,0.6161282073623775,0.5379026190467162,0.43923820886252685,0.39834256480325464,0.3747528909291045,0.3395722596192861,0.3128376162092032,0.2860753514639951
[1.0-1.5),,,25.704674507785743,15.646445158370284,10.144156970249071,6.955914165344569,5.250982890047312,3.7743451737648765,0.8188168650011367,0.6797480515797462,0.5118544200692542,0.44401912428747986,0.3856807173428628,0.31555776052889456,0.2831826206828483,0.26962775721189064,0.24277598114333196,0.22099168567165056,0.20539188851449958
[0.5-1.0),,27.621265564203338,15.744566582852713,9.53612920867776,6.146998052293028,4.221020169469569,3.172875571690014,2.2729417446183358,0.4925212037689499,0.4068203956288061,0.30880438299088836,0.2653082758463229,0.23290149189027626,0.18918896263448676,0.169059946728006,0.16182034176429497,0.1467564758249919,0.1328027671161526,0.12295627400155164
[0.0-0.5),15.648495450988731,9.589288376590156,5.369833382789718,3.216497039458709,2.0851687499129485,1.4235135175586027,1.0617250275552967,0.7581574723520512,0.16436235670289384,0.13622452972850235,0.10143281430787897,0.08922578558661295,0.07742784088350027,0.06331753159622268,0.057082843034428524,0.054094454412817725,0.048463379693716245,0.04412689223029959,0.04080957725229274
