"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.01749833133951686,0.006587472282222874,0.002273238774886383,-0.00020799008381073406,1.9782814652458113e-05,0.0017516952925899201,-6.097721893033396e-06,-3.1654233571576345e-05,1.2708485178353476e-05
[8.0-8.5),,,,,,,,,,0.024663660728786868,0.014135850578556722,0.005447694645984962,5.59795145123475e-05,-3.541115919900123e-05,-5.104857104424594e-05,-8.931297520066763e-06,-0.0002086243873776491,-2.8550103845657184e-05,-0.000137881635030858
[7.5-8.0),,,,,,,,,,0.011103768501635712,0.013859062930353319,0.007013260024604625,0.0017627708594408352,7.761133559518863e-05,0.00026895023530775533,2.081075815106101e-05,-1.6904904011407093e-05,0.0002190489779365356,-3.5058266016883624e-07
[7.0-7.5),,,,,,,,,,0.008725034174271111,0.0034553014973586513,0.0017407440297528395,9.441637172961608e-06,-2.3284299606953856e-05,-1.5701610503732672e-05,-7.463634760431443e-06,-3.0403520325800535e-06,0.0001227507618530012,2.6025120432751278e-05
[6.5-7.0),,,,,,,,,,0.005506884750623684,0.0035058343990094594,-6.903112545667132e-05,2.0837462433260914e-05,4.4782951045622774e-05,-3.341197185098368e-06,4.219464040816444e-05,-8.287335926812258e-05,4.863161571531155e-06,-2.037148129798252e-05
[6.0-6.5),,,,,,,,,0.0033882699435233,0.0036390538968689556,0.0018062006946333756,0.00011373928482086048,3.878224129931782e-05,-4.0779830937751485e-05,1.6451775965087912e-05,5.4127647211460695e-06,4.193510486639646e-06,-3.335130987133269e-05,3.018505616509979e-05
[5.5-6.0),,,,,,,,,0.0016435395511620985,-9.212243472706204e-05,0.0017017680463264067,2.8573139247465798e-05,-2.1366905305483575e-05,0.00012717494498610662,-2.75455833532445e-06,1.8432295242055717e-05,9.13870332330201e-06,4.1346284849278405e-06,-1.0482239835455741e-05
[5.0-5.5),,,,,,,,9.04083084151254e-05,0.003557762883853713,-1.667597268348003e-05,-3.1483969483927555e-05,2.4122838069234792e-05,-0.00010088901960016374,5.255377143450758e-05,2.6280508910508982e-05,-1.0890210946995656e-05,2.1805793395474595e-05,1.5935756751457422e-06,-6.734014306063352e-05
[4.5-5.0),,,,,,,,-4.994443827882377e-06,0.0017403007722503877,3.6594404765545715e-05,6.833237558200148e-05,5.5768520369149076e-05,-1.37079792279832e-06,-1.5241234804749944e-05,-1.0670476910313982e-05,-3.01394166632271e-05,3.419026976697738e-05,1.829885747128331e-05,6.5065422477575735e-06
[4.0-4.5),,,,,,,6.914099376978203e-05,-4.5597891536478917e-05,2.3118372744576325e-05,2.05768415826825e-05,1.4887144457394013e-05,2.602843215007654e-05,-8.606440123731578e-06,-6.745195806999636e-06,1.308960384252496e-05,-9.138704899208371e-06,-8.49449016730995e-06,-2.6335132383760276e-05,-1.3096794022073987e-05
[3.5-4.0),,,,,,7.055480108437738e-05,8.365515657006836e-06,1.8710718224099638e-06,-0.0001951322714645038,-2.0684985807274655e-06,2.7288438380141297e-05,3.761576788531298e-05,1.8424079685625515e-05,3.191233086511054e-05,-1.1635594104698313e-05,-1.599955898299978e-05,-2.0245127059082917e-05,4.92857063288323e-06,-1.4361870268037576e-05
[3.0-3.5),,,,,,8.420259826722453e-05,1.8153152209958095e-05,6.798039524622772e-06,5.085280127522478e-06,4.8972864966397055e-05,-1.0357462664808001e-05,2.946956510088613e-05,1.192392121167092e-05,-1.6333382640958992e-05,-1.1737401594135711e-05,-1.7779617653158617e-05,-6.000680956527914e-06,-1.8198882050265544e-05,9.08064168478511e-07
[2.5-3.0),,,,,,2.906502644711156e-05,2.3700648362377625e-05,2.5191136137314535e-06,-1.7555431375866838e-05,4.679083490041231e-05,-1.268014191261222e-05,1.0583922222763401e-05,5.181722152638384e-05,6.396824638756596e-06,2.4016723980870897e-06,4.460104106755133e-06,-6.200546670870444e-06,3.955685895832702e-06,1.620367811940126e-05
[2.0-2.5),,,,,1.1497024043846143e-05,3.060386965961607e-05,-4.778830165438782e-07,5.613938344203088e-06,3.5365868202374974e-05,8.026361228682526e-06,-2.6122146986925173e-05,-2.1240726246013793e-06,-8.762733680759182e-06,-1.356179804549886e-05,5.391117723228031e-06,8.846249293665205e-08,6.426288500009372e-06,3.1257115091638663e-06,7.312608891137163e-06
[1.5-2.0),,,,-6.017978565073969e-06,6.507025704394346e-06,-1.913016575108742e-06,-5.00591806160243e-06,5.7478474573826166e-06,-4.037471811585023e-07,5.9103402840501266e-06,-1.6107517350138217e-05,2.001556247126879e-05,8.72009373078672e-06,-5.7260734304162604e-06,-9.248562268076688e-07,-5.255008069787736e-06,-3.4925266022121087e-06,-5.9847805113556615e-06,-5.80160708037771e-06
[1.0-1.5),,,3.106473322366019e-05,4.682833323239007e-05,1.143572403924359e-05,1.6828696140741906e-05,-1.8434027505388962e-06,5.552813134692127e-06,1.6499748719833815e-05,4.649700742962683e-06,-3.881457246182544e-07,-1.573749844565931e-06,-5.575460684393993e-07,-1.5960943054172769e-06,1.7022185826385852e-05,6.260257539880619e-06,5.790261455864436e-06,-6.921913657882133e-07,2.4593230902962362e-06
[0.5-1.0),,2.1916563030730628e-05,3.084371038619307e-05,1.738209969644421e-05,4.568682622858559e-06,6.523770327846905e-07,3.812867745855379e-06,5.085245191330953e-06,5.481143266914867e-06,-1.0930568506915108e-05,2.0360638529326767e-08,9.50747411575313e-06,-5.157469454737674e-06,3.907036611058498e-06,-5.229618327799721e-06,-9.265583029041601e-07,1.5478453028210653e-07,2.695453892514172e-07,-2.0494571280266396e-06
[0.0-0.5),2.7117398356031946e-05,1.3609686857251107e-05,4.885916521709983e-06,1.1243771347416065e-05,-1.3086050149064392e-06,1.1877268615561789e-07,9.958332841726993e-07,9.974461332933605e-07,-1.1190334009918316e-06,-1.7358152827505363e-06,6.264957033545488e-07,-1.791451411454038e-06,1.723914821351949e-06,-2.2986612065346253e-07,2.1366629555384946e-06,-5.2242523630371736e-08,2.5436045498337885e-07,-8.25643170756283e-07,-7.760509047135937e-07
