"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.086372981684864,8.102633420273161,7.5764105341602175,8.311900898557985,7.276482115023659,9.241111838572667,6.878861390380978,8.283392264364535,7.224603580732893
[8.0-8.5),,,,,,,,,,7.474285818579908,7.1900802958982135,7.306665668485175,6.087854754169291,7.1356455719560055,7.230437564266635,6.178170519619686,6.9796396576203765,6.777485312947539,6.872547494364816
[7.5-8.0),,,,,,,,,,6.080205289937528,6.831910908607405,6.771641494730357,6.741280811409009,6.696447684961373,6.5624153393009355,6.833558898624199,7.448656376309435,8.884428253629652,6.372985181568902
[7.0-7.5),,,,,,,,,,5.853787601566816,5.416602923755295,7.044647523717066,6.741512590463139,5.959829293048509,6.591829719816065,8.130635827718727,7.322904042779431,7.1639615042863705,5.2869213022854655
[6.5-7.0),,,,,,,,,,8.045232898832634,5.814471198509903,5.94380895024632,5.902894202663289,6.085270154777972,6.262422899222704,6.063384082485982,5.420503842575811,6.026648735789471,5.014819105116096
[6.0-6.5),,,,,,,,,5.8573044460503185,5.295061452757347,5.413434414304422,5.293737408441418,5.669849175803602,6.245699818721157,6.373093519968956,5.58498633577886,5.435179377089525,5.250502486494262,5.996959733358506
[5.5-6.0),,,,,,,,,4.496333957058284,5.503679539697548,6.010669486797168,4.570643686811671,4.867133320082102,4.848496291221157,5.501281648319797,5.9336479539942815,5.508561897180014,4.293154215645688,5.101266856389394
[5.0-5.5),,,,,,,,4.591970164678145,4.5773539730320705,4.32498127264696,4.982554106535212,4.289464774071542,4.622749842721234,4.314879266902915,4.881447124511047,4.977258333933795,3.81454827394609,4.95553560975241,4.896067021409303
[4.5-5.0),,,,,,,,4.120943352699846,4.360925342973403,4.987667085787526,4.376692717291245,4.046089417105289,3.861933588506833,3.76377766694727,4.193924641408873,3.7139453631212413,3.8135042441717957,4.159975671106755,4.151420083296426
[4.0-4.5),,,,,,,3.4745833177814656,4.337243631184981,3.757190413353407,3.437334078612141,3.973848434828164,3.793860828891707,3.602599116747314,3.7815317714042087,3.6307560613216405,3.841959719404617,3.845966462888462,4.162765389739439,3.659957722186932
[3.5-4.0),,,,,,3.5273830401223654,4.189669840157512,3.230214913012199,2.9589885272759133,3.552560480667709,3.1693224723618574,3.082981846386135,4.379743466638391,3.09555238284753,3.345308360690564,3.446863625783498,3.1538717396488587,3.267370297595806,3.4357625115793855
[3.0-3.5),,,,,,2.880955951265843,2.769662864248869,3.094856290154717,3.0435812251148606,2.844470475827367,2.825561258663112,2.5883555069899415,2.930850611493814,2.7889599367129154,2.6964151445524074,2.8259165755724105,3.270699251488649,2.835634589669414,2.485635450141129
[2.5-3.0),,,,,,2.435087317609814,2.2681405576141236,2.614715762146121,2.778698344912057,2.404334650659127,2.368299471242338,2.2727238688047797,2.376218347682153,2.6526654591842047,2.21268615311053,2.0739861190292945,3.2925980673510953,2.5545200450700842,2.514770312713749
[2.0-2.5),,,,,1.9275721442346112,1.9849365138282948,2.0128604536086043,2.152742754437658,2.000094956759316,2.331703799495733,2.0493077261725645,1.9497028200636493,1.8682057370561238,2.3054155371127205,1.7106615753553491,2.1404145681530773,2.0778280145567165,1.8647486897057133,2.117772139879417
[1.5-2.0),,,,1.6356142646780414,1.7403320124701502,1.7689072364601652,1.4322594017841246,1.6636527201384752,1.7566127379797094,1.5887857599916662,1.5435506845381188,1.3419416803223718,1.5832333004121417,1.6528710731489977,1.470660680940537,1.5455315226269888,1.5306965249725069,1.515852618216003,1.3300325531768826
[1.0-1.5),,,1.041522600099365,1.282031486386514,1.1559277374714376,1.2265252806805846,1.1318243283194986,1.2100120577393696,1.0778615426240683,1.154063090834346,1.0503633399204817,1.1178295649983607,1.0659991594518399,1.2766614314630715,0.9577334137294939,1.1657723407218423,1.2805671821219935,1.0895161752114415,1.0624002233368859
[0.5-1.0),,0.7308871587149217,0.774968809027061,0.6976814522461228,0.7374647988726276,0.7802111918311971,0.7902212022687315,0.7036117256266964,0.6811438903607022,0.6077166276583355,0.6786080391224842,0.6823380495988893,0.6736041672130172,0.6071890752316249,0.6816715060439621,0.7250887473760425,0.7293065781485286,0.5859238576000004,0.6087319759183393
[0.0-0.5),0.2555469214937228,0.2680397608407437,0.21222030607907127,0.27358907406487293,0.24617752127801767,0.21954373749363565,0.2504293407227999,0.24838330783980694,0.23661652773322356,0.20576836565593415,0.21121609332031105,0.21703237725409316,0.24991747964986336,0.21917571712924738,0.22233986482603105,0.18978479073236149,0.2091423568120091,0.1911490115686762,0.1827438442264911
