"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.6944601503014541,0.6100295687151879,0.5102698430876036,0.4483044679236089,0.4229155770657672,0.37238521502217714,0.3999648355482748,0.3249940072152203,0.22694497837987915,0.19056205577632085,0.16183854724622224,0.15258029833362424
[8.0-8.5),,,,,,,,,,0.7641602030775796,0.6451566780886795,0.5408736824485398,0.45436164828278647,0.44328712705604306,0.3599213834496573,0.3321757435672369,0.35192155301499994,0.26196474142947745,0.2544580670775136,0.19208057489157043,0.14812112254240617,0.15336017897491055
[7.5-8.0),,,,,,,,,,0.740363091116568,0.7905801641674015,0.6252108561749655,0.4691314083589025,0.40011520402311096,0.3761079731328073,0.3066613044440115,0.2870006621520568,0.2548886949143122,0.19405176037692656,0.1837007829630885,0.15414091237060185,0.12082714414376887
[7.0-7.5),,,,,,,,,,0.6279723707981828,0.5858963336043554,0.4597831962780744,0.49015292637602403,0.4604889257532383,0.3614301328497042,0.29645342479274417,0.32256481709361373,0.22770053698395187,0.20833298627319224,0.15363019259090271,0.1295293803828776,0.1270688036216034
[6.5-7.0),,,,,,,,,,0.6447714457568958,0.4941887074645145,0.462081949081625,0.42417367050172344,0.4666149351022302,0.29886154918108554,0.3132241451497886,0.2840766905631194,0.21890366045821535,0.17873277487804573,0.15285788311381596,0.13122900547859817,0.11977913593719858
[6.0-6.5),,,,,,,,,0.7489392383283803,0.6296434018502235,0.4831689278862146,0.4768611929603479,0.3497065706845195,0.3108115444236516,0.29442311604468513,0.2721248806987787,0.26728645801464296,0.20722596280726596,0.16802608941316696,0.13788158451821078,0.11525187167528328,0.10970379681166995
[5.5-6.0),,,,,,,,,0.6121458765589023,0.5373001374666273,0.5023101969984393,0.40194806277307604,0.3525804942759722,0.33680443840108043,0.29708000803823265,0.22177183445698784,0.24214833348847709,0.17563746846536094,0.15169177445538862,0.13416978190013934,0.11259076057662856,0.09926809489524763
[5.0-5.5),,,,,,,,0.6447147458296874,0.6124113136581728,0.4966615915139792,0.3932243953957957,0.3991407360507674,0.30780509668616274,0.25619859808459033,0.25097195580570564,0.21478459720341703,0.20437773338440762,0.19112073459157375,0.14355034145740073,0.1054827726737978,0.09760373289532645,0.08203156628326516
[4.5-5.0),,,,,,,,0.6472611139623985,0.5095464120132247,0.44105294502557546,0.39121064613448764,0.3505219671937299,0.24799884217241938,0.25851575983576713,0.2262787653404674,0.20809016977373615,0.1864164605168589,0.16126690323342036,0.11935945058349018,0.11076164132022683,0.08786865995972343,0.07235093593737163
[4.0-4.5),,,,,,,0.6634509055505702,0.6199039391297527,0.4542331102665806,0.37817648905679513,0.31697165442169817,0.3015317636615672,0.2710771135949269,0.20726164638374367,0.2053767039744187,0.19862340391738528,0.1898664415510551,0.13732858315523844,0.11976318678097786,0.09566927914886197,0.09189033357491068,0.06594973609260331
