"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,19175.24660907309,13848.396076356836,10196.496101331079,7742.930423683863,5829.87775299677,4429.6311942824495,3462.290933136228,2622.013212720074,1981.672014313901,1456.0960617535225,1042.2202858752642,757.2155033847639
[8.0-8.5),,,,,,,,,,24236.627321733962,17222.271358393245,12519.407574793913,9150.378980476406,6876.858011118356,5207.506442379921,3954.4662404626024,3090.2406689918544,2342.5750067145163,1767.2183269674883,1295.3684069169626,923.6665825992698,672.1331423247368
[7.5-8.0),,,,,,,,,,21597.54448662163,15247.442571626452,11090.57910446023,8147.836662351731,6104.06224873716,4595.782886329956,3502.050794648404,2737.79468118678,2068.801674131774,1554.2661287415708,1147.5163535258243,817.7322876633723,597.010724608953
[7.0-7.5),,,,,,,,,,18753.756251471328,13587.623729850604,9902.482617976268,7173.856975116565,5346.34757920105,4062.7122804694654,3069.4462002522678,2397.306167828713,1817.2881106009158,1373.4621078269377,1006.4281717825884,716.7683223228,521.379782102811
[6.5-7.0),,,,,,,,,,16498.8768219776,11928.389286479673,8539.821401278681,6278.149462892108,4668.812166530475,3528.8645400448977,2653.931098332667,2101.19350242437,1580.0613353735378,1199.5358354739758,871.3304325183656,621.3518788748122,454.2216471742887
[6.0-6.5),,,,,,,,,20825.189447199245,14361.64820402754,10200.144498307485,7384.291264337222,5413.997526167957,4042.3023110207046,3049.1620755363274,2302.5721365058284,1802.3764139560176,1361.2200136520785,1025.9195268504093,747.5225898447784,535.3470591303977,387.8531727276053
[5.5-6.0),,,,,,,,,17700.40412412285,12324.929869732638,8723.811984541153,6295.40473555434,4628.867325694382,3432.2555486265805,2577.057205904347,1952.0410794112056,1530.5465509545734,1151.4589374607463,873.5216302829722,637.2652860582075,454.57517485435005,329.18858505399214
[5.0-5.5),,,,,,,,21719.290815110886,14824.352722355081,10391.705225665319,7325.583154430786,5278.011644310738,3861.921825097077,2893.3560999359843,2150.597170520822,1639.803679390975,1284.8019282489363,965.2414026125111,726.4978172287417,530.2994984909478,378.6076038128032,273.7877126041883
[4.5-5.0),,,,,,,,17985.789170721568,12291.115742441003,8489.19962361691,6042.501978660038,4353.474388198483,3190.643043693205,2368.8417284435563,1783.1381252099081,1347.3334414581527,1056.770098326649,793.1822049775974,594.5479460316457,436.3702439310103,309.0609457134939,226.06213419589986
[4.0-4.5),,,,,,,22546.583169004225,14774.017104038478,10076.383787152154,6925.565197893058,4906.943617222127,3551.0484809404106,2584.220006982774,1907.418525577492,1433.2349025449873,1082.320561456177,849.332336003871,635.5945257599818,483.36100407163167,351.37479630799817,248.08898084552277,179.89613363260813
[3.5-4.0),,,,,,27210.774536250574,17471.49875381194,11680.108335076891,7805.228281090387,5483.138063467379,3891.774637040222,2770.173532845253,2018.1667948032655,1498.2642135073706,1123.384408358384,845.4409224438164,669.6221249865117,498.4331498324598,374.87387966214885,274.0713783922787,194.48924449862068,140.8636858352864
[3.0-3.5),,,,,,21104.442608691184,13567.96207714855,8863.087998848194,6062.83213390908,4179.543275162869,2932.4675767388153,2093.4437770515724,1543.6079046078344,1131.974483284503,843.8543499355274,640.8071377620599,505.0047914718185,376.87153200205046,281.64306676001956,206.08389936225117,145.74897913649158,105.92491413189899
[2.5-3.0),,,,,,15157.609533873263,9799.123123379271,6485.963915404058,4373.371706794687,2973.1609711297615,2125.8441305053866,1524.5967996199038,1107.1522897116865,813.5552054396435,610.5701937656206,459.88009798379653,361.46124153638004,269.5639502486745,203.26303596743628,148.30382621147533,104.7747375103812,76.09460786697639
[2.0-2.5),,,,,16228.572748215034,10452.447093203758,6658.632903623392,4376.843273316654,3033.8546107815637,2046.5212559674164,1422.6777546841936,1019.620828343442,745.4356802761843,551.3833858424704,410.70483821209154,309.1568159388246,244.22556635310258,181.26329608463783,136.52498890411277,99.54378817196677,70.4090576667449,50.92914832364876
[1.5-2.0),,,,13799.645688344788,9957.612603114423,6367.994608314068,3994.7898078561275,2693.6887225479322,1857.3683869017534,1268.476833572566,875.8012214555731,622.3218886818129,454.94958683975244,333.3010063482022,250.7139890430472,188.72954819309072,148.4588616649192,110.71942548343512,82.77563881186994,59.96668412811377,42.59629842625511,30.895064589027932
[1.0-1.5),,,6841.678151345763,7280.194234033235,5302.250179432528,3488.200199702947,2185.1074777622734,1394.5785616467992,946.8738524493341,650.1770077385052,454.6472263473293,325.8129022061835,235.22872877024793,171.71385153727337,127.84674955089491,96.50693894806318,76.2737066125186,56.56625343009554,42.495756252982716,30.70272716707101,21.78243903587112,15.809267197113428
[0.5-1.0),,966.4089815858651,2523.306358612821,2731.810397532121,1975.546894572878,1262.5664053058888,786.3275351090683,522.5297580184633,345.5370908871763,238.45075486792157,165.9693616942173,118.06470524192713,85.22755493979312,62.8454936495221,46.78944600040591,35.20864597256535,27.77082074083051,20.418132393738865,15.272134962652824,11.128347145921772,7.838703532791355,5.688167562845623
[0.0-0.5),5.9839081483024135,101.80934138437968,298.32226199909405,332.2711273545516,241.57671985563982,148.05377465088515,91.42672707482733,59.098317818585855,39.93472710681164,27.15817818886926,18.4038141639684,13.146160709200409,9.540796931656217,6.976406631816735,5.19560142937782,3.917537440911752,3.10436297515811,2.2810260981420845,1.7043925317915427,1.2416912722685116,0.8713438011726862,0.6322545142749971
