"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,117672.96794045123,95050.5194060668,59568.84622784546,59009.92897234289,49914.39264861816,39282.205128072186,39335.71126318131,42671.464552878795,29882.986746596023
[8.0-8.5),,,,,,,,,,145907.24489511034,91445.3823691785,76809.4430488638,63427.702993663435,56683.09696038532,43973.64192192234,36427.16094740701,37952.88077231916,34019.316719586044,34102.81013044571
[7.5-8.0),,,,,,,,,,160528.41134007712,176608.03806090853,86359.87943701714,62549.3464473619,54282.64104742372,52439.53107545805,34876.10083983414,34182.48952416074,26157.74750374444,24137.0108167429
[7.0-7.5),,,,,,,,,,83571.03981573263,70006.74059119882,58663.30990592772,64335.08613203461,67993.82914109476,41795.91286997511,35363.53991243256,35601.76206419442,26955.190965365222,23479.76948605729
[6.5-7.0),,,,,,,,,,94671.43226205978,65941.04082524053,56058.44954044695,53894.522964414966,60127.76520872302,41230.201686171895,39941.9691507212,27127.07061666735,25730.88302023127,21654.46073927537
[6.0-6.5),,,,,,,,,120726.84686998521,83982.25836810686,58035.31173486421,57616.75401266224,42859.522454548554,39483.14417963551,29778.69108151942,29458.820321156345,27729.958260556796,22099.974794619393,23365.383274111413
[5.5-6.0),,,,,,,,,85555.06638261546,72550.48977913188,73887.32562396892,43733.38147292891,41696.78532010019,40513.32455578973,40974.75373398976,25020.45124825778,23610.375649696845,22954.404861148934,23832.411008532104
[5.0-5.5),,,,,,,,85055.52344125758,87537.71403671576,66497.38998842495,46283.81940260505,47414.43174768247,38347.35061761411,29503.754265153744,24635.378318505616,29180.579238898437,19692.223177478092,20869.939594780382,17852.872988700976
[4.5-5.0),,,,,,,,101317.39951028966,74346.56709523856,53546.94672461051,45158.55105933045,39281.25187699217,28845.12412481692,28658.748761873267,22872.316997777038,24957.291268517853,20371.09691852563,19797.564267229878,16087.337500567128
[4.0-4.5),,,,,,,85472.6956841089,76550.90666380794,55318.11330905539,38007.54798524633,39503.168543844615,35501.62175807497,31228.671675799487,26040.161217165183,25625.17108031322,22147.25076972006,17601.934572980892,15709.194921113374,13855.516161847108
[3.5-4.0),,,,,,105493.26278064457,75889.28488015733,49749.31170615045,45334.90698119845,39342.91315010148,29506.696643896277,26294.096501684624,24425.64774351023,23151.747492105507,23686.842610779942,15893.184871266636,16431.679592590146,15602.51440695989,12409.489291624875
[3.0-3.5),,,,,,122903.97981023396,75108.45260859476,50486.73365104068,41423.81639000438,30181.941028063866,24929.357463535893,23744.070320676437,21375.975234920606,19719.010474442053,15102.456824835117,15389.993202373495,12122.38719047198,14284.30681675491,10341.986128242024
[2.5-3.0),,,,,,75563.91062071278,44053.327227626025,40939.07833102937,35339.23967034941,29165.005384146294,21498.844754043756,19964.113064366717,15929.441104294607,15823.307057528778,17348.10165326368,13071.110574539676,10712.770002590476,10130.55473502065,9107.484592397344
[2.0-2.5),,,,,67963.04157166714,46479.25810383141,41852.124454448305,30173.124587828504,32473.638586991074,20744.39069577824,19456.407066951757,15716.742834907136,13580.264577508153,12838.80733163454,12027.205805995158,9529.875825271783,9366.333017362256,8872.25353528141,7353.5179058220065
[1.5-2.0),,,,70176.81911999518,53867.81296426929,35931.40215374502,25535.385260581723,23658.376927914087,23686.342360257397,15269.245515413371,14561.458365026565,11400.336797583288,11126.30320813513,10494.5032221019,9886.949499432045,7665.301470120555,6499.257438788378,7430.995300258745,5955.519126409634
[1.0-1.5),,,41727.21206437783,38970.980536161165,33353.783458451035,21251.544683183394,16679.76854750981,15773.33702668784,13502.118283698659,11043.973946618717,9117.214023322607,8980.209997633625,8512.219797319192,6729.664144541951,6308.73033958155,5442.1059909814685,6003.55367138077,4751.12506916162,4549.406702765773
[0.5-1.0),,25306.427776420987,21631.776417494086,22871.717084552653,17762.010443617513,15418.943413044035,10985.177554413136,9151.787568162394,8094.646136993527,6068.410965363064,5878.98870284839,5521.962092344829,4149.305712314996,4388.3262666893725,3802.3075343812975,3544.874487474868,3215.2863665911827,2594.581192189345,2623.3848420147856
[0.0-0.5),6384.836108323615,7721.255530498139,7054.504122762823,5741.279859660744,5496.1948140347195,4283.791590855191,3823.664828555156,2988.267315356316,2845.8585678339005,2149.645642630761,2028.001487604107,2264.422159123754,1695.9131808050126,1509.216362438731,1317.745528646462,1023.96833729331,1045.136949502295,937.4775810633831,834.5949709132169
