"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.2830337900330216,-0.24588613371398801,-0.21821383878020767,-0.2105599447033458,-0.19914521345826272,-0.15574097882761614,-0.17291137139409885,-0.17287407037759475,-0.10667349220760378
[8.0-8.5),,,,,,,,,,-0.31327594010595355,-0.2436616083415265,-0.2185770073044118,-0.18297077607411372,-0.1868120212531924,-0.16856255467712652,-0.1546489949919548,-0.18142539814658348,-0.118415723284907,-0.10762364802438253
[7.5-8.0),,,,,,,,,,-0.2868151223700258,-0.28140196733965567,-0.25337731987054046,-0.1830927805808576,-0.1815126097677851,-0.15378149658687945,-0.13935543454307653,-0.13195301751384123,-0.12431842570026098,-0.09253843179351497
[7.0-7.5),,,,,,,,,,-0.2661858082833132,-0.24680243669792873,-0.20513890525949893,-0.21201842321724,-0.17535110305237134,-0.16192976937902057,-0.13276335776527956,-0.1483543402187869,-0.10527271808185398,-0.10636363507602138
[6.5-7.0),,,,,,,,,,-0.2605733376378013,-0.21925771335618277,-0.20175297417487592,-0.18237241356512246,-0.23341304784774114,-0.13753869518168077,-0.14946216705078708,-0.1483084192641466,-0.10634992849490611,-0.08597060590679206
[6.0-6.5),,,,,,,,,-0.26474176376096425,-0.24186352986689888,-0.20592660648144234,-0.18675751930325882,-0.16192910325239787,-0.14319587462002253,-0.14722698538572696,-0.13226737277828396,-0.1396623690675388,-0.11030722883931618,-0.078683629439083
[5.5-6.0),,,,,,,,,-0.2514559947740143,-0.24808973313370067,-0.21346841958176443,-0.183644192046909,-0.17485285012788027,-0.14746563990900471,-0.1241547153832597,-0.1136296998659153,-0.11654520496420726,-0.07889476695421235,-0.07701422542773209
[5.0-5.5),,,,,,,,-0.256414461689051,-0.2437409495259662,-0.22044239819263833,-0.17749711264146079,-0.15550592825046378,-0.14709391025147128,-0.11371676882770783,-0.12326385638190139,-0.10015971127536744,-0.09767037527532962,-0.0870064826092644,-0.06728452014710307
[4.5-5.0),,,,,,,,-0.2543897271499859,-0.204551734103932,-0.20966090699788506,-0.18796252041769404,-0.1465218573942818,-0.11617379387743312,-0.10774463384982785,-0.10066685000967227,-0.08309501502631257,-0.0916759782856455,-0.06916104611405294,-0.05923420672802108
[4.0-4.5),,,,,,,-0.2677532167446778,-0.2342262857169633,-0.20442016417363537,-0.16732548073421805,-0.14566289613991196,-0.13389889488998172,-0.12502969487195573,-0.10356729286443726,-0.09355700619622735,-0.09867377600203157,-0.09239603455247673,-0.06667689501030848,-0.05816359097353604
[3.5-4.0),,,,,,-0.2880487196280942,-0.24801861928899843,-0.19977381377971812,-0.1741848512458382,-0.14798034475929694,-0.14180077172541283,-0.12270449205113707,-0.10676566313763199,-0.08584781487725143,-0.08284012072019117,-0.0701153863442641,-0.08150420888256593,-0.06424743386776588,-0.053451943488757446
[3.0-3.5),,,,,,-0.298162135391288,-0.2340706132516095,-0.17518948101605933,-0.16135999775478144,-0.15664706879051585,-0.12109664326536085,-0.09993079651134923,-0.09740172146492042,-0.08187990017371229,-0.06671774124919151,-0.06752156484269835,-0.0659997092362841,-0.05270430313822808,-0.04558516312360486
[2.5-3.0),,,,,,-0.24686682064527463,-0.17431837819209517,-0.1666453472557648,-0.1458153895100762,-0.12225303109361069,-0.11643592307972575,-0.08801294111492981,-0.07552916017365721,-0.06825040750065964,-0.05787281654390233,-0.051348979848425805,-0.05254762339948207,-0.04691059789047084,-0.03352085708668644
[2.0-2.5),,,,,-0.2665302988086363,-0.1765591466617845,-0.17043908308707742,-0.13503021475879115,-0.12441323168756975,-0.09573165720452156,-0.09192822355751926,-0.07595033576894308,-0.06681534763723553,-0.056414210473660374,-0.05373663174756827,-0.048156553411648484,-0.03997637829493689,-0.034662370279051516,-0.027013454001770524
[1.5-2.0),,,,-0.23385741551355393,-0.2086486575734405,-0.1600336007796187,-0.13015693747556023,-0.10599587958547664,-0.08833344563383064,-0.0801892216038026,-0.0677034769461191,-0.05665157341242711,-0.05665859963234541,-0.04484683175547659,-0.03962573614243436,-0.034451191961543816,-0.035036128097815034,-0.027456577581715,-0.024254604338784094
[1.0-1.5),,,-0.16276842764749203,-0.17644616388911047,-0.1809487289389208,-0.11407628453909492,-0.09921516192666935,-0.07368363141689793,-0.0790435737246363,-0.06141732779061262,-0.04805595392744728,-0.045012134262032634,-0.04170740059223094,-0.031021228159445115,-0.032218500709815204,-0.02448410771032707,-0.026282827944568186,-0.020278700765934927,-0.017048955058650898
[0.5-1.0),,-0.055345495924194764,-0.09737201295895072,-0.13287982346526186,-0.10539539338550641,-0.08887191116609305,-0.0611669225976463,-0.04983592618992804,-0.0480988867774238,-0.03330138967587247,-0.03204036318321747,-0.02573352380405638,-0.020981066885990943,-0.022712515769608716,-0.01761363752456001,-0.01674895207785671,-0.01467962778524094,-0.01143279459084686,-0.011274331494403579
[0.0-0.5),-0.003197850464047875,-0.018241574969509476,-0.03441812151997481,-0.04083790582010528,-0.039113441844737716,-0.026790370911529658,-0.022127398726850094,-0.016310605220674828,-0.016044514152943577,-0.011498018677309787,-0.011963797263325337,-0.009983533537325883,-0.007224292118129716,-0.006202051353959114,-0.006080836852807209,-0.005012954051805444,-0.005362113227373337,-0.0043751524098599014,-0.003379264966577825
