"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.1224391178981028e-05,2.3937063573937975e-05,5.407185657340654e-05,-4.812502316688531e-06,7.108801802909392e-06,9.384464498563762e-06,1.136595086845247e-05,7.48082519967208e-06,2.7549670652255813e-05
[8.0-8.5),,,,,,,,,,2.7764484997847724e-05,6.292877183144841e-05,2.077220490399333e-05,4.942325748555967e-06,4.159510485001821e-06,1.8157430999282097e-05,1.8646669368496806e-06,4.338483944744856e-06,1.4721662276649605e-05,-1.5613073731310213e-06
[7.5-8.0),,,,,,,,,,2.626462709828549e-05,4.293654130959546e-06,8.521678509552329e-06,-6.547045431195781e-07,2.3033333467141065e-05,4.965825394165433e-05,1.5528022385415808e-05,3.583150733191274e-06,1.3765496869214602e-05,1.9834457702278496e-05
[7.0-7.5),,,,,,,,,,3.338040247329424e-05,8.829365611360851e-06,2.902706663996824e-05,2.760169453314354e-05,-2.7518941294523135e-06,4.570301113507802e-06,6.047440997515861e-06,2.5245058415022033e-05,2.1839203609179876e-05,1.4352083815186676e-05
[6.5-7.0),,,,,,,,,,7.4214958112196815e-06,-1.4809960302044647e-06,1.4641003172860025e-05,3.073551858305333e-05,1.3807637806752376e-05,2.4221606029993035e-05,2.0098907373995317e-05,2.8146408692707728e-06,4.2249625372660574e-06,4.295808449942314e-06
[6.0-6.5),,,,,,,,,5.691595517874031e-05,7.519570844643414e-05,4.729326822504071e-05,5.4640332374640186e-05,1.490099903370131e-05,-6.877994717012676e-06,9.243836101170765e-06,1.4027253651995688e-05,3.908160951233582e-06,-5.978626573708641e-06,6.53256993258596e-06
[5.5-6.0),,,,,,,,,4.6448610997805415e-06,9.70218910709937e-06,2.0401348439073503e-05,3.657972382832883e-05,2.1899532904018346e-05,2.1027918849673977e-05,1.0211293409210291e-05,6.051984545872108e-06,4.1917504258660974e-06,1.1805093548869744e-05,3.6576119145673903e-06
[5.0-5.5),,,,,,,,6.363837802398146e-05,1.882507558883135e-05,2.0453491895177587e-05,1.1958304058749749e-05,7.870062528329078e-06,-7.141019873651153e-06,1.1326946089882987e-05,4.236155947846118e-06,5.291539475202718e-06,1.046910435937882e-05,2.248902836192652e-06,1.4996706303374346e-06
[4.5-5.0),,,,,,,,2.792380544360678e-05,-4.287445715425706e-06,2.2290038316768027e-05,5.7783862467747115e-06,2.5806295987024268e-05,9.798340192184827e-06,9.498932571239217e-06,1.0179451537813306e-05,-2.527619028957841e-06,1.8465530808820872e-05,1.1752733536601674e-05,6.923346409757042e-07
[4.0-4.5),,,,,,,2.4885009369187487e-05,5.866719843409363e-05,2.1414516939813575e-05,1.1986134732305126e-05,1.5193840881351888e-05,2.296175829253436e-05,5.8208671008478835e-06,1.6299560632422513e-05,4.730133066604533e-06,7.912560357574135e-06,9.760655845723809e-06,-2.038222505102087e-06,1.7968584023430483e-06
[3.5-4.0),,,,,,8.407137786975665e-05,1.962303176034107e-05,1.063539841794735e-05,-2.980700785805914e-06,2.338182387056903e-05,2.6725448606526983e-05,1.30915685915879e-05,2.5408198093832384e-06,1.6717953259886572e-08,-1.458303462228863e-07,2.9246271845265617e-06,9.136208508681575e-06,4.872477822021067e-06,-1.3907954330596279e-06
[3.0-3.5),,,,,,2.086584945742631e-05,3.210602485168173e-05,1.8465227005636714e-05,3.43861835646226e-06,2.3539849450386637e-05,8.66504341561356e-06,2.814893807349606e-06,8.907383801904935e-06,4.291110696016064e-06,7.76328263258591e-06,6.471989915821992e-06,7.678711579935576e-06,-1.4715968278718165e-06,2.0370782336696847e-06
[2.5-3.0),,,,,,1.670485165274468e-05,5.263955466974517e-06,1.0234829503252508e-05,5.294428076414104e-08,8.512642126723888e-06,-5.8608255893804277e-08,1.993488862548149e-05,6.302003646617255e-06,3.890745660968702e-06,2.8261895780572554e-06,5.918781433071975e-06,7.594180858555263e-06,2.5051748502213316e-06,1.219788522296121e-06
[2.0-2.5),,,,,9.621932329412087e-06,1.8561453815641947e-05,2.0563997132516285e-05,4.96277787205393e-06,4.61760900502301e-06,1.5829729577807334e-05,1.2566661430225765e-05,1.356843567141279e-05,1.2117311894962949e-05,2.8947261664216833e-06,-7.592607247591319e-08,3.125384235356338e-06,9.665954410260604e-06,7.98984526261929e-06,2.6863181617117907e-06
[1.5-2.0),,,,3.241585513156429e-05,6.734408448779671e-06,1.0529791112662403e-05,1.3121310295691658e-05,2.8718888094401314e-06,9.48953233866514e-06,1.1479744414549457e-05,1.4027749588747249e-05,1.4910554041820947e-05,6.097956528175367e-06,2.97039678423353e-07,1.937391963292828e-06,1.418117863595362e-07,2.7216511771906662e-06,3.542196195141782e-07,2.9638452576508276e-06
[1.0-1.5),,,1.4496464925069228e-05,8.366572752140272e-06,2.2184051378821394e-05,3.502606892339457e-06,1.0062466129182498e-05,4.786049159924654e-06,2.8235382219396795e-06,1.5062232547276006e-06,1.591966359005477e-06,2.8714798843731026e-06,2.5001219635347587e-06,1.3974013635118397e-06,2.8037308723183244e-06,3.060573880661281e-06,2.917069463885888e-06,1.7737250725753356e-06,4.700784003185827e-07
