"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.38439370429136444,0.33369336689790013,0.32835935115147596,0.24340535490631326,0.22364332560081138,0.17431931275268198,0.16665391422493617,0.16233225953389005,0.10876287369208136
[8.0-8.5),,,,,,,,,,0.47911690566333814,0.36883468508883005,0.3105453826053122,0.2648680575045733,0.2200627602664166,0.1928845822085115,0.16916281805380787,0.18754791446658464,0.1231361452694251,0.10362953253087186
[7.5-8.0),,,,,,,,,,0.48734558386570037,0.39870308944557964,0.3189833908568711,0.24942386695684415,0.22255500108799398,0.1964421031837525,0.16756862441139353,0.14476773265798817,0.10814423977246897,0.08657901550547886
[7.0-7.5),,,,,,,,,,0.43078148067856936,0.3335009194253672,0.26229968993957437,0.2326819232679153,0.23008514320467308,0.17933306568681745,0.15649701812267744,0.14209729965143464,0.11231827268521766,0.08812835186388263
[6.5-7.0),,,,,,,,,,0.392133555160333,0.3129280784431037,0.26206294867171775,0.2525364233586547,0.25502649535938393,0.15921160171812404,0.16883429361578228,0.14125845685228872,0.10462857335182715,0.07857973686948262
[6.0-6.5),,,,,,,,,0.4213917977195972,0.409555760525332,0.27153314383144195,0.2469809432825654,0.22005602912522962,0.17950800721585794,0.16454941358886752,0.1272293298400783,0.11934932590700176,0.10024398014282078,0.07641944157562085
[5.5-6.0),,,,,,,,,0.3836564487343547,0.3808255560100753,0.2731363599808537,0.2576970883997621,0.20683261000682046,0.15470350601498076,0.15741308736345863,0.13381326744105732,0.10587283520361669,0.0872633085477467,0.06964403937587989
[5.0-5.5),,,,,,,,0.4046776682070245,0.3642943057758049,0.2845321033578345,0.24121995939646362,0.25495504529788743,0.1984974750146426,0.14712933438492895,0.14031016202166643,0.10838563469589747,0.09687071470490692,0.09019720931636288,0.05817731883824642
[4.5-5.0),,,,,,,,0.4676259771385526,0.32207677311917077,0.30452892229905687,0.24025318128218295,0.194635555763208,0.15289503655027376,0.13641373140955917,0.11945404104318987,0.09336620395980288,0.08779137800084817,0.07290337515663342,0.05308839777790991
[4.0-4.5),,,,,,,0.4352669414497637,0.37057707557035524,0.310348787371232,0.220276747895834,0.20181236562922325,0.17344646057109891,0.14863714954464535,0.11037290738384231,0.10150383106751397,0.0940035070746346,0.08815688640823725,0.06469881750609148,0.055848478527034576
[3.5-4.0),,,,,,0.5234588897008016,0.41000517858045876,0.29541926801031776,0.26797374320190315,0.21732290962445297,0.19297727977786341,0.1559628110032656,0.12979486612376942,0.1059187137862627,0.09930061846206524,0.07511659294813866,0.08094843036198149,0.05838410649027024,0.04330111779490789
[3.0-3.5),,,,,,0.5451132189928665,0.3998568595318706,0.2511444783031333,0.21336785961626067,0.2093702460676347,0.15860311043100286,0.13847659076469904,0.12066572604049752,0.09306790304411669,0.07744598172434858,0.0723607388638674,0.06614377461835082,0.05285774634079221,0.03836157912750166
[2.5-3.0),,,,,,0.3869672824254102,0.27707219705026365,0.24467603234801547,0.19556073590077866,0.1635359364448482,0.13781601047560016,0.11180650590453618,0.09927773002948034,0.07674443342123291,0.07238616989957113,0.056656208782677,0.05368748596925365,0.04432269219762413,0.03127431524501236
[2.0-2.5),,,,,0.44891309148383596,0.2839643782680158,0.243222009871422,0.1915067623927286,0.17391920075455322,0.12237681349041593,0.11297662691833953,0.09683749569847894,0.0784831149047767,0.06245224470670661,0.05670130515238638,0.0487806701279874,0.04597815557304004,0.03628149895490014,0.025329459741609696
[1.5-2.0),,,,0.4056101647868736,0.3171718948651173,0.25403544259155886,0.19092186688219742,0.14885345625591212,0.12557570447168645,0.1128240830466822,0.08085070242752676,0.0705648541232188,0.06396140796177402,0.052166095376956954,0.041724563732481255,0.036236656550523355,0.034214033679777406,0.025193191949934166,0.021041444473031818
[1.0-1.5),,,0.27392570862215965,0.30371110744329594,0.23357570194398672,0.16659870851411765,0.13738064905404238,0.10679850576136722,0.11094900766511072,0.0777701355226068,0.05927364699431949,0.05468392657145328,0.05006240851651181,0.037176927951037164,0.03410796683280553,0.027339398494810707,0.024017110563665366,0.01946969566627094,0.01642250299326435
[0.5-1.0),,0.11123457719047833,0.17472153583899658,0.19165143288512942,0.15156969167534745,0.12438480682764352,0.07998679032253997,0.06719826016534657,0.05724098067644393,0.04441589590258841,0.03661217801463257,0.032985841545248244,0.02899340323672469,0.022251488659547188,0.020659724200195073,0.016208394192012827,0.014627330624519154,0.010647125765192583,0.009958996151866802
[0.0-0.5),0.009328140162610587,0.03571531376256611,0.059707091268001805,0.056581850625437836,0.05698175100261622,0.034933272556738296,0.02799421630046164,0.021713217723501908,0.02078754678119661,0.015719351104279793,0.01411378497675209,0.011285710426085976,0.008783853478760375,0.007609292441934646,0.006494120565421851,0.005130818975585384,0.005270758837605763,0.003603514367759037,0.003091253080651279
