"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.02263079279934246,0.019064175392480256,0.015186037838529365,0.014942969392425724,0.01341316409941781,0.012276579402175697,0.009422900395031871,0.00924477638497694,0.008476438859417857,0.008418668896258563,0.007257173730375618,0.005761286163202209
[8.0-8.5),,,,,,,,,,0.029426416972267798,0.02383691543333697,0.020121090309736668,0.016306526396788396,0.01527483841841401,0.01298619072804683,0.011366044974105663,0.010056723339950979,0.009652130179591297,0.007982067346800459,0.007051230878855993,0.0069090372222975925,0.006165081823733536
[7.5-8.0),,,,,,,,,,0.026747241751117642,0.023024052846148856,0.019772530068932415,0.017364107394455826,0.013865985902937045,0.012510539509497492,0.011320142573410566,0.010424411059116604,0.00952633185748011,0.007569416279743211,0.0073206670115451376,0.006497042944854955,0.006084624631026345
[7.0-7.5),,,,,,,,,,0.02706182483278774,0.02208828260673248,0.0189090067729664,0.01672285164136166,0.013819170141050465,0.012597216355012477,0.011347913148487269,0.010170444443390997,0.009334976487300025,0.007508352985423615,0.006564335659251078,0.006764434594728697,0.005815184737919608
[6.5-7.0),,,,,,,,,,0.026675198177390193,0.02294918013115123,0.019347994978499358,0.017244623772599815,0.01429233519697994,0.013578426866525384,0.01177355237065499,0.01093975136778035,0.009034880769160123,0.007730843776157015,0.007643928629958371,0.007522596315891378,0.0071202405791722
[6.0-6.5),,,,,,,,,0.0341995593061375,0.027187450449302503,0.023389514664877667,0.019626425986874026,0.017305055139649705,0.016264881625521335,0.013133823600618912,0.011839589083394442,0.010002535593993122,0.00896079759248848,0.008499367945655603,0.007237404466849895,0.007198604468255158,0.005909328780909236
[5.5-6.0),,,,,,,,,0.03495846369217505,0.029800284447651416,0.023653536181777523,0.019216042693830496,0.016836220799282865,0.014775800937541253,0.012950436223624231,0.011464177096709062,0.00990257288883823,0.009177778505201734,0.008372082276544332,0.008023419445540447,0.0064124006447264445,0.0064931031621975575
[5.0-5.5),,,,,,,,0.041825802940431714,0.03382733198972859,0.02777111814883233,0.023628805168533332,0.019282973312941844,0.01664965761300058,0.013948776972806125,0.01296397745989424,0.010670384226456626,0.009427047636815726,0.009493492965017917,0.008120070908520979,0.006999217484369148,0.007060355586390749,0.00549709606252748
[4.5-5.0),,,,,,,,0.042771610645819046,0.033987024684039,0.026849980351319004,0.02282574190422144,0.020287314230129142,0.016802736403504895,0.015144508358317724,0.013314358467243227,0.010829688164045875,0.010132162148189069,0.00878856745256807,0.008124447564694595,0.007188306807029446,0.00582812715057109,0.006458327890827107
[4.0-4.5),,,,,,,0.051894970506572345,0.0414966874373346,0.03562726804874654,0.02875567514433829,0.023046253832843717,0.020209015340021407,0.0174598515258277,0.014922144967513356,0.01325586111312302,0.011466488813541448,0.010463351970300346,0.009017314019769152,0.008738488467125759,0.007499967192774483,0.00621277256354534,0.006462821199671329
[3.5-4.0),,,,,,0.06844042902565742,0.05396428706126236,0.041152726032563924,0.03370068607956628,0.029467614460422294,0.02386246681855881,0.019792252002256924,0.016831633507401918,0.01567604666568111,0.012409213761927015,0.012342652154405064,0.010561763626915166,0.00880841098792418,0.008788276223763668,0.0070401135446294125,0.007190355686680548,0.005638890964240698
[3.0-3.5),,,,,,0.06794175690911959,0.054115560379937824,0.04210667612535782,0.033112859083004556,0.02753243618176001,0.023046544054180385,0.01978959038272318,0.017507093860793056,0.014864243057833586,0.013010031904276681,0.011700797867020414,0.010812268321737494,0.00885088574382209,0.00745503555111364,0.007287532422777122,0.006573322608482262,0.006549376222388151
[2.5-3.0),,,,,,0.06807280618215106,0.054437809413971264,0.0434324469248464,0.036298214776532056,0.028129513377330294,0.024219489417292375,0.019662821249578265,0.017777217599440988,0.014812976629157534,0.01287505230926076,0.011093532488441698,0.0105384522280034,0.008599281029451743,0.008530830890808066,0.008591828513289879,0.006482596027596873,0.006272811109257545
[2.0-2.5),,,,,0.09089721227376858,0.06882847791725293,0.055350216909641314,0.04277226809440385,0.03479043150195832,0.03050989148219659,0.02460451089207726,0.02096749816619307,0.017247800678671404,0.014103412769542868,0.013049666192748829,0.011407837007899213,0.009863413847711477,0.008682846554726351,0.008530065314840672,0.007960142466518317,0.006991361421752206,0.006442050711820352
[1.5-2.0),,,,0.12385031696049695,0.09311814614738813,0.07037057674292715,0.05448137547781222,0.04425012046594947,0.03660445420833956,0.02904976817208392,0.02417515569069529,0.01914361485114125,0.017822707629107846,0.015058845566538866,0.0134820275086969,0.011577618517381092,0.01064610229653745,0.009306439902262424,0.008058473043689554,0.007654773291212584,0.00661473380657944,0.00610947880224596
[1.0-1.5),,,0.1673295838781837,0.12689749275879342,0.0948377573851588,0.07139286248251982,0.05489866519472836,0.045358704847276686,0.03504019090804721,0.028885598189392386,0.024263491488467036,0.02085505791517477,0.01901676806541874,0.015306488299293815,0.013336171917264866,0.012373647100440113,0.010647696040640206,0.009555872057197545,0.008166664657409652,0.007063727078949752,0.007213921201186167,0.0060500693020783085
[0.5-1.0),,0.20072621857787207,0.1766663129229588,0.13259570708678606,0.09803067210773296,0.07330262443744856,0.05653949296351343,0.04433492474583386,0.037085846208082106,0.029932461906459783,0.024506892833182713,0.021972032690175593,0.018754474259452168,0.015769729135083253,0.013169228169013017,0.012685588492187429,0.011156091386904007,0.009304894646273442,0.008394625694202183,0.007336014090747699,0.006850417354722451,0.006754405663979667
[0.0-0.5),0.138580787688406,0.21828135073790203,0.18705746166421902,0.1404781521112985,0.10187557061025071,0.0753688772998016,0.05733516363973189,0.04536850141748153,0.039059006869316126,0.030298817319772315,0.024666022364796782,0.019590737214599578,0.017664600879516535,0.014993255357408957,0.01452023944852262,0.011573540000823914,0.010939347642160566,0.009114221364225052,0.00876825489432153,0.007865656679588625,0.006920675709609289,0.006633356854701101
