"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Average [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,32612.621845480073,32269.289189591927,30719.0588977196,32218.009135909295,32173.444282196106,32395.00433019696,31958.524636526327,31359.537271183388,31271.588136226732,33134.0970415703,31421.89956646922,30549.964163658886
[8.0-8.5),,,,,,,,,,32991.32093772712,31116.363313265647,30874.62010778204,30215.9432672679,30831.421708366808,29932.20374028151,30566.582447831046,30975.460005025434,30469.830320734734,28645.09276451873,29108.2453606812,29025.390024268512,29401.714919138452
[7.5-8.0),,,,,,,,,,29841.630728908363,28751.552947150823,28979.66529961087,29053.61295274974,27928.134662301265,28390.924147172318,28069.6364059391,28813.083910695874,27749.64328860518,25762.330613492613,27627.978211226025,26778.515989121675,27681.138054765357
[7.0-7.5),,,,,,,,,,28273.050891071754,26709.089241532183,26201.664794195098,26465.11779305906,25775.28274348502,26157.101744235806,26431.132098769056,26921.398918590545,26522.354994509275,24324.928725739417,24231.954157838343,25431.771211604628,24948.631829079706
[6.5-7.0),,,,,,,,,,26323.62163732488,25070.612440042678,24793.47494648137,25084.85695334918,24560.832033526975,24859.692673285244,24849.881915620306,26237.200490919906,24368.574814115334,23117.301905699962,24816.194752773637,24774.337098336688,25815.373005850695
[6.0-6.5),,,,,,,,,26324.283587356458,24610.16390539242,23294.047139808674,23060.482184377277,23296.258798432285,23994.85066516579,22730.619906207758,22992.952962163203,23143.07591540909,22326.84590298934,22149.473401872954,21958.872529759115,22366.965168917282,21910.203546880042
[5.5-6.0),,,,,,,,,24416.95816154631,23607.71768966004,21279.863861598427,21271.406354443414,21099.1979095573,21225.22548435211,21003.15194109415,20688.7871923539,21354.835085329287,20747.86364200677,20163.283297282123,21451.883558092235,19456.820371805916,21266.91681869011
[5.0-5.5),,,,,,,,22432.43801796279,22150.603540842454,20662.477576437173,19814.41289709729,19424.914095961478,19280.182363654116,18965.9744008116,19252.997355115935,18518.776634073118,19130.286730155774,19516.261833762725,18395.71338892106,18641.369466325898,18904.331842812328,18086.25885408881
[4.5-5.0),,,,,,,,20449.50828895175,20147.36763902749,18716.318860532734,17630.82371529587,18019.613786949645,17438.830163223472,17796.043805011454,17788.920834667566,16911.334300657454,17929.28588409074,16753.451116433265,16434.898249014237,17033.71881610312,15664.780188321729,17604.916349526655
[4.0-4.5),,,,,,,18310.35152059242,18090.79329174554,18267.519104805335,17145.015562441182,15928.7626490007,16023.348288649233,16090.651197906209,15733.579036264106,15663.423473647199,15713.027126862471,15766.625021643955,15252.322939794416,15168.502808028785,15537.128289756274,14245.83086749883,15668.771176633709
[3.5-4.0),,,,,,15512.652301316168,16389.6036128335,15983.218426462976,15739.375719141664,15288.579059563002,14372.468803831396,14030.142799607976,13868.543718151503,14359.737907629084,13615.554507422568,14287.199843312204,14136.364602751828,13295.030507462207,13532.576206934,13307.17393883541,13503.557526499539,12842.537175246265
[3.0-3.5),,,,,,13669.145439904802,14435.218513157482,14042.800733877742,13512.118834133407,12903.58929109202,12277.056119631421,12140.461229534718,12172.58000296197,12063.21981107931,12004.880577224016,12047.492212122163,12469.248511970041,11803.576445907018,10951.80054467238,11470.92947787689,11299.741173261986,12066.86468130436
[2.5-3.0),,,,,,11436.012092483012,12155.750625452822,11890.679029675483,11894.809942562064,10922.715201328127,10535.107785529222,10194.16598656741,10520.085448039297,10151.212273068288,10052.829822708214,9908.62578035127,10381.26592066451,9610.774962771535,9948.957957440725,10684.6933235827,9481.281540302154,9738.816894638912
[2.0-2.5),,,,,9419.433481593063,9458.548164098002,9934.813452639823,9791.153670809352,9588.978292819806,9327.37132830796,8704.820897098605,8659.555324409377,8473.216297052299,8183.934683500309,8344.733882374156,8090.239461340251,8314.880280745867,7948.869402882834,8115.636902062203,8435.037413623044,7973.916614911908,8377.771920517396
[1.5-2.0),,,,6680.403042042466,7428.767516549191,7487.165061698747,7821.746606559903,7693.800109932942,7718.321782152554,7201.725185900832,6701.513352680366,6452.605334275116,6703.095246676145,6512.1733808627105,6538.366875640677,6314.616126541414,6820.258528170526,6425.04782811637,6224.863299868125,6471.456433982089,6071.830552618613,6236.490978467733
[1.0-1.5),,,3897.736213462153,4831.685758960543,5381.270770299587,5390.804474212079,5623.853338526331,5577.880155250642,5391.723636656692,5052.00757932963,4812.090936637582,4853.586015905504,4925.973969628596,4749.307852262257,4685.516457141137,4751.87608579245,4729.084406610202,4643.5645342624375,4439.774466074045,4484.942359267274,4583.799034084182,4503.235764589783
[0.5-1.0),,1470.1809221015471,2404.9234734511433,2999.793225273743,3265.24520834141,3261.656151321533,3411.0033385560287,3349.9724779585067,3315.787238411695,3119.987355213882,2909.5718467131824,2959.3679268920932,2931.8254658941887,2879.352353030873,2831.32645034353,2904.914298812292,2959.674223615451,2806.573362839668,2702.2193218795614,2725.941586537697,2652.9099431751392,2855.0932853499253
[0.0-0.5),210.35616314566005,504.9535387875706,828.3131218057609,1014.6451544376855,1122.8077352678836,1119.9784654367224,1152.0646216118337,1129.0430862211906,1129.9047062769575,1042.7075957928448,965.0974020529869,937.0868179564222,950.3830397055558,933.9127958588817,966.504720575376,929.6426451069324,961.5344777040164,910.9198053612691,902.5630922755317,946.9968423589182,884.4110050874773,949.477920135855
