"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,9.526496613517306,9.532443323645328,9.961894724256036,11.643417764219736,10.255246312945285,12.91317025633483,8.472760587782346,10.438301939801326,11.725299611894389,11.29381892120719,9.202810159254042,9.700366389585318
[8.0-8.5),,,,,,,,,,10.350696770018594,9.694947154271432,9.194236608664625,8.989968941756079,9.702497190446087,8.841291128116865,9.170195826621523,8.99073734022297,9.88332737518763,10.15824030610387,8.643449669427339,9.009671789053423,9.964376591573487
[7.5-8.0),,,,,,,,,,10.456459302342699,9.200223127954386,8.570559371623975,8.704155337789242,8.241238324029345,8.99992038105827,10.205453688350804,9.373072760474592,10.42493919159326,9.972304553964449,9.588284106003234,8.265974258275063,8.695964232507281
[7.0-7.5),,,,,,,,,,7.912324336792883,8.388715120418421,7.97124192628396,9.344736462678018,7.78976254714749,8.724459282955273,7.904968213338467,9.0899128332032,9.817695511728019,8.257684992616785,7.770268801956302,8.824398908833357,8.118952128655016
[6.5-7.0),,,,,,,,,,7.567770977637913,8.461658929808113,7.618341379299439,7.837538085894917,8.094270770031475,7.638366837469803,7.934108486586028,7.851286403817778,7.853088531048941,7.60601439232649,7.1556276416284845,7.606058529376851,8.376720513207637
[6.0-6.5),,,,,,,,,7.806154197069164,7.282835668576489,8.00518085656922,8.214817430459329,7.5917972016683475,7.276106592853328,9.001173282433273,7.4666832784715655,6.2133136615983595,6.800656228727576,8.63929375447028,6.948759142677523,8.091659625290799,6.150525672832334
[5.5-6.0),,,,,,,,,8.112923161132462,6.897283189087494,8.030407124816707,6.628466666540923,6.852811616603296,6.943550711629382,6.967874720678357,6.693765022600125,6.235149793959728,6.4328218695692065,7.333943167550392,7.766965005487062,6.95409739032789,6.703002958595127
[5.0-5.5),,,,,,,,6.1295286953455355,6.526919835323745,6.310921249780123,7.4213903600550175,6.545364990331413,6.256693254184371,5.597864206174939,5.756764561061397,5.832037131215397,5.730477662052126,6.039685643284907,5.489817219034637,5.303159228333813,6.7384918511205525,5.768517400869096
[4.5-5.0),,,,,,,,5.362292140668641,6.706022154628228,5.300414225019227,5.6710518001000905,5.781737320364308,5.783189004344425,5.358057984246846,5.476229776581434,5.557729909782764,4.777448312921246,5.4953299699814195,5.3596512183953,4.924951378910793,5.323848404043002,6.567998205735345
[4.0-4.5),,,,,,,4.8517310213897495,5.408503069343078,4.749289214790264,4.95954631717668,5.22329979787283,5.070331019771509,5.0974673589208885,4.993978204310879,5.664627304889839,4.997549328239371,5.186728798821062,4.916415808271662,5.154398920659512,5.044542082997919,4.791002017242242,4.5835533218591875
