"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.04526158559868492,0.03812835078496051,0.03037207567705873,0.02988593878485145,0.02682632819883562,0.024553158804351393,0.018845800790063743,0.01848955276995388,0.016952877718835715
[8.0-8.5),,,,,,,,,,0.058852833944535596,0.04767383086667394,0.040242180619473336,0.03261305279357679,0.03054967683682802,0.02597238145609366,0.022732089948211326,0.020113446679901958,0.019304260359182594,0.015964134693600918
[7.5-8.0),,,,,,,,,,0.053494483502235284,0.04604810569229771,0.03954506013786483,0.03472821478891165,0.02773197180587409,0.025021079018994984,0.02264028514682113,0.020848822118233207,0.01905266371496022,0.015138832559486422
[7.0-7.5),,,,,,,,,,0.05412364966557548,0.04417656521346496,0.0378180135459328,0.03344570328272332,0.02763834028210093,0.025194432710024955,0.022695826296974538,0.020340888886781993,0.01866995297460005,0.01501670597084723
[6.5-7.0),,,,,,,,,,0.05335039635478039,0.04589836026230246,0.038695989956998716,0.03448924754519963,0.02858467039395988,0.027156853733050768,0.02354710474130998,0.0218795027355607,0.018069761538320246,0.01546168755231403
[6.0-6.5),,,,,,,,,0.068399118612275,0.05437490089860501,0.046779029329755334,0.03925285197374805,0.03461011027929941,0.03252976325104267,0.026267647201237823,0.023679178166788883,0.020005071187986244,0.01792159518497696,0.016998735891311206
[5.5-6.0),,,,,,,,,0.0699169273843501,0.05960056889530283,0.047307072363555046,0.03843208538766099,0.03367244159856573,0.029551601875082507,0.025900872447248462,0.022928354193418123,0.01980514577767646,0.018355557010403468,0.016744164553088664
[5.0-5.5),,,,,,,,0.08365160588086343,0.06765466397945719,0.05554223629766466,0.047257610337066665,0.03856594662588369,0.03329931522600116,0.02789755394561225,0.02592795491978848,0.02134076845291325,0.018854095273631452,0.018986985930035834,0.016240141817041958
[4.5-5.0),,,,,,,,0.08554322129163809,0.067974049368078,0.05369996070263801,0.04565148380844288,0.040574628460258284,0.03360547280700979,0.030289016716635447,0.026628716934486454,0.02165937632809175,0.020264324296378138,0.01757713490513614,0.01624889512938919
[4.0-4.5),,,,,,,0.10378994101314469,0.0829933748746692,0.07125453609749308,0.05751135028867658,0.046092507665687434,0.040418030680042814,0.0349197030516554,0.029844289935026712,0.02651172222624604,0.022932977627082896,0.020926703940600692,0.018034628039538304,0.017476976934251518
[3.5-4.0),,,,,,0.13688085805131484,0.10792857412252473,0.08230545206512785,0.06740137215913256,0.05893522892084459,0.04772493363711762,0.03958450400451385,0.033663267014803835,0.03135209333136222,0.02481842752385403,0.02468530430881013,0.02112352725383033,0.01761682197584836,0.017576552447527337
[3.0-3.5),,,,,,0.13588351381823918,0.10823112075987565,0.08421335225071563,0.06622571816600911,0.05506487236352002,0.04609308810836077,0.03957918076544636,0.03501418772158611,0.029728486115667172,0.026020063808553363,0.02340159573404083,0.02162453664347499,0.01770177148764418,0.01491007110222728
[2.5-3.0),,,,,,0.13614561236430212,0.10887561882794253,0.0868648938496928,0.07259642955306411,0.05625902675466059,0.04843897883458475,0.03932564249915653,0.035554435198881976,0.029625953258315067,0.02575010461852152,0.022187064976883396,0.0210769044560068,0.017198562058903487,0.01706166178161613
[2.0-2.5),,,,,0.18179442454753716,0.13765695583450585,0.11070043381928263,0.0855445361888077,0.06958086300391664,0.06101978296439318,0.04920902178415452,0.04193499633238614,0.03449560135734281,0.028206825539085736,0.026099332385497657,0.022815674015798426,0.019726827695422954,0.017365693109452702,0.017060130629681345
[1.5-2.0),,,,0.2477006339209939,0.18623629229477626,0.1407411534858543,0.10896275095562444,0.08850024093189894,0.07320890841667912,0.05809953634416784,0.04835031138139058,0.0382872297022825,0.03564541525821569,0.03011769113307773,0.0269640550173938,0.023155237034762185,0.0212922045930749,0.01861287980452485,0.016116946087379107
[1.0-1.5),,,0.3346591677563674,0.25379498551758684,0.1896755147703176,0.14278572496503963,0.10979733038945672,0.09071740969455337,0.07008038181609443,0.05777119637878477,0.04852698297693407,0.04171011583034954,0.03803353613083748,0.03061297659858763,0.02667234383452973,0.024747294200880225,0.021295392081280413,0.01911174411439509,0.016333329314819303
[0.5-1.0),,0.40145243715574414,0.3533326258459176,0.2651914141735721,0.19606134421546592,0.14660524887489712,0.11307898592702686,0.08866984949166772,0.07417169241616421,0.059864923812919565,0.049013785666365425,0.043944065380351185,0.037508948518904336,0.03153945827016651,0.026338456338026034,0.025371176984374858,0.022312182773808014,0.018609789292546884,0.016789251388404366
[0.0-0.5),0.277161575376812,0.43656270147580406,0.37411492332843804,0.280956304222597,0.20375114122050142,0.1507377545996032,0.11467032727946377,0.09073700283496305,0.07811801373863225,0.06059763463954463,0.049332044729593565,0.039181474429199156,0.03532920175903307,0.029986510714817914,0.02904047889704524,0.023147080001647828,0.021878695284321133,0.018228442728450103,0.01753650978864306
