"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,207411.6461453475,268802.59320961806,231816.1665804295,230439.74733417472,224938.08302781434,288175.17163691286,221983.98088075398,256916.44865183224,215744.5168263367
[8.0-8.5),,,,,,,,,,278512.071016013,219619.29977536816,244587.2257287656,192096.2221503485,199691.27819188166,215383.8570889999,208702.6002523017,201659.14992288084,243295.0136168421,200269.59195876273
[7.5-8.0),,,,,,,,,,229446.73645274452,202301.10558962353,186526.7202745581,229187.8550670856,209040.97212593723,235649.54174075587,232361.8143065289,211994.64433151908,262064.40468989624,168334.10931356536
[7.0-7.5),,,,,,,,,,189036.1079597153,194615.04523496766,212325.09827388645,187684.8635035501,187123.61593480676,203990.227787616,192084.7014914394,225682.63479259275,217458.58386937127,180989.18872541998
[6.5-7.0),,,,,,,,,,247120.34497533314,215559.7887284281,178768.02689990378,176541.06744191234,168438.48955625418,172031.79874958083,174240.34089687114,179563.0763071507,181415.1161049029,170796.31392157482
[6.0-6.5),,,,,,,,,188852.1164096714,166349.49185112485,179462.31822378904,164136.21346226754,163068.2553672232,188241.52469843626,215031.71420332103,185574.3274268097,156140.2055191658,164417.50662459893,200910.58839448864
[5.5-6.0),,,,,,,,,199181.99121637558,176242.66284124381,203757.02675276957,154098.0469149032,154859.0540073247,159442.58359827238,167935.2564768303,161446.28957612166,160475.0550250315,153219.8271601469,162167.68814853425
[5.0-5.5),,,,,,,,149451.89919584442,175725.42232359323,157420.8649086805,167533.22467659847,134142.70295201658,151850.55208389077,138550.24942403217,133925.93967214326,146476.02836572466,126613.96411360176,136958.62077495013,131186.02004377465
[4.5-5.0),,,,,,,,142049.0516176228,142614.59914207645,141599.51787220113,133476.21333267534,133453.84952343116,128867.14224436058,117199.17764483354,134348.30769488207,119181.46694605828,134427.40642391023,124435.17612070887,134957.05693751448
[4.0-4.5),,,,,,,120748.73951411218,126449.67000464564,123558.825626708,131672.58509281016,124109.63325570298,117776.71886053526,111413.31377170868,110688.54162814541,116948.54262536419,113470.35896461927,125596.5769427717,120262.44972595257,116665.50403819715
[3.5-4.0),,,,,,139632.74097151388,133017.1485049048,110918.87013505599,105658.16746245563,104368.48216840798,99270.87686440971,99540.14871396219,119484.65330346755,102955.62902773748,110069.37244175177,109144.46958371192,98294.71122472444,113804.48894901997,96912.30399553284
[3.0-3.5),,,,,,99015.43294085676,97909.0586535978,90516.09572079674,95381.29974927727,96861.76643078992,84979.73337684259,106228.31294069221,91068.62052534179,89716.01986394195,95303.4877648514,83504.32856561785,103574.27383925683,80749.89919799964,80420.7047463706
[2.5-3.0),,,,,,88823.4349609787,86561.81915807254,86729.25701465488,95764.58084132939,85093.1017596223,72954.40096192976,74468.65632989253,86062.90950486771,80009.29581681418,72124.44322169034,73337.06801205229,88289.11686968761,80590.79567120767,86222.86128847912
[2.0-2.5),,,,,66421.77656958715,68623.3687627548,71111.90918789338,70872.40273319237,79569.94697304323,77873.02235273669,81120.34845619304,64705.30345689166,62796.72820288769,74144.11164276951,62985.61235243016,70875.97646478162,79511.17770683565,61644.41779844725,73621.14472101201
[1.5-2.0),,,,51883.93159112042,52225.09036528326,57126.52961199702,54185.43421362761,64320.486725202034,55141.56022965777,54323.91208100027,51518.12990415964,50189.44293809352,52796.197107708096,52733.882792056786,54612.14245616989,55642.07068304909,48084.02302564931,52326.099811519256,55004.491154959804
[1.0-1.5),,,32640.295433225383,39339.0453363695,42061.91971463156,47063.92999034432,41166.4662736035,44432.187970352184,42226.6056982329,43845.301120799326,39039.43337439894,38494.02090393513,43451.230748573784,38021.74759969466,39653.06468257658,40513.94967845673,41911.36984384763,35493.56351945568,30112.328752259276
[0.5-1.0),,17020.304341765517,21304.14091851626,29492.659436197293,26678.955991323528,26927.84750222332,27670.702237189336,27579.775553375443,29338.223079848434,23519.077829858852,24954.35498415536,29066.7282791995,24712.83108885512,26498.602468523284,25191.02584338205,24115.835659179847,24860.507860047648,22142.117202729292,24383.918061197342
[0.0-0.5),6550.788813580658,8777.163738845802,10828.158573580735,11395.34549723345,13149.842240129936,12008.515137073275,12217.819456785988,12898.075626404901,12102.17997017016,11191.173059246574,11010.815930138275,11302.59211317492,11884.839762318838,12013.816314601552,11425.999641570526,10811.554119687094,11192.050235141436,11931.097311258462,10511.006756136341
