"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,16.2945888822753,28.067744441411207,22.522323082838657,19.7420165123274,18.44655165347716,29.596916915953756,19.243958037787053,24.99666841729071,18.10896913440727
[8.0-8.5),,,,,,,,,,28.154571807637012,19.56573595646541,24.66140390427092,16.06773847825127,16.208656363934907,19.611443248980915,18.647320319160645,16.664908103428374,24.119589579929272,18.580211414125866
[7.5-8.0),,,,,,,,,,23.64925412280768,19.402835614230014,16.346795697207593,24.534847024972127,22.22353078913723,27.71820597517782,26.396922953425612,20.18109096105036,32.19308371619903,15.544222137517691
[7.0-7.5),,,,,,,,,,17.9795074307461,21.33406320879694,25.477115095764262,19.352079517552895,20.31104396943426,23.41729080082132,20.412191994939228,26.87108326619694,25.658405984618422,20.797907330950178
[6.5-7.0),,,,,,,,,,36.39878253799623,29.219237617789144,20.189700172296497,19.09250857599348,18.260384104606704,17.67806052610059,18.560090493058926,18.04176851984542,21.106204736920336,20.67899742357041
[6.0-6.5),,,,,,,,,21.099048704181374,18.514815066176126,22.96028112693803,19.45570251675189,18.848139886053065,23.51721530239987,33.65832248296955,24.5127923658282,17.279242431354792,20.293016523243782,30.611805088635613
[5.5-6.0),,,,,,,,,27.21001238145465,22.459745854898266,34.812635784993155,20.628430298994214,20.574239389626637,21.730704736052818,24.299787755332005,22.45180052637817,21.81827912861792,20.236302181123282,23.652372392293397
[5.0-5.5),,,,,,,,18.288113222142172,26.101397791880988,22.923821942096893,27.971776253576355,18.50575280289318,23.95557086410133,20.670334558459523,18.259026553108946,23.699528107018025,16.840873400965794,18.61191711913676,18.88456375992771
[4.5-5.0),,,,,,,,19.695336372646416,20.612900951649003,23.308891855413222,22.131887647313295,21.275550993963712,20.664903479564906,16.430639080704466,21.86976992197294,18.609888719657764,21.673331723522416,20.125193986247734,24.436708254784488
[4.0-4.5),,,,,,,17.855077243695096,19.88779960086532,18.27067239918535,23.358589191472312,23.548734426120078,20.56997343675016,18.346533068604405,18.496944605376243,20.5607619562997,19.817617423042574,22.764913166753292,22.843498201354873,20.981650264691442
[3.5-4.0),,,,,,33.07996289697151,26.965023921340798,19.615010789832898,17.88974560866953,18.036447758154175,18.315096261617157,18.986205424404627,28.276210847901133,19.419009595683516,24.864789863771954,21.800887571019917,17.373734450635727,26.764293162850457,18.187801940474202
[3.0-3.5),,,,,,21.666152168315957,18.895376042609637,16.66589278618806,19.551224101867845,21.9917622418145,18.200841579306207,28.965458841883184,20.498627085936924,20.42800529663293,23.34111655917042,17.440683626623805,25.215114718815038,17.245927001517853,19.253137706061946
[2.5-3.0),,,,,,24.034810844189117,20.235334224026186,20.614442289598703,25.136748224852695,22.859004687393636,17.48478365361468,19.236636284707906,25.01411602314562,22.46486775547448,18.25081491968454,19.479602756489324,25.831226441546814,24.692436366776686,27.239204541937507
[2.0-2.5),,,,,19.226060884101905,20.52445816851103,19.572980917302058,20.356895512481717,26.479418757397212,26.094471487438028,32.22715045010398,19.94516690990723,19.64397227713623,29.982968001963904,20.116457666403733,26.32150197475475,33.02252807598314,20.57427823822793,29.085473686046463
[1.5-2.0),,,,22.126151566172588,18.409805348089385,22.323990433717093,18.26271834853377,26.416129567895315,18.896945618674923,20.85240002475493,20.37033700423845,20.76090723894449,21.554831177285582,22.22430290250669,23.605367526141137,25.418240606180003,17.034184663091093,22.199180494430937,27.140149701936622
[1.0-1.5),,,21.545720749488847,22.83350208999136,21.912042379054867,28.181511879343144,19.3136416571948,22.45610406517383,21.438908017775926,25.6003630936769,21.42523020531622,20.638488250466374,25.71968113239399,20.65054087459102,22.962961267276253,23.059778959844554,24.569631537179266,17.74455468453448,13.43171878804654
[0.5-1.0),,26.573934130207657,20.091775264476667,31.15337887529286,20.43881247292957,21.05982272083917,20.721643521369113,21.224829081274606,24.308137455383147,15.929786369561691,20.56451772674768,28.343909468109295,19.394265151176405,23.88184299736219,22.268951390695843,18.430638922530264,19.183736884158456,16.30305167465685,21.820151438354436
[0.0-0.5),26.492772460777648,24.718502915191845,23.645847671810966,19.637590381610636,26.471288845382364,20.22452376389911,19.984684467248645,24.270740444902298,19.03266243133604,17.124621746323395,18.168158137903827,21.388500824063296,24.23193049707562,25.826044122232137,19.900900261410982,18.337114221113833,18.56038166741058,26.080865065570293,16.705255179137538
