"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,378902.9428657222,597616.4090462221,412551.7107650528,382193.57510068116,342661.32542873005,535666.8328112352,283533.26072007377,381977.01502327743,267441.4607937863
[8.0-8.5),,,,,,,,,,690962.3180205123,426012.98582017305,492672.21763833985,280949.804303703,285148.0429221972,313546.37483037304,277772.02098049974,232957.2483432566,342092.5101659809,229709.7364363817
[7.5-8.0),,,,,,,,,,465543.2254087619,360096.6482923797,283190.80861307634,403128.81995307485,313188.6946887174,376744.66902379115,345591.7821147579,258052.7418756859,397680.4804782271,160820.07352042358
[7.0-7.5),,,,,,,,,,313379.8269586516,332414.71254579705,369382.10225652606,267990.0158794602,249648.56936156296,280472.18951455527,234442.5633687762,293366.16550546314,271807.5390952038,186786.63616732642
[6.5-7.0),,,,,,,,,,542078.538037517,410026.85029108863,259629.6274765552,236335.45991187525,201214.6074278012,197830.92147531308,191712.2901696672,183655.10658357272,187578.34613611604,165756.05019310227
[6.0-6.5),,,,,,,,,312491.26381111407,240939.52569271618,281531.5961748798,217585.04476600126,200727.1613896761,252834.1277805667,312353.3981220511,218295.23257519302,137880.7835727647,153354.2780055732,231281.59418366945
[5.5-6.0),,,,,,,,,348667.30804263614,271157.16938165645,365373.7720548906,191181.8656683122,180429.98595916337,179638.48764656717,188202.38441025506,163864.3769566599,145885.83833101706,132570.53291007297,148987.33526460917
[5.0-5.5),,,,,,,,209132.52322357483,269801.6363331829,215010.24522001555,244483.2500243793,143476.32122081335,173194.88548203814,134474.8601843825,118014.95591357881,134212.5610888073,89365.07502946937,105142.50845762377,96181.3465333291
[4.5-5.0),,,,,,,,188536.74642091853,175240.2822206923,173026.6396754453,152967.53728882782,142060.53981082735,123425.59778005339,95002.64848100269,118837.69868823109,87559.19240156995,101186.8167257866,86156.48437442596,101936.38561617046
[4.0-4.5),,,,,,,146486.2908156891,147865.82360429622,130349.50110999556,148664.81429601306,131557.1538758965,109531.14144846376,91154.27451328975,84362.21405812344,89048.69606832952,79034.1072926619,87866.55463374408,80326.7599989094,75363.1926762058
[3.5-4.0),,,,,,241504.087247971,179102.6074884076,112600.28183628409,93993.9507201245,91583.80391640849,82481.35273078516,77086.22741629947,105442.24344900047,72437.76093510317,78486.35289976347,72861.81755925577,52698.84090532114,71574.5239533874,51150.73962131206
[3.0-3.5),,,,,,117942.27394250369,94531.49816679716,73525.17166863113,75810.92889004812,78366.6983349912,59461.06696384768,88321.16898177427,59718.677487098736,54271.81430234993,58018.86987594852,41505.008123900734,58810.29932863255,34808.2816491848,34500.34398993189
[2.5-3.0),,,,,,93856.41528021186,72913.59806275816,67164.69652253087,76498.72735171742,59586.116128239846,42979.299254751975,41727.390057771096,52980.85473820069,42584.391899038026,32143.94712617197,31468.07261424641,42043.23740458187,34668.420657131646,39990.47925237505
[2.0-2.5),,,,,56785.76215662337,54248.67252566901,48003.56101110044,43724.88196562917,51704.43070190348,49387.194864986406,53872.902599674766,30883.761788447227,27022.94628740016,36224.52776085151,24039.11642046509,29270.747382118523,33675.30319829101,19525.148947285397,28582.420310242105
[1.5-2.0),,,,44071.97089874293,33697.149190712495,36494.14961822227,26669.919311998725,35509.905992614804,23485.2997534801,22731.859916802736,20240.082920649456,17755.268433399724,18535.27485370284,17343.42165018807,17629.688026853913,17353.8412170323,11342.191825080075,13659.638353457318,15242.161577071203
[1.0-1.5),,,23008.73192601973,23775.461942801077,20840.959348551118,23846.427333937154,14500.337139646737,15787.191077369358,13013.185241422207,14158.187904189113,10901.029498401094,9810.478215987636,12040.012568321941,8357.297825810936,8655.290700541143,8584.750782166882,8348.014969427308,5720.026511095307,3900.334072011728
[0.5-1.0),,8753.734065346793,8155.178742399509,12202.266814896471,7233.920165837073,6586.898546673467,5768.07307658319,5250.522039755629,5621.819073084656,3286.510862160097,3804.5036390273694,5110.146895799444,3223.3344833865835,3584.705298762682,2983.90622563106,2532.3768640560124,2458.5367468554277,1842.2368983167585,2344.6989602492285
[0.0-0.5),401.6729329406448,983.8517866728387,1129.1427282626084,905.4414452769541,1081.8292115294855,722.6609371960911,626.802166393375,682.6644055897121,515.1043531456364,397.362460830376,375.8882377760249,382.025198750965,421.47952877232007,409.5177232186012,326.6849089525707,255.40654652116336,259.1595688193347,320.74815465763805,208.32997661704115
