"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.000324332311794676,-0.0006302452519676845,-0.0002421010447349737,0.0002613014603293617,-5.0971244673511476e-05,0.0003415123676036993,8.208710840794721e-05,0.00033071371815171627,-0.00016493682903988524
[8.0-8.5),,,,,,,,,,-7.149673269564047e-05,-0.0008066842171413228,-0.00011714835861875135,-0.0005838273383221471,-0.00019125359903386375,-0.000288953785664919,-0.0007619423192132756,-0.000439977936574984,-0.00017967242605799346,-0.0005033136429981189
[7.5-8.0),,,,,,,,,,-0.00020255373317078698,-0.00047725617916645295,9.625506881412818e-05,-0.0008735730099597241,-4.912143754648136e-05,0.00012016763275099485,1.8516915363717738e-06,0.00027428888681000604,-0.000190299506794746,-0.00011608518171171192
[7.0-7.5),,,,,,,,,,-0.00045346366093216753,-0.00027554127499230125,-0.0005003355118567348,-8.672920269822987e-06,0.0001051456329495724,-0.00029786534805763964,-1.9543127125816614e-05,-0.00037193741185433593,-0.0005040893304128162,0.0003279422281233403
[6.5-7.0),,,,,,,,,,-0.0002624070937882772,-0.00021568715183728515,-0.00039932896733351354,-0.0003424869804978835,-0.00036464314139971003,-0.0001205197404452188,-0.0001785581013236376,-0.0003846368285270599,-9.171369249356581e-05,-0.00012307657022018293
[6.0-6.5),,,,,,,,,-0.0004989532482409835,-0.00029368382932568445,0.00010889508160014921,7.937013859113664e-06,-3.594683495238166e-05,-7.72131350574939e-05,4.0512741539663334e-05,-0.00018641249479226296,0.0001331481363403314,-0.000593642837587812,-0.00017091319501292933
[5.5-6.0),,,,,,,,,3.213889297832248e-05,0.0001283962562869817,-5.054896331552494e-05,-3.0410583313948266e-05,-0.00014292098931686172,-4.5205768603750695e-06,-0.0006854581601010564,-0.00033655916094963616,-0.00018062086814210078,-0.00042977640671176934,3.28709853675764e-06
[5.0-5.5),,,,,,,,-0.00015372850406355587,-0.00040401760191935697,-0.0004646067621622505,-1.1248889370184821e-05,-0.0001933125618050412,-8.015037949389965e-05,-0.00034397808705404945,-0.00024503978386788104,-0.0002141387837881856,3.556137805211931e-05,-0.00014493903924211188,-0.00020411942205332057
[4.5-5.0),,,,,,,,-8.203038889605793e-05,-5.9244882724654884e-05,-7.76208562557262e-05,-0.0003030436984525807,-0.0001810211095687969,-0.0003750278608960853,0.0001919623632218849,-9.122720376279659e-07,-0.00026986067586072277,5.3564289123599733e-05,-0.00012862139125432165,-9.0377044969305e-05
[4.0-4.5),,,,,,,-0.00011806348514115152,-0.00015496278677528747,-0.0001432910000725697,-9.636303138150013e-05,-0.0004697235147636252,-0.000573592008952469,-2.9018822779289764e-05,-0.00015131771337331158,-0.0001043026666255204,9.12952617438415e-05,0.00013672063204248585,-0.0003196479123087829,-2.395774191688887e-05
[3.5-4.0),,,,,,-2.521573511386003e-05,3.997250563022664e-05,1.4255461145248467e-05,-0.00031065380377787134,-0.00010342730365806576,-1.717686510519301e-05,-9.043842125027468e-05,5.59972947560072e-05,-0.00023859501524594738,-0.00023159242487791172,-5.7818356480306985e-05,-7.720548154137142e-05,-0.0002691723761003127,-0.00030469825465598716
[3.0-3.5),,,,,,-0.00021070200909690729,-8.208552240463401e-05,-3.893578568010919e-05,-6.479184853462052e-05,7.334807695953203e-05,0.00010055925684541267,-0.0001425079126517628,-4.854404346836288e-05,-3.363617616325465e-05,-8.87361503575072e-05,5.436055771200079e-05,1.9375664120507665e-05,1.2177846451103455e-05,-8.924234352473731e-05
[2.5-3.0),,,,,,-5.5025351949470194e-05,-0.0001715948961137655,-1.9984724863757997e-05,-0.00011832574323981009,2.4128162659233827e-05,-9.40586762945833e-05,-5.357797731111593e-05,-0.00010731335647139061,-0.00014816266692763594,-0.00023626155210267936,-0.00022492123649190494,-2.2413753180656027e-05,0.00012295217147395197,3.699859805835599e-06
[2.0-2.5),,,,,5.606056800208918e-05,-1.114155140601754e-05,-0.00016748012865693403,3.177697554214922e-05,1.84102765096661e-05,-1.6832096279131136e-05,2.0771828080512975e-05,-5.0591773757268636e-05,-0.000248144621083895,-8.30637381919305e-05,-8.417885766531151e-05,-0.00017485447803688913,-4.0460594324681986e-05,-0.00015095601494722962,1.848639196466795e-05
[1.5-2.0),,,,-2.7264495576730798e-05,1.4875328095729378e-05,3.4979331348748825e-05,-0.00014883298908393387,-9.2222671151771e-05,-8.293389070923163e-05,-0.00023301106823099717,2.1654874754186715e-05,-8.32153005973177e-05,-4.4690714523543876e-05,-0.000232628308300347,5.2945986771514714e-05,-3.35963104830096e-05,-1.7960961243443896e-05,3.823314875721182e-05,-0.0001438227706088812
