"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Energy Flux [kW/m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,440.234375,478.515625,516.796875,555.078125,593.359375,631.640625,669.921875,708.203125,746.484375,784.765625,823.046875,861.328125
[8.0-8.5),,,,,,,,,,357.328125,391.359375,425.390625,459.421875,493.453125,527.484375,561.515625,595.546875,629.578125,663.609375,697.640625,731.671875,765.703125
[7.5-8.0),,,,,,,,,,315.328125,345.359375,375.390625,405.421875,435.453125,465.484375,495.515625,525.546875,555.578125,585.609375,615.640625,645.671875,675.703125
[7.0-7.5),,,,,,,,,,275.953125,302.234375,328.515625,354.796875,381.078125,407.359375,433.640625,459.921875,486.203125,512.484375,538.765625,565.046875,591.328125
[6.5-7.0),,,,,,,,,,239.203125,261.984375,284.765625,307.546875,330.328125,353.109375,375.890625,398.671875,421.453125,444.234375,467.015625,489.796875,512.578125
[6.0-6.5),,,,,,,,,185.546875,205.078125,224.609375,244.140625,263.671875,283.203125,302.734375,322.265625,341.796875,361.328125,380.859375,400.390625,419.921875,439.453125
[5.5-6.0),,,,,,,,,157.046875,173.578125,190.109375,206.640625,223.171875,239.703125,256.234375,272.765625,289.296875,305.828125,322.359375,338.890625,355.421875,371.953125
[5.0-5.5),,,,,,,,117.140625,130.921875,144.703125,158.484375,172.265625,186.046875,199.828125,213.609375,227.390625,241.171875,254.953125,268.734375,282.515625,296.296875,310.078125
[4.5-5.0),,,,,,,,95.890625,107.171875,118.453125,129.734375,141.015625,152.296875,163.578125,174.859375,186.140625,197.421875,208.703125,219.984375,231.265625,242.546875,253.828125
[4.0-4.5),,,,,,,67.734375,76.765625,85.796875,94.828125,103.859375,112.890625,121.921875,130.953125,139.984375,149.015625,158.046875,167.078125,176.109375,185.140625,194.171875,203.203125
[3.5-4.0),,,,,,45.703125,52.734375,59.765625,66.796875,73.828125,80.859375,87.890625,94.921875,101.953125,108.984375,116.015625,123.046875,130.078125,137.109375,144.140625,151.171875,158.203125
[3.0-3.5),,,,,,34.328125,39.609375,44.890625,50.171875,55.453125,60.734375,66.015625,71.296875,76.578125,81.859375,87.140625,92.421875,97.703125,102.984375,108.265625,113.546875,118.828125
[2.5-3.0),,,,,,24.578125,28.359375,32.140625,35.921875,39.703125,43.484375,47.265625,51.046875,54.828125,58.609375,62.390625,66.171875,69.953125,73.734375,77.515625,81.296875,85.078125
[2.0-2.5),,,,,13.921875,16.453125,18.984375,21.515625,24.046875,26.578125,29.109375,31.640625,34.171875,36.703125,39.234375,41.765625,44.296875,46.828125,49.359375,51.890625,54.421875,56.953125
[1.5-2.0),,,,6.890625,8.421875,9.953125,11.484375,13.015625,14.546875,16.078125,17.609375,19.140625,20.671875,22.203125,23.734375,25.265625,26.796875,28.328125,29.859375,31.390625,32.921875,34.453125
[1.0-1.5),,,2.734375,3.515625,4.296875,5.078125,5.859375,6.640625,7.421875,8.203125,8.984375,9.765625,10.546875,11.328125,12.109375,12.890625,13.671875,14.453125,15.234375,16.015625,16.796875,17.578125
[0.5-1.0),,0.703125,0.984375,1.265625,1.546875,1.828125,2.109375,2.390625,2.671875,2.953125,3.234375,3.515625,3.796875,4.078125,4.359375,4.640625,4.921875,5.203125,5.484375,5.765625,6.046875,6.328125
[0.0-0.5),0.046875,0.078125,0.109375,0.140625,0.171875,0.203125,0.234375,0.265625,0.296875,0.328125,0.359375,0.390625,0.421875,0.453125,0.484375,0.515625,0.546875,0.578125,0.609375,0.640625,0.671875,0.703125
