"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Maximum [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,36992.61375445168,41328.33743712459,31931.70390954002,25397.42907326887,18819.431879486227,23169.975978824856,15573.64638577377,14515.475413987822,12520.519127574085,13109.077138165407,8449.807799206132,9627.12856773675
[8.0-8.5),,,,,,,,,,37669.96289741161,36733.99598240353,36059.06504126599,26306.272616080794,23596.5582034618,18058.837956378367,15868.417824590248,14713.960674179136,17331.843775907448,13080.493144702072,11053.542490706166,7577.792390884053,9732.078568732579
[7.5-8.0),,,,,,,,,,44218.29203112702,35639.80767634498,28320.307434184702,25182.992165222327,23092.561375907455,23023.56097783089,17729.471621553523,13630.102751678769,13251.304957862641,11462.710836254977,9890.495720992574,9255.78560190007,7647.845434003283
[7.0-7.5),,,,,,,,,,37329.23150718768,33872.447498311376,26102.303252338646,25032.052081138332,18921.991919818993,19555.353137177866,15044.178755066894,15068.768211281451,12246.568484004107,9202.010284520411,8326.177244176777,7906.824061868654,8301.577281207914
[6.5-7.0),,,,,,,,,,29773.58130127353,34758.902538111186,23982.68673439518,20149.56921443824,21419.513103507095,15250.781861528369,13848.760204383938,10756.831030466587,10603.098643419613,8414.107385694619,9319.928648260406,6057.87286913975,6484.942309559017
[6.0-6.5),,,,,,,,,31098.817092387373,31423.073683792732,30108.329560593338,26844.468544841813,18909.423959830125,17974.962287204813,17522.88527105862,12083.650622450125,11872.964368717301,8618.53313843391,10901.711366666295,7430.427131662674,5903.899083620832,5708.778042356839
[5.5-6.0),,,,,,,,,31421.852967043138,28619.911291873803,31651.73572615585,20907.832826607773,17165.10467609533,15939.112643601668,15038.23289206525,12454.01399641298,8821.91427357208,8281.811661620764,9750.210518301541,6839.394793754596,6253.538154573188,4762.2364486799925
[5.0-5.5),,,,,,,,27733.162622348547,30024.24957934359,27198.543277097997,23771.815200010056,20886.729073242066,17267.217547455664,13010.150553088157,11318.273450869729,11499.913937824638,8590.786904037332,7415.829802613817,6137.008484817549,5342.361401438265,5397.959186590212,4950.998947515084
[4.5-5.0),,,,,,,,27760.618796271985,30060.08889072943,20701.908835214228,19405.644249563124,17386.97734455756,13535.66861757746,13031.303922255709,10489.17126604771,8344.4012413606,8177.698201247684,6703.7893778951,5040.609653129757,4801.98697070077,4181.738284314207,4356.133166716136
[4.0-4.5),,,,,,,29502.49373213642,23534.716733591114,21391.421604698236,18183.131701294948,14821.078431426564,13689.178478292386,12633.005703693287,10162.931215160865,10380.32515586372,8638.367216238381,6359.199295907241,5904.312847170074,4783.048068799484,4333.340167265998,3519.303664645059,3053.0201952138946
[3.5-4.0),,,,,,28224.451090077953,27369.150092063006,23210.287897695944,19716.96042510349,15337.439301158785,12462.309953211574,11969.352948617896,12082.802149842464,9905.906354596551,8581.488405787315,7156.573078074438,5722.544894375703,5717.239538980206,4017.7428095453,3037.903365792637,3364.0868973514157,2994.8665958530037
[3.0-3.5),,,,,,23413.284619705333,21477.664556772772,19744.848346950832,15716.07598909168,14702.034872256128,10822.547138166543,9807.69331830874,8029.089090172603,7521.136811549849,6033.136800668145,5616.195684021934,4945.017630245164,4709.0641475713255,3363.027728888791,2763.6206454212993,2958.2459771118597,2029.6885864174549
[2.5-3.0),,,,,,19964.116704810585,19064.16282615086,16506.405268573606,14576.006927416043,12066.174172282137,8781.776388375485,8005.055678818224,6778.014439426638,6105.85064135309,5205.07560584014,4756.785021519174,3834.1950585071363,2972.648327028367,2900.8850210432274,2322.7387375491444,2025.9577688122633,2096.1970894982264
[2.0-2.5),,,,,19509.464023456516,16640.00128912017,13976.634370620266,13001.758964281045,12743.356912798428,9852.203314859276,8996.782408028608,5791.716654936732,6228.714203464927,5076.360029409145,3705.2240057813337,3395.7784914319936,2871.101883717545,2369.22827821,2050.640206874903,1965.7004694311156,1647.3625442350453,1309.596100715738
[1.5-2.0),,,,16877.370021567218,14683.568608047199,12661.21697558821,10589.323352661326,9317.426608167234,9109.193217854365,5890.245574698216,5241.083977197078,4353.554300711512,4015.3566727036673,3775.571562457592,3048.0240834422084,2138.112828497856,1609.6454666682564,1808.433154136834,1265.8792773997266,1166.488177313856,959.4154648677957,1025.5079341628068
[1.0-1.5),,,13613.023237148893,13047.99817044045,9764.577798977958,8743.872471282102,7653.596581709902,5643.746674700814,4627.566744749737,3827.2695718628433,3456.3911316389695,2307.28330028939,3012.4826438299738,1798.4029546662473,1825.4192712991733,1593.452615812883,1546.8132151872499,1106.7827637585717,773.9883269919447,781.3732967079081,546.8210393567933,490.7742547357122
[0.5-1.0),,8294.083194627457,8336.447470737272,7801.767808976114,6462.840271085606,4619.6397887827525,3915.035737529664,2904.020778142247,2415.1642373359787,2008.7034212990295,1594.338854015636,1441.8152924987016,1063.1691264403864,918.645355154739,846.2622150062172,743.2043528959897,565.022619038607,461.78232375232307,398.4713065791052,286.18053031751117,297.54697547353635,279.6034012457576
[0.0-0.5),1122.0787510870737,2852.816564145543,2990.3913332260818,3136.0601592664775,2183.178054358169,1819.5509514829666,1605.621612736977,1113.4421636919294,839.5051215612435,631.9537422128519,435.9422480640181,358.22787861148413,285.1908564160188,252.48458115781997,252.56697054328615,152.69895829863287,128.99355583782273,109.32267758608079,79.87139423608485,69.00968404671086,62.08934288391508,71.94175030675828
