"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Peak To Average [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.68044410861055,7.215744206789373,6.441670603891881,5.632921333335176,4.707810223305465,6.461973160613258,5.3602192455699065,5.649438505698206,5.453890328010549,6.08632952332617,4.453539488048426,5.7109236575189115
[8.0-8.5),,,,,,,,,,5.454373081939856,6.005791268151834,6.481645572448603,5.397003625847446,5.420996819120498,5.004791831026882,4.830708533016196,5.316866000908025,6.874150751254633,6.193558088702974,5.93487304284507,4.457373993839409,6.256713882990263
[7.5-8.0),,,,,,,,,,6.82472139439121,6.056585102143919,5.513013664804988,5.470136793182205,5.94883796335011,6.859385614464112,5.945406896792477,5.3244337419361125,5.9785054750385465,6.198719196252972,5.861768017494227,6.05118558344192,5.21471736932863
[7.0-7.5),,,,,,,,,,5.931831756991335,6.156817518950703,5.52295604735167,5.955758938744178,5.26326037631983,6.425129877941757,5.373164660793215,6.434304446801756,5.865140363251175,5.467533648607486,5.603856716793422,5.501129156174348,6.510768980434624
[6.5-7.0),,,,,,,,,,5.2021028451251645,6.8655194732751745,5.434680629799931,5.165699277059326,6.571189556084931,5.27407680237689,5.5115758731290985,4.842332799129091,5.773348670639813,5.370399955258425,6.369979031562352,4.461837790805428,5.072832974141186
[6.0-6.5),,,,,,,,,5.1373089572939525,6.03806584168249,6.298484759373629,6.635004726413862,5.443039032345311,5.761862947734062,6.7487897989654835,5.226989295590759,6.253110019618145,5.1934228073777415,7.7153395443116946,5.892894364831912,4.920661078117384,5.328877036580737
[5.5-6.0),,,,,,,,,5.596125551467535,5.7319134475094415,7.400189651583628,5.755235793492172,5.500443071694855,5.864150842441623,6.653863449004006,6.123904763281465,5.297765062399443,5.588453910305517,7.682542375750312,5.738038908807768,6.176177028856539,4.936085557306517
[5.0-5.5),,,,,,,,4.714779799733292,5.878675081527128,6.112661756818865,6.147330577308524,6.440589792058555,6.136913873248957,5.437988983602463,5.645391418361151,6.6561177188912275,5.858580762174104,5.579525680971233,5.535839171790199,5.280598760051108,5.882956441251645,6.542726427689246
[4.5-5.0),,,,,,,,5.202605998641279,6.672970764552492,5.4084121532327005,5.7188902775773185,5.969533660714366,5.569891434088804,6.118549459759193,5.893004279913228,5.409331050642102,6.050199024719038,6.031667341204685,5.236635845244648,5.649783131566792,5.65778795265364,5.854932698704824
[4.0-4.5),,,,,,,5.335297929595628,5.099429718892416,5.245763090958502,5.313454813413194,4.954921800040811,5.4272474002020195,5.923242761202278,5.538176695006875,6.724580345316391,6.432284431296841,5.647048814608257,6.256840184861877,5.431679263853152,5.645803759130004,5.427375494715894,4.853573167602953
[3.5-4.0),,,,,,4.97432012139753,5.6823749511033315,5.718828402349648,5.861063851852364,5.177162476361752,4.777488280207841,5.568617269151042,6.6698649702761,6.235708862458435,6.833206957650496,6.157676848739563,5.927690816344013,7.217136609382058,5.576629550799268,4.91027331759,5.749316522556147,6.047307370991562
[3.0-3.5),,,,,,4.762466951442835,5.1888868106073796,5.719404116373783,5.470569115501183,5.990758866574855,5.15048508209581,5.695835508590125,5.259057146326639,5.895220425350936,5.744404424000529,5.893698902810505,6.081900913088745,6.994247456095586,6.021562039364928,5.507904041853638,6.773449527900745,4.748722745060172
[2.5-3.0),,,,,,4.884815229604785,5.545630436046605,5.81520816369399,5.9866695171705056,6.1014176257309405,5.107369290982315,5.6669198917069314,5.657582198214771,6.073838649762527,6.378480676586968,6.588874582269858,6.13675170945949,5.844885378205671,6.343507797185433,5.344030721993773,5.807780529293478,6.504373567980419
[2.0-2.5),,,,,4.887340532713917,4.990645476689578,5.100537201287811,5.886462971219903,6.850400633082241,6.099760901209861,6.773375933899327,5.317747280977216,6.92450073605483,6.7297959498836954,5.91882148348565,6.165212327798695,6.2817020058226625,6.263959516106681,6.022342797248249,6.3772115664549025,6.0281552867718355,5.221777013160772
[1.5-2.0),,,,4.606486271302027,4.758364397277913,5.008272478286905,5.156707245319558,5.539507368245126,6.473359394571074,5.098413683338641,5.5082977903944315,5.685913027752057,6.143471184520153,7.022728823056872,6.695905474975768,5.569174879666404,4.982700437205463,6.5437731275678015,5.3281470932180905,5.629827626273447,5.35789774007771,6.1941594093012275
[1.0-1.5),,,4.501601289098751,4.91693034710509,4.509925856407745,4.917954209701387,5.3577923686803866,5.004720393941881,5.010972309094114,5.0179014703757225,5.508187323416473,4.5079049456193285,6.987447545960248,5.129102678046476,6.5170200771102085,6.406244980028668,7.701838053492921,6.504064927312363,5.369575098423434,6.357815215239251,4.814701548015044,4.952558067612489
[0.5-1.0),,4.869479978075632,4.441035294185546,4.787541282862138,4.865088049854274,4.443962859190572,4.786294280195265,4.502429625975299,4.656449475031296,4.761677541588783,4.634145795957681,5.282116101069556,4.710382847290832,5.0600766182228805,5.969716397345985,5.8991750468963495,5.5367563392424906,5.491650787417971,5.777422399953288,4.7607087500811085,5.764280041460247,5.811061227582217
[0.0-0.5),4.4389286492473055,4.823814615747253,4.510662882886316,5.4435607965602655,4.727358508032792,5.0158417411000915,5.799045516306524,5.2661932594967595,4.941207242312292,4.723169240908738,4.053162364172685,4.30198581200895,4.256667823970747,4.73175952099614,6.037817365382223,4.43214402972865,4.701890042604505,4.910957674935511,4.453952432561713,4.508520587398425,4.764459914118574,6.2852390970919405
