"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.732170858636834,5.955302715313868,5.444679003796373,4.728772299989816,4.749332674076738,7.630508794546535,4.274970086488228,5.389602963856289,5.162341238051012
[8.0-8.5),,,,,,,,,,5.47062474880802,4.826010078382888,5.628597310995888,4.124884025187661,4.157116185503595,4.718122460291807,3.294879954332487,3.9876736155746495,4.9457875567461445,4.248729856766786
[7.5-8.0),,,,,,,,,,3.5130971331746514,4.571728712412602,4.256873956980181,4.278137440578282,4.365658171445416,4.877870982328423,4.329953768754819,4.131946202688217,5.67115177602635,3.505079411511798
[7.0-7.5),,,,,,,,,,3.647627793799213,3.687675982287133,3.8500955046358416,3.8215570198516478,3.764095201653945,4.155013136449686,5.489264216470166,5.075052796647994,4.329552677847038,3.4168816694389075
[6.5-7.0),,,,,,,,,,4.539464225912312,4.0930966778213635,3.3570851401306157,3.6484413974634116,3.2132950692856492,3.346493956475059,4.3694395999147675,3.5783337629381524,3.8081323019696938,3.361621743963041
[6.0-6.5),,,,,,,,,3.431407679471436,3.6960765767965307,2.8704014774007303,4.274474040339356,2.6376285111889155,3.950664232531817,4.309850724241566,3.566761665473484,3.4346627439647945,3.1561011589908525,4.039688206101807
[5.5-6.0),,,,,,,,,2.586884279206382,3.266026842693528,3.4597391527202452,2.165392309927625,2.603557247535496,2.4872111327823885,3.0347942582387333,2.7043561651994152,3.1298157203279056,2.6850401208224945,3.0934848279555456
[5.0-5.5),,,,,,,,2.3533100327364935,2.8312000415411696,2.3214060465953645,2.779902078763772,2.326133216889951,2.4997998664627756,2.383477792487477,2.537093161562538,2.4332336926053775,1.9352164594473418,2.898405920981939,2.454128923313045
[4.5-5.0),,,,,,,,2.3818231516083825,2.1052865595444463,2.139752128896881,2.065542865041439,2.057603081242695,1.9116184027177663,1.9719186975615572,2.209284005248059,1.991787711684924,2.624044334024755,2.248115533756954,2.0258946406339526
[4.0-4.5),,,,,,,1.9739689952582535,1.9691485293407887,1.7751534058788263,1.899329950105896,1.6276953630650148,1.7219972822307976,1.6118166328794652,1.619730616117996,1.8884524278497878,1.8549368793399184,1.872149143221541,2.203921333696512,1.8934739159940746
[3.5-4.0),,,,,,1.8329590332669339,2.4669426920373168,1.494976448118371,1.4533776705030983,1.6208367913440485,1.2736648896235607,1.6649309864123407,1.9358522554305293,1.5819913857066534,1.673706662836532,1.6746973249556296,1.7346980394937286,2.0665240659696535,1.5701695096091202
[3.0-3.5),,,,,,1.3039125005682162,1.3484255585620393,1.2598430969143901,1.20093000369596,1.368805084978985,1.2502687129877883,1.2553523598996277,1.261678968773425,1.4045849720188803,1.272710474980271,1.281719995071334,1.6660993847018977,1.097221431936837,1.190216923295238
[2.5-3.0),,,,,,1.1470944954476587,1.1017311614280805,1.1997981391157255,1.100748895702905,1.2970663065935137,1.0448429438622089,0.857333145141036,1.002817660880899,1.1377143760692672,0.9060912981334687,0.971583748647425,1.3720460276355766,1.1402993516945223,1.1882690432638534
[2.0-2.5),,,,,0.8513152009681292,0.8949614635610595,0.8690178666628031,0.8181961424840914,1.0220436546700065,0.9040783076933696,0.8009406003247066,0.6953137479436394,0.8012242806018628,0.9371988243758973,0.6590370815566724,0.8089211709811667,1.0916027806834845,0.701115699694273,0.913733013188082
[1.5-2.0),,,,0.713148544751572,0.6865986133914762,0.6271860797228433,0.6500044042056043,0.6872356596913429,0.6302415827061814,0.5510739794912827,0.5849146955537243,0.4481733307642134,0.6020894302655986,0.5233892171690513,0.4667528863315887,0.5801596672206414,0.49308657010519336,0.4447839532457445,0.6344771186088927
[1.0-1.5),,,0.5223306574908667,0.5453392061716072,0.4444922023010032,0.43953418057741833,0.3525986730489867,0.33162932745193513,0.37628731714821406,0.43384881898522587,0.3114510900569371,0.3300447393722887,0.3127192720333379,0.35574475158030056,0.34843666020984376,0.39925428286648346,0.32943055825368645,0.2930106067026612,0.2978009972323698
[0.5-1.0),,0.28951346481880924,0.29165596585303666,0.2455100781946019,0.2583051203714205,0.21152532977246882,0.17275649382744704,0.17543732450292818,0.19281562293922222,0.13587922983756684,0.14026120967406394,0.17303839033489807,0.15743508387966024,0.14468408308941896,0.154946006375387,0.14315024577676538,0.1279023672276897,0.1315504936586287,0.13885904219327638
[0.0-0.5),0.07532041120603708,0.10454080208241948,0.10755099634810628,0.10839898841645228,0.07030968199332696,0.0662117313021553,0.06447605717000295,0.04535184603528317,0.0460608999298719,0.031884027065657634,0.033311873882477576,0.028584265372392607,0.027162806388129124,0.029390716163789406,0.02690890962596543,0.024379594229018392,0.0265108448284887,0.026490131590155196,0.02037736644693301
