"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.37483446324875,2.9656028703732455,2.5132925377841793,2.2134072264971754,1.9138405301172436,2.4588545936712096,1.9010084790146389,1.969055795288783,1.9111555615475122
[8.0-8.5),,,,,,,,,,2.297308136042303,2.358231840845659,2.587495007560945,2.0705239798731605,2.0564598210838216,1.8364919955639019,1.6839953609769245,1.796070317035951,2.3511022861230977,1.9966310475279092
[7.5-8.0),,,,,,,,,,2.6966589354401154,2.287987653296221,2.0321839741181296,1.9821124004917674,2.01253607521875,2.3413790824912772,1.8814949475934353,1.6637684110030424,1.7975683247187584,1.7496897166886267
[7.0-7.5),,,,,,,,,,2.276528582924659,2.174527493718755,1.873026360333408,1.9702321516940362,1.649067452230035,1.9886799800519868,1.596525092374446,1.8393801572456232,1.6612736378301225,1.404612137363194
[6.5-7.0),,,,,,,,,,1.8157461622356021,2.231435718496027,1.7209287629096819,1.5859398574431713,1.8667285162832998,1.5509269689689869,1.4696643482203364,1.3130404074747948,1.4383333811943129,1.2843451586774566
[6.0-6.5),,,,,,,,,1.8061859517544416,1.9163406937731298,1.932880416235622,1.9262820114973886,1.4883300392197272,1.5665330261474586,1.7819883326500294,1.2823465966681766,1.4492820356180744,1.1691227561701651,1.664057703718143
[5.5-6.0),,,,,,,,,1.8249475289868686,1.7453894298406227,2.031963281185314,1.500286072194486,1.3510375022557373,1.38910702368819,1.5293118195320596,1.3216504649254592,1.0768533855064513,1.1234457558372517,1.4882904509344819
[5.0-5.5),,,,,,,,1.5374461155246528,1.7437762227764704,1.658707095866805,1.5260918400006456,1.4987717274267536,1.3590746404657335,1.1338455230624316,1.151010859410481,1.2203990301364924,1.048640654952914,1.0059734340937005,0.9367645045318373
[4.5-5.0),,,,,,,,1.5389682061899181,1.7458577315539057,1.2625089047276854,1.245794445650966,1.247639588661904,1.0653704865499918,1.1356890569116707,1.066695382987903,0.8855282950015331,0.9982166818424404,0.9093836025666397,0.7694081270922135
[4.0-4.5),,,,,,,1.5310675389931077,1.3046964500498273,1.2423908303547746,1.1089009168889803,0.9514766400421992,0.9822961557560314,0.9943233550838309,0.8857079718240753,1.0556262870369886,0.9167246841722364,0.7762402896412596,0.8009328731813319,0.7300934429870055
[3.5-4.0),,,,,,1.4342066351961436,1.42035509459808,1.2867110561622483,1.1451399204453256,0.9353559542536241,0.8000495278604961,0.8588864121363348,0.9510177272328074,0.863308039841934,0.8726937361817609,0.7594730613466751,0.6985266068252032,0.7755559722442714,0.6132758104589695
[3.0-3.5),,,,,,1.1897304236723232,1.1146093382756328,1.094597136504737,0.9127728422555108,0.8966057232493964,0.6947808039316793,0.7037719216449695,0.6319565580559667,0.6554733757551824,0.6135393356611674,0.5960044399370216,0.6036171755228839,0.6387947887140233,0.5133388705544535
[2.5-3.0),,,,,,1.014463259267248,0.9893577514569307,0.9150672430339312,0.8465588535654887,0.7358573771993797,0.5637683607352164,0.574419818719247,0.5334865048186456,0.5321300000285375,0.529329722627811,0.5048016757530552,0.46802380995861764,0.4032462078403698,0.4427965394156003
[2.0-2.5),,,,,1.0124671948300787,0.8455505541051291,0.7253343186349839,0.7207798146509747,0.7401205057321499,0.600838044221285,0.577571216317886,0.4155969632797287,0.49025197565112444,0.4424090304959925,0.3768024412658984,0.3603683297029871,0.350463140735475,0.3213909664354435,0.3130135736521379
[1.5-2.0),,,,0.9148261721210862,0.7620215245693157,0.6433712860559481,0.5495457228926037,0.5165311126062859,0.529052174975905,0.3592174783631437,0.3364646503879606,0.3123985606766311,0.3160422002733462,0.3290442255549633,0.3099685508585297,0.2269017695548745,0.19648254522711114,0.2453178887350836,0.19322619107079975
[1.0-1.5),,,0.8301921911631068,0.7072577187591071,0.5067445564339859,0.4443140408859961,0.397192636974965,0.312872949983414,0.26876411473602346,0.23340658843260498,0.2218917763521314,0.16556402706768392,0.23710761475150147,0.15673232454074557,0.18563585809822103,0.16910109392299985,0.18881288072708216,0.1501374879533367,0.1181430323001403
[0.5-1.0),,0.67459696473508,0.5083994548221322,0.422889429534494,0.3353969002958598,0.23474391109124082,0.2031755073368688,0.16099049089914375,0.1402701493017173,0.12250106869532783,0.1023526177886581,0.10346052696862809,0.08368031469460155,0.08006071251627893,0.0860605642379204,0.07887066602161524,0.06896989715964218,0.06264177609161949,0.06082340883203563
[0.0-0.5),0.24935083357490526,0.23203304692737473,0.18236944799971413,0.1699879724967236,0.11329866150361756,0.09245926659001394,0.08332567251728823,0.061726004810213564,0.048757557320757254,0.03853979037732795,0.027986415925097458,0.025705404352985982,0.022446908981280995,0.022004242827161964,0.025684776665418935,0.01620478741128349,0.015745692261893856,0.014829858872546613,0.012191719668130369
