"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Average [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,6512.274929063629,5727.5225191932805,4957.0532045286145,4508.7491144193555,3997.49161219856,3585.5883958245913,2905.412199070965,2569.366035110754,2295.7042357947957
[8.0-8.5),,,,,,,,,,6906.378117430543,6116.429016972431,5563.257761970434,4874.2366023424975,4352.807978088816,3608.309509383342,3284.904836658057,2767.412357517804,2521.3069080197483,2111.951314150236
[7.5-8.0),,,,,,,,,,6479.135114213912,5884.472367725692,5136.992062069645,4603.722560761106,3881.8608807597766,3356.504834672369,2982.045119757657,2559.91592952427,2216.49123065781,1849.2063397845163
[7.0-7.5),,,,,,,,,,6293.036120451487,5501.616280497494,4726.147198809421,4202.999540209153,3595.108462608419,3043.573205315856,2799.8730180076027,2341.9420600732615,2088.026496473405,1683.027645721769
[6.5-7.0),,,,,,,,,,5723.374217634709,5062.821928247996,4412.897163246567,3900.646966408152,3259.6096826445364,2891.6495593418804,2512.667977937416,2221.4150651523246,1836.5595511910346,1566.756192423983
[6.0-6.5),,,,,,,,,6053.52283674379,5204.162145246959,4780.249649058062,4045.885368849001,3474.0562850019433,3119.64419325068,2596.448517887561,2311.7802503715325,1898.7294852429832,1659.509240455154,1412.9917813797092
[5.5-6.0),,,,,,,,,5614.929950741192,4993.08155190469,4277.151967231331,3632.8368770311113,3120.676725921687,2718.0597961844364,2260.075369342945,2033.6720569343986,1665.214325222737,1481.9504275321121,1269.138527511121
[5.0-5.5),,,,,,,,5882.1755840892865,5107.315706848704,4449.541682354201,3867.014291985259,3242.983911038092,2813.6646373226986,2392.4562172373917,2004.8695674241499,1727.7209363629295,1466.3597299031367,1329.1147360259013,1108.5958775845256
[4.5-5.0),,,,,,,,5335.90642910918,4504.753572488541,3827.7239693798747,3393.2534648634482,2912.6190306927397,2430.1494522382554,2129.802824666319,1779.936135767096,1542.5939294970858,1351.6411886346903,1111.432212466176,962.5663884394595
[4.0-4.5),,,,,,,5529.680651661841,4615.166407019881,4077.847442551892,3422.0920925861196,2991.183116412552,2522.305962647443,2132.7854037049606,1835.0680693022287,1543.6391005564417,1342.970341020315,1126.110204582743,943.657289098621,880.5836715414713
[3.5-4.0),,,,,,5674.031908133071,4816.498440805778,4058.573935906124,3364.0582876216286,2962.5184396254767,2608.548513837361,2149.429987750383,1811.5512388464883,1588.5774293014597,1255.8507972862483,1162.2196574897143,965.391932824385,792.1756021006959,720.4607680941365
[3.0-3.5),,,,,,4916.20936342919,4139.166133450255,3452.2562045273803,2872.8411354056825,2454.118952155696,2101.2675438645647,1721.9059966737718,1526.7164563482227,1275.8024753759948,1050.2632397296527,952.9152704668643,813.0710613195101,673.2767430851062,558.4975637390389
[2.5-3.0),,,,,,4086.974791557432,3437.6908173025336,2838.4891484414643,2434.7438731351813,1977.6017496977397,1719.4324295054962,1412.5937602423073,1198.0408241466496,1005.2704711857657,816.0369012241486,721.9419586949351,624.7922744856893,508.5896702290754,457.2998274441041
[2.0-2.5),,,,,3991.836438011206,3334.2382998036364,2740.2279052275844,2208.755755000796,1860.2352760592828,1615.178606903286,1328.2567652862137,1089.1297289841154,899.5181661304407,754.3111362086505,626.0070549719118,550.7966815871961,457.05795675379875,378.2317353932353,340.505393982536
[1.5-2.0),,,,3663.827270410341,3085.8436601549756,2528.060729618892,2053.504852786172,1681.9955257355175,1407.181752567894,1155.309463009493,951.4888585611092,765.6737413081225,653.5973803899748,537.6217219240641,455.2071553031054,383.91913967440894,323.0468070384385,276.3593906576946,237.58339536290123
[1.0-1.5),,,3024.0401943447782,2653.6878192961667,2165.130450006036,1777.9491427621529,1428.4981677248102,1127.6847117238483,923.4867924437426,762.7231412290507,627.5006510662986,511.83051287085175,431.1277650408443,350.6272086078039,280.10029886368017,248.7342617680775,200.83689171908028,170.16785289317846,144.14330981592866
[0.5-1.0),,1703.2790425200994,1877.1405581153156,1629.5980228732315,1328.411778956229,1039.5315926704614,817.9680371366433,644.9897098643022,518.6707705702629,421.84784747704794,344.04158268096825,272.96168143800435,225.7075827821227,181.54771646073831,141.75919904376835,125.98445494289942,102.04939217460857,84.08807144298426,68.97042988969042
[0.0-0.5),252.78143438447492,591.4026121220696,662.9605028945476,576.1045529698363,461.8177467709469,362.7608376423568,276.87687710366777,211.43207414274247,169.89878796672124,133.79866567967062,107.55607816688114,83.27035333577685,66.99861680773208,53.359554735923346,41.830839732148384,34.45261644802225,27.43440503052889,22.260969208519267,17.932700325258395
