"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,87851.33402972159,122563.43613129074,80253.71315458084,56214.85304522278,36017.391484741274,56971.601870785074,29605.633828531623,28581.780985284568,23928.65976412522
[8.0-8.5),,,,,,,,,,86539.51224863538,86627.27896720052,93302.65077159114,54467.768272675945,48525.373861285036,33164.911356074444,26722.342002653517,26427.30801292744,40748.93752426438,26116.918729688132
[7.5-8.0),,,,,,,,,,119241.65231563913,81543.4399293292,57552.07490984868,49915.5210521742,46474.61283821689,53906.88407795566,33357.91127945414,22677.33439696878,23820.126053442527,20056.18727557062
[7.0-7.5),,,,,,,,,,84981.06250472451,73656.56836462315,48890.302057046734,49318.95383313835,31203.641006333215,38889.33928675244,24018.408876630852,27717.193241964724,20344.90137635723,12925.255333778307
[6.5-7.0),,,,,,,,,,54061.2659837971,77562.25665926351,41272.49541307314,31956.0049274875,39984.415915220496,23652.848886907395,20353.029139435654,14124.153799381364,15250.790722926564,10806.618085409114
[6.0-6.5),,,,,,,,,56170.24654845098,60217.31482368354,58195.80057323893,51710.01686613626,28143.463703756417,28158.3720666614,31225.577107391513,15495.428251026211,17207.273969115475,10076.123216949756,18141.076783412693
[5.5-6.0),,,,,,,,,57343.23292839408,49952.89065181282,64315.164781330066,31367.730389530312,23190.70014755011,22141.13332458431,22998.147306711176,16459.85338854739,9499.90825214378,9304.166161891306,14511.145208989128
[5.0-5.5),,,,,,,,42638.24314494327,52355.57252316579,45114.41673096283,36277.97319873866,31304.43901339761,23467.43748015191,14751.500958987224,13027.455651728398,14034.48381637432,9008.648405610624,7460.127773189831,5748.931712587793
[4.5-5.0),,,,,,,,42722.709711620824,52480.63860107764,26136.344249318707,24175.443820384346,21692.68126223764,14420.501860887953,14799.509261795942,11188.750560862469,7389.203404070728,8163.114763558357,6096.316135318219,3878.286032617498
[4.0-4.5),,,,,,,45170.31047262169,30705.661375244592,26576.506049930107,20163.291415479052,14101.909907735655,13446.82739468481,12561.29261608948,9001.389194367715,10957.744102521068,7919.0044580699305,4936.266703341531,4728.9582528453775,3492.0720325221628
[3.5-4.0),,,,,,40479.69502815883,38873.911768081205,29864.9340546742,22578.678492626645,14345.965173342413,9970.465194118082,10280.314609631883,11490.95903914686,8551.848597844506,7489.011178846996,5435.224464356392,3997.3498674731504,4434.039269207184,2463.984477739591
[3.0-3.5),,,,,,27855.497030162715,23939.20547933051,21612.65446129267,14345.2073496668,13181.928609877054,7519.298001243846,6902.3791735306695,5074.035505750192,4929.904935383149,3701.5667446348743,3347.2775632322105,2984.89757487945,3008.125637188607,1726.3728559910808
[2.5-3.0),,,,,,20252.86290075386,18861.27726708942,15104.470761514405,12339.447714035947,8878.98327924643,4950.887678817677,4598.262631864242,3615.9792329000284,3249.106301957466,2755.2012266961465,2401.233050059912,1794.4945794070147,1198.7091651172084,1284.501848560492
[2.0-2.5),,,,,19752.69231246736,14069.962310325622,10137.732568024147,9371.40541641114,9431.619763025661,5919.578570970508,5196.282558352443,2407.0198539683342,3053.6394440149,2245.8275190595077,1396.1374508154179,1223.7310229986767,1006.2153835391895,761.4485660400937,641.8782194286728
[1.5-2.0),,,,15439.859812301513,11189.195336822271,8145.863448617588,5819.3173567817985,4812.7407325440345,4819.238484181614,2115.8791622827594,1763.4394880415568,1360.0440973698335,1269.0221577235293,1242.330020796201,944.7916081264796,485.1415842941414,316.26723820426014,443.64100329137614,244.6010311274055
[1.0-1.5),,,11301.425589602928,9228.297420398718,4948.146645508231,3885.0253107071717,3039.9522086319344,1765.7756710727267,1243.723879534525,893.309933780423,766.9447679671246,382.00311478192765,714.2825741588221,281.867875545786,338.8632728166514,269.45458044842417,292.0582591062247,166.16958386076325,91.44132791574087
[0.5-1.0),,5595.163348355919,4238.245349276172,3299.285138098488,2167.6165940293663,1084.432311851577,795.4393722145618,467.5197306544337,338.77544815928593,246.06831580109244,163.18475535066955,149.1709699533423,88.96632707411617,73.54740168345852,72.82980371666736,58.61702230307028,38.9695519279644,28.92686492756076,24.236383187896326
[0.0-0.5),279.79127192025044,661.9477197035748,545.3560167435697,533.0925081014606,247.35115138285258,168.23434649727713,133.78950068960154,68.72833635194263,40.93221908559162,24.35536475305126,12.200461073641621,9.208392470220579,6.401653196263951,5.555732033910953,6.487126231465748,2.474454157153789,2.0310928339897782,1.6212398801704928,0.9737696480290703
