"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.4817514779896395,2.452824349615532,2.8852397218841883,3.496655558255353,3.5309997789017027,4.632410790967821,2.9514661357512457,3.0823513924500374,3.4520731517555605,4.011106291163232,3.4739726643772024,3.021531800870119
[8.0-8.5),,,,,,,,,,2.5924621908882903,2.9828023102938777,2.777556470998053,2.590477170287333,2.8724538881018744,3.050031704784957,2.9794000018348403,3.043175219335839,2.8387915576041487,3.158216581556509,2.8831655203687263,3.6781495256133536,3.125378773387055
[7.5-8.0),,,,,,,,,,2.4432409423872925,2.382797113836519,2.3573749270548756,2.683673451093058,2.6254779676144415,3.001215871509701,3.558704488331061,3.006969393631515,3.352638093581437,3.510797900001269,3.657591432724562,3.0460777971012623,2.995951221220102
[7.0-7.5),,,,,,,,,,2.1788701577631424,1.9065668009744048,2.335288536693175,2.9515254944307547,2.4754777291602212,3.0377282865374093,2.590775810272231,2.851922313579117,2.535668408606277,2.5018694268867017,2.9540167119493286,3.267140253981562,2.8348056749567827
[6.5-7.0),,,,,,,,,,2.1321237535726305,2.2787336181901874,1.8893169091801265,2.448599389754594,2.5696000540610786,2.8873840223237597,3.1079721373840328,2.46559368099273,2.56382815370146,2.263978131176265,2.6454291916881774,2.602812038629059,2.6266926953667653
[6.0-6.5),,,,,,,,,1.8299470447726753,1.8597961942326116,1.8691842839316604,2.1721775232474743,2.3161203779526414,2.566095019130345,2.845157928980669,2.5715509245253285,2.290971845941983,2.0266837273862324,2.5353992777812295,2.3062288121788552,3.066959977335585,2.238549804385027
[5.5-6.0),,,,,,,,,2.0134865345759674,1.7616961781477731,2.0894983526154154,1.638328905718266,2.146565846949361,2.0546893736641296,2.5116018188388427,2.3476251473533405,2.133704791007301,1.6885217986179017,2.2291406730933647,2.4809034394141856,2.676621599462623,2.3333111487838654
[5.0-5.5),,,,,,,,1.4552548402380634,1.5412141756481819,1.7655754584896752,1.8836170371230918,1.7112736079552864,1.8709587658406766,1.6638486306151439,2.0685012921612005,1.9067711472780595,1.9828003243932821,1.8560500316212099,1.7611334136570458,1.8278104399779946,2.237941177544973,1.9982124691134708
[4.5-5.0),,,,,,,,1.2825556164408776,1.6795247649589398,1.4680319811149805,1.6496523980223357,1.5786903444430462,1.520402297499813,1.6544140664634852,1.8557448371913343,1.8807186346404048,1.6477509068982399,1.7309828162196108,1.6000891995850965,1.996113904874417,1.958837932708625,2.1045778348073543
[4.0-4.5),,,,,,,1.1282655854401908,1.4007390531707509,0.9953282404764441,1.349412893130776,1.4415842168812383,1.4168975105720818,1.3690303265596604,1.5573365336579568,1.823398134083404,1.6204277929780044,1.6555727318658278,1.4453432827842256,1.6099317178001178,1.7099542061899797,1.752104064556342,1.5894905007337439
[3.5-4.0),,,,,,0.8973150937029623,0.9089536718882104,1.0315345783038825,0.8576713258572438,1.3577053587532923,1.2841609196520078,1.1131817987415673,1.8231306784884076,1.355152026378834,1.6781059545036314,1.8098246366446686,1.4116053183395467,1.1978350387066388,1.706216653522745,1.3848433742982735,1.9056467976798332,1.3759248057734292
[3.0-3.5),,,,,,0.7665388619667413,0.7527367801148893,1.0954946639544538,1.0009895706333711,0.9167961656193475,1.1509437860389147,1.2267095947382203,1.342262612212573,1.135613498210679,1.0324263825271829,1.2234330398928301,1.2770684223817967,1.0855535469282496,1.1663785019835404,1.3681409836593557,1.0181329429926633,1.3178504514962222
[2.5-3.0),,,,,,0.7061715038790538,0.7797449239139055,0.8152278285429798,0.7834080313757582,0.8776651376259592,0.8269853021273916,0.9336846225131357,0.9689400992986152,1.0922330271324503,0.9437579569424793,0.9464638382543026,1.0560773221201716,1.13883727239132,0.9962714071318846,1.3023848547945978,0.9079130894278856,1.1162328445255993
[2.0-2.5),,,,,0.4687330530117045,0.6004322990184536,0.5212057252361618,0.6292044623658853,0.7034026303687206,0.8979243678344664,0.8373419883667832,0.748294118850493,0.7240627983176214,0.8105608014384031,0.7412025797152545,0.8699707981109731,0.7783966044568363,0.83981196502053,0.8232240768317112,0.9251130854278338,0.9443622489945537,0.9094740044232993
[1.5-2.0),,,,0.46667470792738347,0.5248680188457883,0.41360805365159053,0.42143638589695576,0.5097605879893359,0.5816257400747109,0.5568435261712603,0.5565876952705863,0.5886236783302347,0.6520768790309119,0.7688337391083658,0.6287126130852307,0.669615589861107,0.691850412837447,0.6124731706934142,0.6369818585062326,0.6495723628211982,0.6999592555962714,0.6585681117284012
[1.0-1.5),,,0.3810459756929659,0.3438963717480408,0.30782155008006334,0.31706696405728,0.34218901156783244,0.3302124529677482,0.37022202217689415,0.4498486032156486,0.34812650882900226,0.369099638202995,0.4422086504010642,0.47799783283489017,0.47153587259830926,0.5214406307019421,0.5458715883130147,0.4553359674358745,0.47837441778715845,0.5054984765081307,0.5133296494533569,0.4726349852922084
[0.5-1.0),,0.20211637491534665,0.23687736280031188,0.17502611387235845,0.20245766643122157,0.24458753188374247,0.2035860624608966,0.21903023036029867,0.22624911472554196,0.2288347278941333,0.2335412815679257,0.2736101776651596,0.273040833850541,0.2615287420411215,0.27736999116645583,0.303066576291447,0.2721305666959142,0.228171457462654,0.2823095320970933,0.2568406509660065,0.3132300142983382,0.3189734085030245
[0.0-0.5),0.07265564582262461,0.0877995782526602,0.08141099974331358,0.09234328871566481,0.07330638857458398,0.07662636440074384,0.0793255237304583,0.09818836684034865,0.08937142325871601,0.09721925221766439,0.09434541004992243,0.09825668384999078,0.08583472910105623,0.10547379085953937,0.11389130391224861,0.1053432054294921,0.10586737052819367,0.09004308249789435,0.1055094817291549,0.10527125051869628,0.12252904613635321,0.11118722510459068
