"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-6.28318866754796,-6.412922182445494,-6.2374951421857645,-7.723189632580453,-6.213631372740252,-7.555386917872755,-5.6388600506934745,-6.603671534598961,-7.535943863775191,-7.10855249343317,-5.412282325002408,-6.391487111790553
[8.0-8.5),,,,,,,,,,-6.834069306483825,-6.114765032458521,-5.565028201676001,-5.919082197593505,-6.202039739829924,-5.220010539270548,-5.918129191581956,-5.690761510781147,-5.8792319268089495,-6.276486665661314,-5.489253931114742,-5.099123979283264,-6.679259970853609
[7.5-8.0),,,,,,,,,,-7.083174921017401,-6.2823417909049315,-5.724527402376305,-5.532254982982156,-5.526624184065551,-5.512396144193975,-6.262012122090314,-6.181110593583086,-6.240441172134245,-5.545645039522996,-5.416072214102063,-4.955366702420434,-5.7432630589783535
[7.0-7.5),,,,,,,,,,-5.379436834165885,-5.7531338671073415,-4.741515823434404,-5.550128079713057,-4.80522842713281,-5.282931654447579,-5.066915997308413,-5.815078411453177,-6.7912439694738165,-5.111961433321606,-4.780754290478107,-5.05606124503214,-5.315219570302722
[6.5-7.0),,,,,,,,,,-5.039490831032831,-5.724202150200638,-5.188581703915868,-4.831190831616961,-5.120095889733872,-4.614574735319641,-4.558227061930603,-5.39444545918473,-4.977665371648932,-4.958561608857698,-4.478455267647353,-4.6164439270020425,-5.825120682190587
[6.0-6.5),,,,,,,,,-5.6669925491658635,-5.16886845150155,-5.408034227547219,-5.2270924434841985,-4.5949327085575975,-4.571357291428007,-5.259255448730283,-4.47718689411995,-3.9180857242918075,-4.464611319302694,-5.387792158142228,-4.415215078062753,-4.761501847790815,-4.015610467481589
[5.5-6.0),,,,,,,,,-5.799876827284737,-4.761494739464806,-5.399923682456075,-4.305747061202608,-4.2813861612169815,-4.6257543432856165,-3.854628651108456,-4.248166486564476,-3.774405009296885,-4.220116491151981,-4.983926498154356,-5.193255810929678,-3.9289587829673494,-4.471003939178134
[5.0-5.5),,,,,,,,-4.606085204193497,-4.758973089804912,-4.435538066752958,-4.656853410741909,-4.276432849569513,-3.9589641018125556,-3.5048318284749156,-3.4860344612359864,-3.7369259689148935,-3.861694854162208,-3.7497590233229565,-3.6380834946919642,-3.544975622158179,-4.271596447253007,-3.4785191668106994
[4.5-5.0),,,,,,,,-3.9519778726354864,-4.82878270086684,-3.609059739515993,-3.629050988978107,-3.6002598536523824,-3.852098598834097,-3.325982998701174,-3.3151423809676004,-3.3588918237808842,-3.1572411947738024,-3.4009749941149736,-3.5935251592376494,-2.845197374265674,-3.3120161765750744,-4.43910678810233
[4.0-4.5),,,,,,,-3.6780660170787725,-4.028635323898927,-3.5904968267131983,-3.3794191468686288,-3.52898969403407,-3.2703576170859514,-3.469862736088064,-3.418962737972534,-3.4722200167533606,-3.1897900772453784,-3.4143842861440383,-3.046638882379783,-3.067312021007656,-3.218342002261879,-2.9489048457672875,-2.8988544442799413
[3.5-4.0),,,,,,-3.992800930920918,-3.533839997370327,-3.065155255055943,-3.244437739260628,-3.271884036440494,-2.8918855836960713,-2.848068661394612,-2.6124459365643125,-2.772205976380623,-2.7611621102038413,-3.035655415773346,-2.7323310290581357,-2.695201479875331,-2.877549087262999,-2.3363640388884557,-3.18601565044933,-2.292034881821099
[3.0-3.5),,,,,,-3.0818516735612143,-2.9765009288186204,-2.6255244019467776,-2.8163105406606452,-2.4190729346178625,-2.3316158789614816,-2.5566669353314087,-2.3767021703823388,-2.5094610708920366,-2.4508131297861095,-2.3996814115326712,-2.6145011853459166,-2.2669670297647744,-2.0809588761626974,-2.333485466516978,-2.5185454648003978,-2.452129412829835
[2.5-3.0),,,,,,-2.639666260277923,-2.5833451694976,-2.8025368632790397,-2.589754709304962,-2.6042990479766446,-2.0374924688599356,-2.3731044838114186,-2.291623031995002,-2.319701767186645,-2.05698880254958,-2.177795762283886,-1.931827798965415,-2.1331974186082547,-2.2310358702178235,-2.424760978528952,-1.9890006388642003,-2.230384682183342
[2.0-2.5),,,,,-1.9801336115152852,-2.1257437784764868,-2.382254530706898,-1.8544834752040438,-2.6504162843023376,-2.06635987823621,-2.3910635383580368,-1.8486772221901693,-1.6070685459083989,-1.782491427807031,-1.7727471149628917,-1.7040490662798036,-1.7372484080107808,-1.6920749750579553,-2.294769005705863,-1.8266982267749163,-1.4711861402139517,-1.5174437648989594
[1.5-2.0),,,,-1.743183880788344,-1.668678964147263,-1.5987063302482056,-1.4465583901778718,-1.6148630366220782,-1.8771817312767325,-1.6785646063401007,-1.6461775941652015,-1.344660575843031,-1.4921847019439256,-1.5486454540352181,-1.6918388268062288,-1.4140308572449898,-1.1723660253666721,-1.5197240144128263,-1.2806460118740541,-1.299488755997251,-1.1908778841063314,-1.3372721569796708
[1.0-1.5),,,-1.132557178227235,-1.0403781722593513,-1.190498203878209,-1.421128246703733,-1.27571605245147,-1.2081134727870524,-1.1771023607733837,-1.0907845935316853,-1.1269916612334416,-1.0340111765389295,-1.4513546851638375,-0.9899474382443166,-1.0166050371084017,-0.8945499807312792,-0.8815395719051168,-1.0093351786465738,-0.8467415278529036,-0.9301570804565913,-0.9195820903653081,-0.8730281900325484
[0.5-1.0),,-0.483043887389126,-0.67473365398477,-0.8636676733542029,-0.8055656158366022,-0.7925536047613027,-0.7227377549882302,-0.7002925172595854,-0.7061163457185783,-0.6364902138049019,-0.6316187613027088,-0.8293200156810557,-0.5822404644949856,-0.7551888377061348,-0.6338709455758672,-0.552977750086617,-0.6494362647020244,-0.6112126326183792,-0.5647310188740823,-0.5771015093888447,-0.5109325089092327,-0.513512278824999
[0.0-0.5),-0.07271521799132001,-0.18331800342293342,-0.23146567211925226,-0.2449763697710385,-0.27187045628613815,-0.26945025818485846,-0.24308638226485899,-0.2166717049520866,-0.2356341643223243,-0.23673004774946013,-0.2080765647902299,-0.20292438094714835,-0.22285140855881047,-0.18647264805792077,-0.25171288105981837,-0.179049013120766,-0.2147383747996578,-0.21474610711951173,-0.18178376197060359,-0.18337427531544398,-0.19926269452036013,-0.19802277045521172
