"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.031250484021718504,0.02621130824055262,0.02095792426592019,0.020408405035530566,0.018358394402758844,0.016779627225542826,0.013003237678271265,0.012853615333096893,0.011922968556815286
[8.0-8.5),,,,,,,,,,0.0407997640991157,0.032895440990964905,0.027781905022933113,0.02251264247683657,0.021007260101105592,0.017773449983519995,0.0156045359317913,0.013914884619002475,0.013370455319932192,0.01119643629124962
[7.5-8.0),,,,,,,,,,0.03730426665683164,0.03197320933624804,0.027403607480183306,0.024060139080093218,0.019301255128948806,0.01722774159491658,0.015603729228326358,0.014404621082466994,0.013237553050518458,0.010647865820715176
[7.0-7.5),,,,,,,,,,0.03813095139150702,0.031028787840429953,0.026160421373089698,0.023307692425103426,0.019165539168773168,0.017370137392520385,0.015611059966652331,0.013994204455509026,0.012951261676687859,0.01052699671723555
[6.5-7.0),,,,,,,,,,0.03774381149662081,0.032175647927082385,0.02691787305289839,0.023911997932378252,0.01981673475270221,0.01867775528360142,0.016346703199599882,0.015143272861928566,0.012600924743467209,0.010790971125713531
[6.0-6.5),,,,,,,,,0.04842158086414803,0.038689734546396695,0.03295623714665141,0.027443389548556713,0.02403645808389999,0.022578219334606478,0.01814812150665849,0.016354884144343017,0.013955591641857239,0.01252015128963976,0.01195010428135006
[5.5-6.0),,,,,,,,,0.04969743991386976,0.04245650262592152,0.03340858296143705,0.027065359539801347,0.02361275162141831,0.02050575908062307,0.017942435620024098,0.015844930608936988,0.01376181754774153,0.012833828550193112,0.011742221880404802
[5.0-5.5),,,,,,,,0.06033946782118683,0.04852270868650725,0.039825514186681496,0.03353291864713507,0.027262690719371777,0.023463587120006547,0.019629696292795894,0.018141018517756655,0.01482780258461886,0.013159341980883832,0.013215973103845712,0.011492821250513131
[4.5-5.0),,,,,,,,0.06180706487061353,0.0490752457322305,0.03873023483172813,0.03258629592111673,0.028817736920567816,0.023767475777651086,0.021284952004871082,0.018575214767663807,0.015134130337480664,0.014197008431240181,0.01236432068436462,0.011550598201512283
[4.0-4.5),,,,,,,0.07457200749619104,0.06040070447454796,0.05148556107816358,0.041707085181530656,0.03333511538557226,0.028742317996476058,0.024913495703510823,0.02121044446827734,0.01861212725987663,0.016084384701659443,0.014681895916541007,0.01276084362373322,0.012300634308869378
[3.5-4.0),,,,,,0.097035484199244,0.07787683077234912,0.06006672856860307,0.048939264231238434,0.04292703183521208,0.034543022843225274,0.028536127997870406,0.02417421817168555,0.022230640209926843,0.017590298047056207,0.017202359148331233,0.01478591728339936,0.012465007447843325,0.0124921174316093
[3.0-3.5),,,,,,0.09643420952052349,0.07886369380023882,0.06180552311490055,0.048714803143788205,0.04029605033475326,0.033647688668971706,0.028518968731948497,0.025214182527557274,0.0213357270546673,0.01855727245643012,0.016612678848988743,0.015270850943066249,0.012574293457634752,0.010578228791057126
[2.5-3.0),,,,,,0.09669720643234087,0.0792992031627059,0.06368624490570012,0.053628008414621176,0.04138657464307622,0.035399326084454376,0.02873479515792592,0.025843756533316886,0.02141998874895307,0.01847087832160586,0.01586556108247091,0.0150588061736798,0.012198840774665633,0.012062346599656888
[2.0-2.5),,,,,0.1260086756669493,0.09875706701755901,0.08042760996536137,0.06285021739073189,0.05124970695759303,0.04495513241664439,0.03622755323363437,0.030813123742605295,0.025298260471198052,0.020729290959003714,0.01896522627971254,0.01648899462892834,0.014189424429230447,0.01247637696834465,0.012224701939015977
[1.5-2.0),,,,0.16145483860432852,0.12844228883305056,0.1008881672573584,0.07936967406426196,0.06506910365376382,0.05414932275919835,0.04314615185422581,0.035780539324828865,0.028306582519382176,0.026436214733902223,0.022116366372114452,0.019793952867837125,0.016915983519768564,0.015504618921458036,0.013420135739692111,0.011681168631340505
[1.0-1.5),,,0.19665276944671214,0.16572009408513874,0.13132201548598843,0.10251234359790697,0.08064802935368305,0.06706418773389304,0.052062149379854615,0.042493598410049946,0.03580122754287968,0.030884330231907408,0.02806792841612355,0.022669979020456737,0.019618056922984514,0.018265982511617262,0.015599250413193289,0.013915824853771422,0.011911459275282529
[0.5-1.0),,0.19680917226691588,0.2053407007206269,0.17282695546206311,0.13583447710703714,0.10618795376562801,0.08324836846186026,0.06557602191302055,0.05436631423698091,0.043728794657938545,0.036015245361090284,0.032055998014762214,0.027382827211230726,0.023054903312322673,0.019233328402497453,0.018819119432323415,0.016349784889559155,0.013653327046518428,0.012446997557574405
[0.0-0.5),0.07862638344797948,0.20940062219146904,0.21622945802182364,0.18299720988710386,0.14196746287277553,0.10980244636636373,0.08591422735534247,0.06901391142088595,0.059258457376136844,0.04561743518207962,0.036670554207172475,0.029476286671312732,0.02685201873285886,0.022036443988431565,0.0210086159251982,0.0171873271002772,0.016355421215271847,0.013916783949118076,0.012878199161675548
