"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,48165.1380934223,43911.3644273297,37919.2951746669,39660.23546397139,38136.83212631452,37106.028492259116,30497.747936109965,31869.499883111424,31159.984369207465
[8.0-8.5),,,,,,,,,,51040.74012413363,45071.6612322335,41375.38495682794,36210.14426311306,36291.70960416888,32822.635263683966,30676.4298037582,29012.668143964544,29470.529413707864,26012.640373211634
[7.5-8.0),,,,,,,,,,41182.55869235499,38658.90882348087,36014.98774468164,34150.5279518412,29425.17630999295,28075.375095928335,27069.35263480807,26503.63288766921,25748.08665678616,21830.45065928342
[7.0-7.5),,,,,,,,,,36838.76554017883,32832.26001615978,30087.969228931364,28951.507022043417,25569.79062640653,24772.6849798962,23700.33389278144,22533.278873841038,22045.60059354422,18887.619587741556
[6.5-7.0),,,,,,,,,,31608.560245568595,29511.73906040093,26836.16258747102,25746.564897121985,22917.63294552309,23090.112021578654,21512.148260837235,21136.226646241368,18592.757587695298,16782.814818174065
[6.0-6.5),,,,,,,,,31454.640014670542,27778.39817954718,25915.381677341913,23456.862014037368,22188.420637664203,22386.172176008415,19234.70483631985,18452.429978988104,16699.691619482193,15838.113648496736,15934.133676477106
[5.5-6.0),,,,,,,,,27324.70154654128,25800.689939647487,22235.848177346998,19580.402641851077,18449.22688846751,17208.44615696079,16095.738188538213,15131.15535459978,13938.35908889714,13741.234972991675,13252.038787981635
[5.0-5.5),,,,,,,,24745.77860756699,22240.74668860843,20175.83012776381,18605.867231663386,16442.18202029593,15283.010036946107,13732.9014811855,13566.695787672432,11804.333243122937,11110.994790715184,11796.457203237691,10812.894991237521
[4.5-5.0),,,,,,,,20749.439997585225,18413.460840332325,16061.598434654965,14800.69713485384,14227.192891471,12672.61271879817,12189.615641390983,11371.424607120387,9862.584755955242,9812.602883625745,9034.233751016953,8895.869892951549
[4.0-4.5),,,,,,,17683.8602091946,16233.07910083083,15464.96816869636,13846.471409116408,12121.037037493967,11359.828587240827,10634.287881526669,9724.286524145344,9121.529913631919,8391.283061342829,8123.817618164669,7464.334449076503,7584.065827855139
[3.5-4.0),,,,,,15526.321848141302,14377.857778159854,12568.32943670232,11444.733693976463,11095.447175003768,9778.73845923643,8780.711494969713,8033.61206641964,7934.957823774595,6711.653803166217,6987.094310686473,6369.582565973463,5676.608214039658,5996.465233574421
[3.0-3.5),,,,,,11589.73000103722,10936.219417287539,9713.484452340494,8556.839661943099,7823.131248683994,7154.5432666075285,6591.324105727826,6293.721162050417,5720.108756727039,5318.322624183282,5068.184901605885,4941.173730189957,4301.1457269383745,3813.962374569737
[2.5-3.0),,,,,,8320.602729983917,7873.314314762962,7166.2519188181095,6744.391570306164,5752.760388661975,5389.150813283139,4754.946351404585,4618.669775512598,4111.6367900123005,3790.06578609042,3465.507813960539,3488.6395086486623,2987.567964512052,3113.822966044324
[2.0-2.5),,,,,6141.723887459385,5688.643151324738,5345.564545684487,4734.268241624679,4314.615934782541,4183.075773792704,3692.0195748685496,3413.2876734577158,3026.5759698818124,2663.6649800611212,2605.054888163156,2411.044755212222,2200.5436080827494,2045.4429361128962,2112.5161690961795
[1.5-2.0),,,,3894.9491401500877,3787.1188793317333,3515.5380416066173,3191.2003631367365,2965.049597904563,2757.7497067240106,2428.6759889570667,2205.8853442907275,1896.8616893037083,1913.2479287098001,1719.1746173175939,1644.7596474415989,1496.302529304401,1454.5791483984713,1330.9656569111305,1221.1221734996163
[1.0-1.5),,,1882.5661800119433,2039.7165798939984,1975.5242728050393,1822.5173024107578,1654.3872115268225,1559.163773968013,1352.7820760150585,1220.379628400501,1126.102439623164,1055.9183607608186,1036.3972927308248,899.0860546749814,831.7059905892312,824.3452177791709,746.6617771018124,704.1461734699175,635.3041945264849
[0.5-1.0),,484.4734538248635,707.6650152038068,765.7881383888644,735.6264676690931,679.6311102752384,614.7826973120519,548.8436385277374,508.55524547761877,452.107225131511,407.8203190609322,394.55173494029,363.99607140881346,329.16674227455127,293.5423638072353,305.7509988808061,281.7310628590497,248.7109254784956,238.99227180660722
[0.0-0.5),12.903326646158257,57.27434205408852,82.79898949595051,90.0946732239493,85.42670254208528,78.08498033550488,70.49665077446578,64.17970259432609,61.590833221925735,52.40374143783868,46.13785994412733,40.31112485791636,39.66001210563983,34.95840815158545,35.626345234026346,31.026616591817593,31.314242790833372,28.167788162764193,27.474631802125273
