"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Maximum [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,476290.5516768223,610466.744522263,503074.2190292029,497295.32320699026,465679.9562909463,602786.431497221,461771.2496295885,563558.0709011479,481475.7152308566
[8.0-8.5),,,,,,,,,,583846.2675921848,484243.3775032304,565240.4293062751,418188.69736698107,429536.78971233574,458698.0410494842,438027.9685608829,421144.3122812132,530653.9174574444,448878.5990277091
[7.5-8.0),,,,,,,,,,479175.19352546986,446848.82374409057,413548.14032145176,509501.6361696908,441746.34494254383,484462.4049933662,491158.7854826005,444342.390753812,576516.2119756063,363749.03503627825
[7.0-7.5),,,,,,,,,,399750.12145976274,426788.475275175,476737.43616492493,409419.69320607313,397644.8581384956,402882.78117390524,398916.7786986015,463213.87528600165,473151.35437317414,388782.499636361
[6.5-7.0),,,,,,,,,,534203.1419727659,483633.07952801476,403278.97946265934,395785.4928004807,362493.73213345936,352194.64527388307,367495.01365721616,378156.1232597049,407042.34001172375,364181.8778525537
[6.0-6.5),,,,,,,,,401846.81481368066,358211.16094060254,401177.63086128724,372124.6525233304,357490.3558470354,412645.927868758,432544.06501782994,384107.97895980236,320390.81165230967,361098.3670949131,435897.20911042235
[5.5-6.0),,,,,,,,,441065.79022091976,383496.0960325358,456223.8101938808,339937.7165178649,340402.131007507,341414.2664762396,337843.0588563933,343519.51284451125,329740.09272719244,329746.6188479385,363238.8956301098
[5.0-5.5),,,,,,,,311650.41694454965,381258.7104644884,341619.09020371904,369215.47583685484,288804.7168617628,324666.47813376266,301177.9029145241,279189.21010639647,299295.7877967583,251249.0250141844,299352.9447422877,289200.09356734034
[4.5-5.0),,,,,,,,297280.52415720513,303657.87768815865,311157.82437404635,293426.4315500012,296975.6838466879,287821.2053469268,246188.26614309874,271918.41568827216,249335.6908851704,280472.21673434356,276389.57538948924,301339.62783198286
[4.0-4.5),,,,,,,253873.15621164156,264609.58315473003,269872.70212196634,283156.75974667014,284952.45413016016,264015.3351491573,244098.57258987182,238974.38702615176,245107.11927613363,239022.05034480523,259544.13068318676,265558.9444247658,259718.12787246003
[3.5-4.0),,,,,,288701.9644056607,278987.58457137237,232942.8468047683,223471.39768966535,223775.88904229712,216261.6333944691,220808.43559750082,260245.32611278148,219969.8864337806,232657.80059673733,231265.29890478245,205964.0617817351,242921.80696513754,206609.77105219025
[3.0-3.5),,,,,,203739.39806068217,203549.26018238312,187219.0372225119,203362.49141575515,205839.26892140583,185895.60646858893,234477.28543416236,194839.33595563355,189347.5893621988,185628.51159092633,169249.5539054249,208362.4572406681,172318.83364928295,169403.78409196946
[2.5-3.0),,,,,,185462.2701662727,181979.55018239262,177176.08136136067,205487.23099293152,175478.04845769427,156697.89643869983,163375.32995382065,183986.38812616415,170655.7779717866,139222.06267882683,146914.0297572633,182322.36780816884,175624.1304531836,188978.03476171172
[2.0-2.5),,,,,130508.33394583217,144206.26712568486,147487.188200207,140602.958380726,169117.9653471593,166177.78425616477,178766.15593421838,143368.36727563594,127915.15965481718,158016.7657069701,128761.18230829087,147152.43159650217,161401.85073020984,131834.32786944704,162481.11387061136
[1.5-2.0),,,,94480.12758944387,104648.88752771099,112234.73002998959,106479.50576340854,127796.61497069652,109762.84273575661,111198.27962906739,112755.55576813796,106931.5766091797,110531.55770233029,107330.19577943825,109967.20005211998,112670.55264785612,92036.82909825374,103731.27175150678,112353.44058404521
[1.0-1.5),,,55796.084229085674,68434.6538175909,82815.3043053481,93097.90641517431,81835.42050469338,85468.84086745027,85230.14853871618,86003.11671521547,82116.73346263371,77703.21665338018,90549.50271028678,75296.95658812186,74683.05055634421,77055.96396200417,81562.80011831968,71810.403217292,58873.61038590814
[0.5-1.0),,22233.268308225233,31916.246582960845,49748.73502644077,48323.039004730854,49839.03572665046,51221.06892737389,48718.23020706286,54702.38657599573,42016.55033742995,47369.150430192756,55247.60521996067,47039.301209724195,48201.290896294435,43565.25561932742,43630.790330672135,42869.03642246857,39554.87602384537,42644.427647293465
[0.0-0.5),2222.005599707841,7930.824324840764,11528.8411565501,13080.635185450808,17147.61501892345,17140.405621287387,16844.587096045747,17217.251410707242,17417.21761111587,14586.439000645256,14456.070708907653,16599.829352291374,16255.947547484107,17115.067766680415,14961.993469609639,12831.994363419588,14809.377044924977,17549.75792481522,13749.134610231331
