"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Break Calculation [binary]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665,2.9166666666666665
[8.0-8.5),,,,,,,,,,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
[7.5-8.0),,,,,,,,,,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335
[7.0-7.5),,,,,,,,,,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665,2.4166666666666665
[6.5-7.0),,,,,,,,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
[6.0-6.5),,,,,,,,,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335
[5.5-6.0),,,,,,,,,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667,1.9166666666666667
[5.0-5.5),,,,,,,,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
[4.5-5.0),,,,,,,,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333
[4.0-4.5),,,,,,,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667
[3.5-4.0),,,,,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
[3.0-3.5),,,,,,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333
[2.5-3.0),,,,,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
[2.0-2.5),,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
[1.5-2.0),,,,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
[1.0-1.5),,,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
[0.5-1.0),,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
[0.0-0.5),0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
