"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Average [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,20204.961205010786,17958.372856089576,15492.989476952001,14565.987580107008,13090.478681680781,12012.551092165151,10266.785221504953,9132.529674189294,8135.775568811134,6865.7938394090215,5793.626737753737,4704.17554896094
[8.0-8.5),,,,,,,,,,21555.193319560774,19252.59723929451,17307.56663219989,15118.049083282467,13810.519925229062,11781.117619480914,10887.333949305206,9768.516675108209,8897.402819306875,7421.851071232843,5864.842297414564,5201.213574196032,4356.129576135506
[7.5-8.0),,,,,,,,,,19974.600094187288,17973.232818024408,15937.108149031365,14224.560838847521,12228.655908936336,10881.088927003935,9969.89549901474,9018.767576743396,7897.370724628782,6524.15906561008,5326.623117285406,4670.961183414874,4086.4282403057323
[7.0-7.5),,,,,,,,,,18925.430609810974,16438.966527375025,14444.007745702882,12953.982292221544,11254.979829842763,9881.060054432768,9221.298025812024,8208.59504634752,7335.430857233088,5915.378816768547,4676.498746722454,4374.012521261022,3557.377327967444
[6.5-7.0),,,,,,,,,,17192.04682274688,15395.898513377799,13400.877739988355,11932.751807576307,10183.46687277092,9369.490500221453,8308.98359952814,7761.198964818926,6459.749722544062,5484.819168244027,4586.573597270639,4135.594392096705,3583.161171646799
[6.0-6.5),,,,,,,,,18143.012721243074,15564.442318715186,14257.112520864142,12239.12327618678,10667.312630313483,9761.264217692416,8409.319714240553,7635.905261536644,6636.60704459591,5801.550298261338,4953.621679767758,3954.925402304064,3654.8159710035648,2984.0171538478658
[5.5-6.0),,,,,,,,,16590.801238775366,14931.942392537792,12679.896073875938,10875.226037766073,9581.715004169017,8516.693189850295,7311.449312029877,6729.558017098147,5833.19462334859,5194.284919325555,4429.897423147396,3745.3943997411816,3076.243641885073,2704.4496357693747
[5.0-5.5),,,,,,,,17277.58159366567,15046.168841004614,13187.720244507771,11530.382590271034,9778.327563975972,8616.195847530285,7509.394270808481,6481.674836131046,5740.3254253534415,5142.3408223940505,4607.669607804916,3857.1566021195695,3169.6557681741356,2791.0036369687837,2121.4459684220606
[4.5-5.0),,,,,,,,15611.167474469707,13268.245390745675,11406.75023439755,10069.179310359206,8776.930293356694,7488.782294581208,6662.388542586748,5775.400982713554,5119.797241123829,4713.854889732429,3891.727442422275,3344.3368207095496,2672.273604185192,2246.601565072825,2083.7935599002158
[4.0-4.5),,,,,,,15981.465497416137,13559.738760792698,12035.870314689777,10203.147223978658,8912.332190142648,7620.224235675074,6551.137869922333,5763.774842229595,5023.317715507727,4450.814989281676,3934.7007247132847,3317.3939868722955,3058.6334528007546,2398.2181552856036,1980.2613858102975,1770.473129406812
[3.5-4.0),,,,,,15999.733874066294,13849.121354910167,11924.553956944621,9943.99630969353,8905.917367302558,7809.731200393059,6529.336492491695,5621.825653312005,5023.051068062725,4110.040621636341,3847.4838451787073,3371.149080047501,2790.483186552023,2507.392725372538,1944.5827923281042,1782.6436155387994,1398.8860116523267
[3.0-3.5),,,,,,13813.326833272975,11959.932459536847,10242.239768203466,8621.528205522089,7434.53510822361,6366.285891087687,5296.803572514507,4753.719583524562,4064.025288562729,3466.045066280459,3179.175335422083,2857.5524015181845,2362.986913703415,1954.6762675997347,1591.8729948432592,1338.1768221230939,1210.5362093888498
