"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-8.061041090318747,-7.708705562381333,-7.282299035785678,-8.636329895313706,-7.53536392278938,-9.17714222466165,-6.325852381213283,-7.982298490088691,-8.800346272366932,-8.435505653047711,-7.0049012799102535,-8.589285222573679
[8.0-8.5),,,,,,,,,,-7.457316420718234,-6.961926303211411,-6.975597022392718,-6.721534059142971,-7.667807487324516,-6.6727162582335575,-6.9131672125402455,-6.982581709902723,-7.466224941567471,-7.774930126236708,-7.218116804783228,-6.0602473201169165,-7.717568516793431
[7.5-8.0),,,,,,,,,,-8.40967680170602,-7.001817622146879,-8.043129654433967,-7.299426294553007,-5.892208173133912,-5.939451765790778,-7.31113958490944,-7.64479614195665,-7.9650555874101405,-7.015485798406843,-6.896515562598685,-6.821070917083337,-6.7338783120715675
[7.0-7.5),,,,,,,,,,-7.256611278663153,-6.898691982953758,-6.151835509427939,-6.6257650784966735,-6.065973426534664,-6.45417624298072,-6.857050850936397,-6.957400406494925,-7.950237323375722,-6.318656987455044,-5.59102909813421,-6.728377128007041,-6.229452046159551
[6.5-7.0),,,,,,,,,,-6.627611850921827,-5.770796103644154,-5.823077590678595,-5.3077915057966765,-5.959227369000033,-5.203594114060834,-5.923550319433448,-5.88264603934272,-5.44892031274119,-5.855010991090933,-5.240355613425179,-5.678495161576348,-6.7257329167743025
[6.0-6.5),,,,,,,,,-5.1551718413127,-5.23528864993426,-5.979940578766401,-6.161162058771485,-5.691668208611632,-5.151015222278456,-7.064875362051288,-5.476203659800285,-4.535881126095191,-4.971654348969416,-6.377504832165576,-5.104216653086651,-5.849304789857138,-4.527174025082417
[5.5-6.0),,,,,,,,,-4.889469458468652,-4.841436674335438,-5.845053358442589,-5.3478440316113005,-5.1201938263296505,-5.300640659820555,-5.050066667934491,-5.039583905359773,-4.815612445033075,-5.275480193044387,-5.447247743913464,-6.136798902575102,-5.018537257416676,-4.757236851653311
[5.0-5.5),,,,,,,,-4.6958996557046895,-4.613995009076098,-4.673059741176959,-5.951916477346943,-4.804285171936269,-4.675846026994043,-4.546288927072449,-4.385678710333699,-4.4290379284774755,-4.142072711963098,-4.274844446025985,-3.976415988061201,-3.937506681275381,-4.695014706517933,-4.406889300059672
[4.5-5.0),,,,,,,,-4.28801769483799,-5.653811147841468,-4.136702650046884,-4.286689339129525,-4.638082236205773,-4.007740930045663,-3.635478419052831,-4.381134261807947,-3.993803698883416,-3.736138672128283,-4.008809877326422,-3.875153146643106,-3.441145083359825,-3.726709578936202,-5.068617080335812
[4.0-4.5),,,,,,,-3.7320053926121606,-4.112938596753843,-3.87337448108847,-3.370212760555458,-4.075223029099263,-3.871716040301194,-3.778517822058312,-3.4829325787012637,-4.260944768710732,-3.955611741329807,-3.5751362972009493,-3.823092203749188,-3.839636655543903,-3.755366657130995,-3.7514443591904,-3.2700579418134526
[3.5-4.0),,,,,,-4.100926053564018,-3.4586549995715328,-3.17125167376591,-3.243225656337424,-3.0884864226251914,-3.0121632203216975,-3.2053820696734405,-3.165481611207716,-3.440547088330683,-4.132382861768888,-3.76314195933864,-3.0867261897808382,-2.8507090277963854,-3.307840844592461,-2.68879471806685,-3.6383602800763755,-2.871244567669222
