"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.22407557226774,9.037857548892067,8.454140445529301,8.176358251637675,8.188918837105943,10.459583828259076,6.782751687729623,9.151469158362694,9.150764856719947
[8.0-8.5),,,,,,,,,,7.680275631045484,6.677262908703392,7.502055868792093,6.92115043490501,6.881200812174525,6.861109668262314,6.504494585932405,6.916563667213756,7.77112739751492,8.076136824302132
[7.5-8.0),,,,,,,,,,6.818214702372103,6.581606866648942,6.671404297759059,6.829542975250732,7.059585446755384,6.967622558198546,7.530680389662199,6.8231820950568105,8.841746259329302,6.9773811573846185
[7.0-7.5),,,,,,,,,,6.562344014168733,5.670052801415183,6.094416114524132,6.180760179572797,6.770502143500182,6.600964078038496,7.827289190775909,7.7163833039841965,7.257543146765402,5.641905822359282
[6.5-7.0),,,,,,,,,,6.578011483416435,5.768523208871157,5.626896138520864,5.516620410726707,5.298113500246627,5.394867226665602,5.323018698191742,5.375110031366637,6.066589137562023,5.243377815961031
[6.0-6.5),,,,,,,,,5.053298863309182,5.314584411536717,5.215081886076613,5.394281676211934,4.801776280049505,5.43537900492397,6.92507832831107,5.415903495662023,4.5865634098872565,4.775824796161204,7.185574720274148
[5.5-6.0),,,,,,,,,4.097788317839633,4.367862621494531,5.251289574487108,4.425769805412351,4.503541387959235,4.688126592031866,5.067309628706328,4.55830980849553,4.550626765357493,4.456705055012874,4.917237755690261
[5.0-5.5),,,,,,,,3.64799578007936,4.196066041938926,3.8193332703610863,4.762232197909432,3.8974561099137155,4.134033913998901,3.9355889192537745,4.20576390611944,3.910797526333692,3.033284661762837,4.271970131114662,3.686809533141703
[4.5-5.0),,,,,,,,3.6932800826840277,4.0628243286102705,3.40693568105828,3.4138688878550703,3.7157423303813384,3.302856048992824,2.9420087297303796,3.6246177446482513,3.327407211896287,3.692701535298308,3.4041341051172256,3.140143550970767
[4.0-4.5),,,,,,,3.2203525038348273,3.3987047668088075,3.036818303449486,2.84265500919432,3.022488489771143,3.1104064281884085,3.091443868882387,2.666084543868824,3.3107420383358113,2.9360600399227623,2.767476083652512,3.4347694992937696,3.1729470750888695
[3.5-4.0),,,,,,2.763854370442923,3.1708899485736937,2.462505860635045,2.36121603940253,2.633940924428261,2.2766150489036816,2.5835269717317217,2.8325089885350936,2.6175773221201695,3.240028585711404,2.8420355639631714,2.5615146997250013,2.749853139573829,2.4710808341125885
[3.0-3.5),,,,,,2.2060194235212,2.182926911944456,2.1625211577025407,2.3045772159339064,2.29019572615432,1.9236549830760916,2.127349535863086,2.1758286290199065,2.2487734762383016,1.9235510708091834,1.9783058425206406,2.2716364206172797,1.667839863779058,1.9435081625781851
[2.5-3.0),,,,,,1.939711493045702,1.6994311890931062,1.9759780673348608,1.9475601623742458,1.8758292312921796,1.7181432913799397,1.6258783070282663,1.661245946486646,1.7745277275377902,1.495327333533755,1.5152333575067891,1.78926578588987,1.6166932351407985,1.7645024856398435
[2.0-2.5),,,,,1.5619557668391866,1.4452633648292275,1.5012984834596796,1.3855181636768785,1.6641901176633047,1.4173915962056627,1.6205892817416494,1.2601767354022506,1.14258871972991,1.4731311638173543,1.105507651941858,1.1570214896982547,1.4767521861484514,1.1685187169662665,1.4278523014087074
[1.5-2.0),,,,1.264935520588445,1.1969384250158384,1.232781982658087,1.0674145005429732,1.0715334968869046,1.331390079524292,0.90562191967518,0.9127430167751931,0.7963119219637043,1.0376407764255045,0.9113204230956031,0.9752479123382272,0.769195222844469,0.7008273380047501,0.8049410933810005,0.900613370499958
[1.0-1.5),,,1.0227829281309229,0.9270871773568552,0.8558169317088917,0.7553667025028621,0.7774691980236317,0.5801084190254322,0.6475244509004215,0.6668782081250932,0.5584865825952466,0.5093877368850118,0.6479337542987663,0.4954964037143898,0.483044689481572,0.5685364163676296,0.5063124561060787,0.41696570634065655,0.4388576670966912
[0.5-1.0),,0.5694270058589055,0.6169966666555039,0.510995279471117,0.4936644128694432,0.41878716450238884,0.3894346452184938,0.3415131085200428,0.34878934873199663,0.26244413697939944,0.24907561617678478,0.33437549545560835,0.25221887596657305,0.24415399035869878,0.21305864957322634,0.21959381662800082,0.17849692365856695,0.18415479000835955,0.21154495151847535
[0.0-0.5),0.12303555066737681,0.20950107728500272,0.1975127112801099,0.2223845520066568,0.16410487683982417,0.168077470670409,0.13578640246305207,0.10956117005690152,0.1001712164622639,0.07495277724186672,0.07425444719633251,0.06336751770935613,0.05459941390926311,0.050739009662228406,0.05372719196268279,0.04451358592416768,0.04442407015928834,0.039283047276089875,0.03763470284060824
