"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-3.3406336489595563,-3.821952810858537,-4.586883294367875,-3.992065963339712,-4.117181080397016,-3.6241613534342303,-3.1949339615708245,-4.081268055388977,-5.1980684387666445
[8.0-8.5),,,,,,,,,,-2.711355523365859,-2.560350761565396,-2.9489211097505925,-3.5784226828061416,-3.282886266228892,-2.7959180345460624,-3.78146160426371,-3.78700690733702,-3.5143730033041156,-4.549944031158857
[7.5-8.0),,,,,,,,,,-3.555411252991813,-2.6529005301561126,-3.2791180166982348,-3.0943134603921343,-3.423462296743371,-2.8356771847324875,-3.7778195543535475,-3.4331923199344767,-4.036377599425703,-4.028495502786186
[7.0-7.5),,,,,,,,,,-3.7041007849302456,-2.7727070880596654,-2.666824564211008,-2.788789223967837,-3.4893573063047936,-3.0816459884473293,-3.081964092874722,-3.557410920524004,-3.716886766641375,-2.835173291486816
[6.5-7.0),,,,,,,,,,-2.488076669216711,-2.7455205217748064,-2.676634647275363,-2.497302022543125,-2.6084754610346153,-2.5927330444987104,-2.4262034797597685,-2.612731472650649,-3.009172364721232,-2.4421104076427147
[6.0-6.5),,,,,,,,,-2.3045684177711747,-2.0966765032866634,-2.75059419935712,-2.742171687988506,-2.538440676710928,-1.957892603161767,-3.5938298965541096,-2.4571658582970293,-1.763222176229477,-2.1734281809346836,-3.779391148822621
[5.5-6.0),,,,,,,,,-1.8722019828765641,-1.780802689938365,-2.2109406343110383,-2.491376439310086,-2.296243371694135,-2.5284553954250626,-2.5173020061014544,-2.381385185640122,-1.9616540974962973,-2.262122484906883,-2.3492277429007817
[5.0-5.5),,,,,,,,-1.613965450984609,-1.7036056551516408,-1.8669605121231487,-2.3142077175093307,-1.8346738872393384,-1.961261974933008,-1.9243213426644852,-1.9957163479097306,-1.8716224748106065,-1.5722973108335987,-1.9255932995017813,-1.7411855316485645
[4.5-5.0),,,,,,,,-1.6820131740371016,-2.3653602335418804,-1.5210897958516525,-1.5857579357462133,-1.92600637986576,-1.6460266090609343,-1.3270864203673836,-1.7490105783127006,-1.7615226765017515,-1.5693509003369632,-1.5860193199151622,-1.6286308384914479
[4.0-4.5),,,,,,,-1.3438577798171298,-1.6473270393109307,-1.4557355023497434,-1.2149872810777818,-1.6151883487303467,-1.61335156373622,-1.7847883035977818,-1.2772994250516172,-1.7865531819174547,-1.4772040777261508,-1.2713432647283576,-1.6367829978474762,-1.6521553534605928
[3.5-4.0),,,,,,-1.16478603619093,-1.245032660638179,-1.1953969062938934,-1.1023310896131033,-1.245393193799683,-1.1309892376878041,-1.1610069833128844,-1.2064361142240052,-1.3235024919533955,-1.8510959255062165,-1.502123171702783,-1.2248606262083428,-1.085208403162772,-1.262148442305061
[3.0-3.5),,,,,,-1.0596002197376828,-0.9976885007999865,-1.0941538128448105,-1.2090312242602963,-1.1298794770198475,-0.8449439360903982,-1.0421672356867844,-1.0958770956461847,-1.069845342572371,-0.9237127323367796,-0.9638365794158194,-1.050421437934536,-0.8031655607343166,-1.0511761736938208
[2.5-3.0),,,,,,-0.897254112905262,-0.7453924844603337,-0.9774995205703044,-0.9849511852776736,-0.7088894797122709,-0.8314682735358243,-0.8741652646065635,-0.8442196062566086,-0.8501234790826221,-0.7547712372664636,-0.7837710602031097,-0.7874576810772064,-0.7456812884933197,-0.8504079282115692
[2.0-2.5),,,,,-0.8004212987644584,-0.6453998767456915,-0.7200237216442972,-0.6911565322014895,-0.7696467957688673,-0.6296258784593366,-0.9539499841511607,-0.6731527603330605,-0.4725185328593742,-0.7430633686423025,-0.5953959280997362,-0.522809900591026,-0.6293018000894331,-0.613375427858832,-0.7405728850886262
[1.5-2.0),,,,-0.5995534466917238,-0.589126069635806,-0.6184750940982403,-0.467802293202612,-0.49016652889695944,-0.7560160452832114,-0.4204148631967889,-0.42348250184764574,-0.42517615179775586,-0.5304601511920028,-0.4929804827471774,-0.60040405893839,-0.31780846116497763,-0.33478669015312956,-0.46521480362215883,-0.4198579411782441
[1.0-1.5),,,-0.49906930720936116,-0.4360493755922397,-0.40408842246819543,-0.365748198968031,-0.4556066657633096,-0.2725309363617965,-0.30428549548219674,-0.28539733286058455,-0.2839450415126734,-0.22924974928604505,-0.39499056953880907,-0.20798183498405393,-0.21705614141687596,-0.27082100787271973,-0.2700639254359215,-0.21247726308263878,-0.21571089570476654
[0.5-1.0),,-0.29100239629461255,-0.30499277669156344,-0.24476015434301,-0.24148740856510936,-0.18666128893159595,-0.21580290971637306,-0.16741863050389746,-0.16164579847537058,-0.12459407795061739,-0.1258589931219445,-0.18258500694790017,-0.11691525728602795,-0.13334706225092996,-0.09461338575833954,-0.11336474131533496,-0.08916738253030614,-0.09260290725293094,-0.10505212017477505
[0.0-0.5),-0.0600825733060758,-0.1093848200492671,-0.0939961459346886,-0.10976574480093758,-0.08026485559907823,-0.08148155899815968,-0.05993562931909454,-0.053527264684824466,-0.04730744958924437,-0.03718326244345506,-0.0367399223852604,-0.029851376128458715,-0.027882392754721725,-0.022974845749795716,-0.0253457414538689,-0.022274075139985878,-0.02070856329614674,-0.018443025686188882,-0.01959106401297159
