"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-2.1533474769994883e-05,0.00010585017693251501,-0.0003725912505806035,1.9584295613094273e-05,-5.422926573545755e-06,9.609624592360072e-05,-0.0004191284422171328,-0.00018231914019049676,4.6931405697811996e-05
[8.0-8.5),,,,,,,,,,-4.402735915142607e-05,-0.00019582145174352333,0.00019640922784924076,0.00018956595057670748,0.00022558991072174034,2.326404126066405e-06,0.0003998884497354487,0.00022373703162822175,-7.038208751624357e-05,0.00039737870998841175
[7.5-8.0),,,,,,,,,,-0.0003909902398287396,-0.00023687405980495928,-0.0004223586084838148,0.0003767970750992912,-0.00032592348080898544,-0.00035145076817060596,-7.5196515964601e-05,0.0002451555672273613,-9.216577858168556e-05,-0.0002816484728925261
[7.0-7.5),,,,,,,,,,-3.8180885487483946e-05,-0.0002976208839202138,-0.00029431015402212794,-3.0512493374842983e-05,6.877725493965898e-05,0.00013385103902685322,-0.0001660674178832596,-0.0002538007259442321,6.770287991156647e-05,-0.00026887890657683764
[6.5-7.0),,,,,,,,,,-0.00028747447861627906,0.00014470336309758847,0.00017313388640650872,-0.00015858954151503707,-0.00022774028765265765,-7.04796407184415e-05,3.3458619380876365e-05,0.0003555415052870749,-8.565433258176708e-06,0.0005738021480977675
[6.0-6.5),,,,,,,,,-1.7382725392540828e-05,-3.887904172867789e-05,0.0004923908251727605,-0.00023978908177855457,0.0001082011288278962,4.419021164608306e-05,-2.4269435561778875e-05,-2.0660565369534953e-05,-2.323667367049394e-05,0.00016769958094560406,0.00018687088349347226
[5.5-6.0),,,,,,,,,-0.00026487237108258006,1.9733777161645028e-05,0.00036420499722152023,-9.745482630526589e-05,0.0002455819098013325,-0.0003413863044306418,-0.00017123531842983707,-6.921517109310935e-05,-0.0001716491716055901,-3.641391347626439e-05,-6.593359650831306e-05
[5.0-5.5),,,,,,,,-0.00014616730834948665,-8.796332920872702e-05,-4.6308549928235285e-05,0.00035570552772075853,8.523743490446619e-06,0.0004203218232784948,6.121952461268622e-05,0.0001239560431926084,-1.9172005914026144e-05,-0.00010797695036242962,0.00028510460963592947,0.0007255320057801892
[4.5-5.0),,,,,,,,0.00013515343404162344,0.0002224860740023666,-4.283492069234518e-05,-6.174601790156057e-05,9.915317528717343e-05,-1.7025647884442e-05,6.552159923807391e-05,-6.442042020177235e-05,4.673541744373624e-05,6.724290591812934e-05,0.00012691976297922366,0.00013439323900980057
[4.0-4.5),,,,,,,0.0002990642505813873,0.00026535099675270763,0.00011167627341270866,-2.5969409315913698e-05,-3.6284236398698213e-06,2.156878900523258e-05,1.2204522163609335e-05,2.7798608682642128e-05,1.2870674500073152e-05,-7.37209292442338e-05,9.556537474619588e-05,-0.0003206834359922073,-0.00015827264914050764
[3.5-4.0),,,,,,6.710606334216272e-05,-0.0001095881998126031,0.0001409290361166988,3.57659444138738e-05,-7.427030546234088e-05,0.00012993779954060234,0.00012831688298430816,-2.1066548258573566e-06,8.60088560719812e-07,0.0002554941870158954,8.901839916430353e-05,-8.892642446960584e-05,2.119478293111332e-05,-2.8979812895693323e-05
[3.0-3.5),,,,,,7.085703340762376e-06,-1.4868128893569936e-05,1.324658195981941e-05,0.00014405704291361394,-4.8295500717402964e-09,2.255673080139079e-05,8.7241989337114e-05,-4.606392206283133e-05,4.6805327718089235e-05,7.753104376547605e-06,1.3237698947176512e-05,-0.0001054024178070518,0.0001148428216234917,-3.040146580919219e-05
[2.5-3.0),,,,,,7.173890305211449e-05,-7.264252261866582e-05,8.231444409525655e-06,3.509783632191179e-05,-0.00011677893129070392,-1.67342742717295e-05,4.408573980097156e-05,2.7375249770004485e-05,-7.871827432884474e-05,-3.0632458503329604e-05,-2.841737227859541e-05,0.0001093133862626161,3.840758756189058e-05,-3.178974688860828e-05
[2.0-2.5),,,,,-5.334240347500538e-05,-3.835939421174202e-05,-5.238885738451336e-05,-6.603217640853155e-06,6.248582174984112e-05,1.0532454161957594e-05,-9.476494731853926e-05,-9.106002475376741e-06,-5.564965507032007e-05,2.342477364809817e-05,5.278703966988949e-05,-3.850893747553303e-05,-2.8890374451610807e-05,5.799571176852083e-06,8.861536146668051e-06
[1.5-2.0),,,,8.53349912776149e-05,6.70043640381292e-05,-4.961895963621833e-05,1.733554139916037e-05,-5.159240854717747e-06,-1.2350929969647538e-05,-1.4283534401987604e-05,-1.764338743091246e-05,2.235871739318195e-05,3.941553616808266e-06,5.5750494402677545e-06,-1.2062828590168431e-05,1.542106509483439e-05,6.162666286561303e-06,4.163084538594004e-05,3.444693841053462e-06
[1.0-1.5),,,-5.295082001117559e-06,-1.715872964204663e-05,0.00010386853133154105,4.496626946226608e-05,8.231388180874684e-05,-1.5178520440263245e-05,2.4110754164805788e-05,2.7980918270906728e-05,-1.633413281414996e-05,-1.79268162000289e-05,-1.2627243870222835e-05,-1.2468160152559806e-05,1.0656352130739317e-05,-9.334415755731175e-06,5.026771030844071e-06,-4.287630987343458e-06,1.9423293347368332e-05
[0.5-1.0),,-3.211582507671243e-05,3.772621842630529e-05,4.6874996551928833e-05,3.747406925226638e-05,2.5869273918653326e-05,8.921104384355982e-06,-5.067715799210286e-06,-1.7983768970853644e-05,-7.529736588451251e-06,-7.050735121247808e-06,-1.1606881166762627e-05,1.7396646478690988e-05,-9.597138802323672e-06,-1.395601882281055e-05,-1.7336731180763773e-06,-8.982738525798442e-06,3.2779667480978267e-06,1.0454638225944416e-05
[0.0-0.5),-7.020377037810234e-06,8.42898846105351e-06,6.260971320864303e-06,1.0609075040120029e-05,8.080439916181623e-06,-6.871589799619387e-06,1.6685074301167894e-06,-2.734755236143059e-07,-1.0674744724806184e-05,-2.643148929367148e-06,-4.31129170199285e-06,-2.2573308665208142e-06,-3.7649926617360665e-06,6.624075555137559e-07,-6.516800351175496e-07,1.9246306403084313e-06,-3.4541173411610716e-06,-1.0798221499914972e-06,-5.448055491196004e-06
