"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Maximum [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,106959.12605984721,122681.45800595323,102413.91943442561,82441.4338379991,63445.6643623918,81669.09258183041,56202.348867517336,54522.46744347582,49106.35653381181
[8.0-8.5),,,,,,,,,,120612.52332720578,101108.96688474783,107318.46525166857,79622.5745559114,78109.56799455342,60773.65653731541,57032.890160549534,53991.94859590755,65814.66289660732,48661.83167406269
[7.5-8.0),,,,,,,,,,140591.99025286463,98797.25032261145,88720.10065080883,78316.04850515698,74097.6774178039,77823.34884642616,60845.4737265601,51426.19205987071,47715.14968822309,41384.64322800065
[7.0-7.5),,,,,,,,,,111846.30438736419,96789.90419055574,75722.92871368943,77304.26303181774,76400.42642401888,64194.95587374054,49800.30109445961,52760.657873532706,45358.96869316823,34574.37748866776
[6.5-7.0),,,,,,,,,,91983.26331371315,101297.64949435477,69893.70337049228,60616.960751275335,60628.52484573006,51648.57434066524,47444.86275351435,39190.0699322869,39752.4012660389,31526.46075488407
[6.0-6.5),,,,,,,,,85869.08393949816,88422.7705878918,86523.72903294051,70194.55278775257,62572.413535348234,56749.09850896762,60493.81729554276,41669.842834018746,44282.84393993343,32172.096123428495,40444.30376577744
[5.5-6.0),,,,,,,,,77868.85362051544,81841.0659626682,92004.46420104927,57681.35204937561,56675.79189419502,49117.602705941594,47853.74402006241,42965.55613074327,33027.88818265936,30469.735136030144,34571.50581409868
[5.0-5.5),,,,,,,,74850.98642502878,83024.93334923255,77651.82380691945,67742.16295864881,61154.410922335046,51986.06756624789,40431.512426401605,37827.63141823476,37844.68807120965,31476.053896936268,26161.636383021392,23260.32256260145
[4.5-5.0),,,,,,,,76501.5958036468,85439.37864607412,57846.30771915136,55145.96910598113,51181.68069415188,40576.8325445378,39999.25788592046,34981.992292516996,27993.757162046844,30171.33528991601,23800.027381748503,18266.88235274976
[4.0-4.5),,,,,,,77992.79057323695,62758.743706111236,58788.37210573571,52083.13420330915,43915.47535309271,39742.33175241225,38093.70067150718,31111.25555417305,32611.720306340678,27977.68670142007,22613.992065365772,21748.68661025739,17042.04309053961
[3.5-4.0),,,,,,72691.4812621337,68421.6666566589,63659.457610970385,54788.72212204347,44382.9793412732,34634.2816913741,34559.07785958914,36203.563201995144,30740.266621840845,28207.528746281703,23175.331630490626,21077.694865757527,21126.785117084703,14539.427402755455
[3.0-3.5),,,,,,63371.35190153659,58555.53697278239,51771.416936621026,42491.336336304135,41178.73231998296,30555.553878888073,29536.275222308814,23707.127922221534,22344.08980642709,19417.144204566313,18352.58038324141,18472.461845836744,16837.421523504876,12334.214789704874
[2.5-3.0),,,,,,52218.583223994116,50870.23580153465,45128.146012500096,40207.548577539914,33974.41200816639,25285.902237383383,22340.111762195076,20557.08280286931,18456.766466027857,16494.123515645282,15118.517274263919,14182.240347535502,10200.633480227416,10410.92737477867
[2.0-2.5),,,,,48149.051331800954,43270.50398981559,37666.572746843915,35881.218266216194,36432.79589031376,27629.912492688465,25586.317388153268,16417.318667321404,18219.82084137573,15192.14709358073,11943.580641272614,10874.879658100363,9955.812806589463,8281.950529213605,7054.501560799051
[1.5-2.0),,,,44028.0816547707,37783.19448984975,37883.095885972136,28825.81554097947,27861.709250293683,26232.704812471165,18134.62289046262,14997.120995471925,12836.715472125019,11719.92007867881,11077.146664196383,9630.599218023943,7087.100372592631,5862.258042317618,5871.991394582848,4558.821454103818
[1.0-1.5),,,32576.9877358023,31919.52235922382,28064.624973460737,23854.031065894706,22823.37540491829,17757.936839767663,15595.929765533956,11397.567962549703,10664.728321705039,7489.48909379131,9496.92851243864,6081.812018135885,5770.306194921787,5327.834350868484,5203.370825698525,3787.4122737585367,2717.584247753302
[0.5-1.0),,14110.21533361717,19864.960688696217,20093.151844065338,17405.864022345577,15005.969445373477,12525.83126975995,8906.550954374263,7515.669786664111,6535.225027490929,5201.5098633825055,4976.123068155017,3591.4232974976326,3263.244161922556,2566.9003894172083,2488.0586246023413,2043.034227786584,1668.681560559554,1445.4518383793916
[0.0-0.5),1555.6045794981337,4878.928012680385,6914.801034498036,8407.427019886489,6377.112969027676,6302.100315998349,5313.654270336211,3771.670590645668,3100.0208699665277,2516.1757296801766,1748.4560688145164,1489.5810243141616,1148.5456239846058,1044.2828509894025,1034.4092594334684,701.0339058570432,622.0850525926068,529.2524856852905,392.57373692152305
