"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Force Peak To Average [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.29370608409392,6.831435063135617,6.610339443319232,5.6598588584951575,4.846703157706495,6.798646844890157,5.474191546326995,5.9701385474354725,6.0358543716549
[8.0-8.5),,,,,,,,,,5.59552037131363,5.251705296072191,6.20066746136385,5.26672285010359,5.655802128916438,5.15856462011905,5.2384624579453805,5.527138908764719,7.397064540428935,6.556562669746413
[7.5-8.0),,,,,,,,,,7.038538423293772,5.496910395748777,5.566888284949056,5.505691837689253,6.059347647819212,7.152165501863472,6.102919908495838,5.702130764793507,6.0419032298203215,6.3432915739510305
[7.0-7.5),,,,,,,,,,5.909841984223222,5.887833887207942,5.242515100160974,5.9676060448404735,6.788144232959165,6.496768111933686,5.400573862276207,6.427489427317892,6.183545258073301,5.844828972010798
[6.5-7.0),,,,,,,,,,5.350338110527343,6.57952177369416,5.215606374941304,5.079881131256631,5.953623221168593,5.512420802331194,5.710068167207444,5.049486569012502,6.153860903821998,5.747948982058658
[6.0-6.5),,,,,,,,,4.732901048950751,5.681075413898346,6.068811542752431,5.735259887799936,5.865808540900465,5.8137037624808015,7.193663619793288,5.457092696515873,6.6725125719161404,5.545430870963943,8.164592772791966
[5.5-6.0),,,,,,,,,4.693495660626891,5.480939037346414,7.255932041162678,5.303922129900316,5.914994535898355,5.767215233780774,6.545042163025922,6.3846029741594315,5.662058325717143,5.866011512511802,7.804132356079701
[5.0-5.5),,,,,,,,4.332260624511868,5.518011543441452,5.88819161820321,5.8751010582951055,6.254076734720166,6.033529005860398,5.384124333912307,5.836089031706861,6.592777458932913,6.120958330856488,5.6778455509714245,6.030432508189978
[4.5-5.0),,,,,,,,4.900440401318894,6.4393878866354335,5.071234710190577,5.476709412578121,5.831387396672339,5.41834853096193,6.003741395483112,6.057067275020758,5.467747225845614,6.400565141628408,6.11554322183852,5.462034278256152
[4.0-4.5),,,,,,,4.8802026688883275,4.6283151035014765,4.884430503873452,5.104614591947408,4.927495341978474,5.215375627183428,5.814822009227352,5.397722222983005,6.492068022228309,6.285969371630841,5.747322006812505,6.555955275834596,5.571783397233955
[3.5-4.0),,,,,,4.543293146891532,4.94050596447407,5.338518978640404,5.509728726330555,4.983538192732638,4.434759763515417,5.292892761665721,6.439823188160668,6.119839556737109,6.863077848376927,6.023503298014285,6.2523769685856,7.571013227708919,5.798623907467566
[3.0-3.5),,,,,,4.587696553222087,4.895975555956441,5.0546968347043455,4.92851560922673,5.538844288250608,4.799588708647771,5.576245148220081,4.987069074159461,5.498019382238941,5.602103790705632,5.772748731017954,6.464435030490618,7.125482340110067,6.310106176738311
[2.5-3.0),,,,,,4.496680208682271,5.072683530664236,5.330546799219928,5.488219153314247,5.61821279893883,4.834454276928075,5.057150961236599,5.427669426808608,5.6606341041290085,6.064473392208553,6.140319821410496,6.4364282828162205,5.635509563018593,6.458804482969654
[2.0-2.5),,,,,4.3565203527087295,4.523175830448083,4.655352566988749,5.363455250373216,6.374139160593885,5.506512213729078,6.18385788445879,4.7479404302543164,6.277653648688241,6.085611428689408,5.630502720621363,5.705467270951303,5.975918921871251,6.059464572554249,5.829792266240702
[1.5-2.0),,,,4.647817252979374,4.358243312300813,5.137299248088075,4.688421155160409,5.370154037518097,5.927327181718992,4.934917078194984,4.916430440516976,5.110941789376395,5.4376377097178805,6.059862701930054,6.116007560364333,5.176668687081719,4.891318513218812,5.7558775699430536,5.277923706046369
[1.0-1.5),,,4.694609499525354,4.625027357942581,4.513415304816041,4.484705687643409,5.146436972199523,4.920867095067968,5.184899324454542,4.5199305130061544,5.098597305692036,4.334699271342601,6.431275482098862,4.938246878648748,5.6864952812953105,5.8203331649730305,6.60940137474093,5.73041689618859,4.958990423766002
[0.5-1.0),,4.874250205136691,4.671175592010395,4.676059706511857,4.491678955104643,4.659695617328365,4.750174529152952,4.0930060847798355,4.239314793882356,4.437899375065712,4.303300456244482,5.033143623824253,4.326481740493222,4.697900029549952,4.555361921197932,4.9179287804195635,4.696458276432392,4.668229685813046,4.990090126739367
[0.0-0.5),4.414640432245164,4.917603929080816,4.7206647826375265,5.607372974278688,4.624474342044137,5.5119939304836265,5.7226255156254595,5.0901380473692575,5.0660947457332375,5.081647325308362,4.3586428844736105,4.627105858213379,4.2897947333251,4.691301818716899,5.655511723888257,4.409034513134515,4.573523327787443,4.7757037204768205,4.393913090035597
