"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Break Calculation [non-dimensional]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888
[8.0-8.5),,,,,,,,,,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095,1.3095238095238095
[7.5-8.0),,,,,,,,,,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302,1.2301587301587302
[7.0-7.5),,,,,,,,,,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651,1.150793650793651
[6.5-7.0),,,,,,,,,,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714
[6.0-6.5),,,,,,,,,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921
[5.5-6.0),,,,,,,,,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9126984126984127
[5.0-5.5),,,,,,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
[4.5-5.0),,,,,,,,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254
[4.0-4.5),,,,,,,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746,0.6746031746031746
[3.5-4.0),,,,,,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5952380952380952
[3.0-3.5),,,,,,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159,0.5158730158730159
[2.5-3.0),,,,,,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365,0.4365079365079365
[2.0-2.5),,,,,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715
[1.5-2.0),,,,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778
[1.0-1.5),,,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843,0.19841269841269843
[0.5-1.0),,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.11904761904761905
[0.0-0.5),0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968
