"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,1.0390195372171898,0.7637191929671944,0.5737188216555118,0.44028417943285897,0.36206641417700813,0.2926349237163334,0.25839315829623927,0.21134259805448116,0.17000584858890247,0.14799160424018076,0.12218433726125352,0.10458312662280464,0.08567259287128927,0.08050680236623028,0.06895738498037307
[4.0-4.5),,,,,,,1.6010345005176168,1.1490559753556684,0.8344862209510372,0.6668718768074234,0.49175702612836425,0.38483438998342573,0.3234741709008099,0.2850687452434402,0.2326331260562207,0.1895278540793054,0.16006045776884342,0.1312021700987497,0.11701235814110457,0.09957509682999219,0.0872813132044923,0.07257946976906193
[3.5-4.0),,,,,,2.659904119768908,1.79052235136475,1.2938171865099188,0.9457967926794,0.7416938894169928,0.5688996539055092,0.439333781001549,0.3464330568052318,0.32082492354147,0.2572052848187162,0.21885224351646512,0.17722177829498745,0.14453808934167053,0.1267613020845629,0.10616995424638648,0.10148735635548814,0.07560990841547209
[3.0-3.5),,,,,,2.99874591182353,2.0620253528468675,1.4967794461905166,1.114353541315443,0.8226100143267903,0.6414711763064551,0.5060731186959273,0.4074108223145736,0.3534256368022074,0.2869656932350516,0.24612709644224287,0.2012663766066973,0.1658912512655138,0.13977459505903359,0.11888644038793833,0.1060098431451515,0.08865084624625351
[2.5-3.0),,,,,,3.1961017259118427,2.374251809755696,1.752506158191894,1.2766787302172393,0.9461828494447206,0.7442884486507587,0.5813210584209668,0.4794603566731642,0.4031129065829459,0.3248834153983389,0.274036634007135,0.22354392323039668,0.1830779318486101,0.15978071405508154,0.13646164573958508,0.1207255468075471,0.09831021137049017
[2.0-2.5),,,,,4.142342483559769,3.521537336700547,2.5998740992577316,1.9758020920677952,1.510855732146215,1.1665579302823466,0.8917061821431753,0.6879508369358895,0.5540735021123152,0.45685362129987495,0.38263442865513686,0.3018976290327423,0.263846623494466,0.21742499241914257,0.18786910717627614,0.15923314608830233,0.1385775128060048,0.1143315976792848
[1.5-2.0),,,,4.948491119934676,4.125886295588971,3.6915512794211818,2.9593231333095362,2.293247388581336,1.8477845042131846,1.3741530739347054,1.0806678160645522,0.8166861418541201,0.6765704251137588,0.5461530389331289,0.45075264142912636,0.3603339409348195,0.31545796391966263,0.25055821378928894,0.21184486600397612,0.18064153038589092,0.1532072513573629,0.12457613268460284
[1.0-1.5),,,5.478148016229462,4.987367295350849,4.199166016347186,3.697689511427483,3.1853503375851813,2.759229714030187,2.1109192842326325,1.5871056489551763,1.2864914290128213,1.0559384889505958,0.8397807206170433,0.661481492661444,0.5471230187457704,0.44365994785447127,0.35849023609865216,0.3045616565869777,0.25074673151527244,0.20486866866335512,0.18178532634638095,0.14726174857586924
[0.5-1.0),,4.814967819660832,5.4728537279582925,4.983383777245489,4.278078422913179,3.75547686225167,3.4673081976812385,2.958654868916832,2.5770525878588484,2.0416948263138615,1.633183921752154,1.3133161067259456,1.0564721101727088,0.8037158026662506,0.6228759267276099,0.5419250134040529,0.439758126817192,0.365685524383562,0.30539003707935447,0.24755521306626777,0.1965591953096358,0.17790873182735695
[0.0-0.5),2.9797303747619637,4.8402974028849535,5.5336169279655065,5.069081545908001,4.391229888584604,3.6920146355044015,3.4150754203379354,3.183708516537213,3.153367499381815,2.3834855254723117,2.033981393376592,1.546658290643721,1.2832933780425155,0.9295708056329895,0.8363158629969792,0.6049478371294248,0.519271155055432,0.39958574917868533,0.35743062438280365,0.29087475043510175,0.22433033288412912,0.20203155119800978
