"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,517529.4752682875,1251469.645948774,518231.19011845626,928630.2956728548,799666.7171353407,905402.0004173749,843306.9380954519,757173.9245261189,780399.9132196036,279739.3437712702,666146.5282107007,786563.7284243501,662343.1189570775,658954.9953057083,734469.4926985702
[4.0-4.5),,,,,,,574375.6132095788,784906.5761370395,402868.50945412315,434752.7106094791,418769.22748948226,336656.0381300192,708783.6399082475,325945.7229927819,817612.459723882,471944.5596619689,269663.90240639227,591463.6723613901,565485.7913141252,758468.4610467958,503787.07826870185,209110.41835396198
[3.5-4.0),,,,,,765124.8096112618,541893.9101577152,420238.77766633703,409524.21355643723,343273.3980479701,310270.936775132,277630.1643876673,317805.9198064302,323686.36371596035,275812.91938932124,588503.8405348868,255347.72681660546,249413.1403219957,236891.29911530606,190451.99328139191,617675.4291117481,189836.51637110344
[3.0-3.5),,,,,,571024.7409348172,511527.0058537601,417480.0987895286,406078.24619314336,328837.35125101707,255448.76148063136,277852.3471983969,231930.18071401896,251143.00684449327,232530.79448630742,238085.37943231792,218142.00126517308,215537.6084438578,198285.0650000808,197343.80384016735,243023.9424909695,157764.2916545264
[2.5-3.0),,,,,,542354.992124627,380216.55384795216,397838.12777914124,322991.5870362156,289668.0135368061,240741.0738647603,232435.49961030527,215972.05197737203,236240.5579609472,244082.65261344347,198238.37237697555,180186.25718735074,169334.39072341193,177396.89624279554,180304.3896040761,178740.06221102632,137787.05693368916
[2.0-2.5),,,,,489917.7863237571,428746.5783577014,342841.6321726103,309673.5284435345,296452.7091009147,239929.93431426605,264443.2998513736,194282.56444899426,177334.97251521682,196303.9238183748,183156.95248180928,159710.30480397993,179457.77643323742,179375.27889764632,152406.4062528455,156863.90553309623,172283.94251398137,125992.3832849314
[1.5-2.0),,,,523422.2507201841,451037.3071883231,301873.52971394116,266607.85016286926,233588.06896138072,260189.20128470837,183130.8359285932,180359.44261827169,152799.0868703576,145986.90223740225,166913.9885545054,193760.86330369447,140701.97849214656,133886.59451906153,132444.75600976203,125862.68530092938,118411.79199041154,122818.17871773068,110728.31071512813
[1.0-1.5),,,359025.1552053229,352480.19111436093,314128.29728627397,240738.7742928492,200941.15955359448,196092.05785598778,151970.29205040174,166846.27454243178,137553.23119691366,122579.6621262325,136879.1635085399,126286.44633609422,122133.42377114037,110506.35324288503,103795.8660064914,103450.37137092376,90360.96434230113,79965.25164245155,87167.20742313161,74190.68930884116
[0.5-1.0),,203045.8695932593,247691.0429926772,251213.09376921246,195131.56821091505,159304.80617562105,136554.56989525873,111715.55775917557,116321.8378399944,95648.94980686228,92550.58308052372,85954.60341482902,74613.6369475995,90546.36703273733,84788.65031694557,80474.14851888762,67998.60603072542,59781.87110016643,56646.70108229064,53656.324527164754,63386.256633598176,55746.26122058605
[0.0-0.5),31336.228522808367,62126.53093066016,78284.18650202891,72007.54808371687,68852.9059746619,49361.24783246768,41955.64949851739,47673.76814607132,43051.66720046388,37210.14867506552,37155.781081734196,35334.52508242936,37301.073467185684,35363.503165692855,35102.46353313249,26571.736260620346,27113.842201454976,23961.322677699118,22432.101963277426,23974.005801544896,21255.446687200423,22255.764964262875
