"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,310746.30930990225,1023601.0847202102,297114.0019115725,390154.0208899469,389870.0940687893,611698.5149654477,449280.7759080593,474088.52574392105,380659.1078723634,296153.8924382974,338144.4813063938,434002.56114713656
[4.0-4.5),,,,,,,286397.11311303655,616497.5335318302,288238.4528549376,276399.6433639114,268011.86313681724,265771.8949108707,499507.26828153507,269338.5681402414,302051.8315812415,285218.7016992611,258393.54153697233,271257.46448653826,293766.95486469474
[3.5-4.0),,,,,,302660.691784796,301422.41165928287,248811.59389114362,251168.71600039475,262319.3155803189,247724.74643506482,262469.19480915566,292861.0420491878,245041.39218756158,252721.66720419607,315628.1059603259,241605.78790531258,246936.68868591267,250864.3112677902
[3.0-3.5),,,,,,239681.6530331215,246553.27606799212,248133.7013179248,250283.45798656894,243106.02890357,234386.47728137227,260970.8118187537,234288.41715482684,218307.22589986346,215550.324652828,232313.30623369876,231982.41918735832,212140.41545776188,215006.11396514098
[2.5-3.0),,,,,,214155.46511139927,226685.1666413688,224817.96365692336,220913.7548634839,226590.95973738647,215999.9461831126,200225.12480483192,208900.3985564722,219916.58487486298,196991.3946929522,203676.0040102979,219572.88383278906,223373.8384033257,203089.81789357364
[2.0-2.5),,,,,168536.24898118526,186237.38874989227,201329.60092973956,205525.01112580168,206622.5293432752,213619.18369802134,199054.2432562914,200194.49646270782,192035.99369491957,202666.47855123767,187136.64300402353,191042.07554947137,200942.49693479334,193264.7453134378,189740.7320634367
[1.5-2.0),,,,145365.74295861536,159562.9053928881,170205.9464453134,178184.86699416745,192228.17884727116,181144.75670339953,183588.62501047473,174401.0478196274,169891.11581631258,177565.57586332073,180269.83483682896,166892.60089811048,166729.38509431324,157163.90270703883,154305.25511586978,164537.98269719322
[1.0-1.5),,,109147.22146072472,117037.015268336,134512.07740228446,148663.34949417145,154944.11324013164,164011.86298909562,156612.01538273288,161841.92585111485,150854.71436143128,155454.30554491357,147864.59632144446,147110.5489117757,145258.46552326105,152264.80847960533,147810.52023319912,139636.28764936034,136245.41923281102
[0.5-1.0),,91337.7550171377,99786.13329707467,102351.9915606793,107458.93157505375,116823.48293471358,126740.77398723956,125450.99693830869,134899.89350176018,123056.62013198016,128414.15112396174,128797.84368773969,128462.34293894737,119907.70346132496,120462.9081406173,121620.79339114894,117885.48058121886,112920.55927016337,116429.4747327023
[0.0-0.5),83151.3893305984,85385.43251653195,87629.26999409836,88801.20029983443,90020.63119462208,90830.2802797435,93576.2204359873,95269.18517761743,95817.11263006026,94537.75240466134,94751.33866046245,94035.83744045082,96767.46072688322,94400.80021549044,93689.64503173591,92055.82415393712,92814.46059822626,93773.63195288266,92840.48470405184
