"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,5.008311676395954,13.36988576061728,6.040160292809663,11.957762015474811,10.85344384247353,13.243694768015859,11.239526268488438,10.820218754657724,11.984071551682511,4.431039462162552,11.497145165577706,14.398032051285078
[4.0-4.5),,,,,,,5.3014221780147075,8.07058087632247,4.5536936717456395,5.235018102546834,5.616418179305555,4.8670986675277685,10.77103699901456,4.523113953828649,12.275849687781905,7.6296545683732475,4.603895646975614,10.971467949910334,10.864271994997921
[3.5-4.0),,,,,,5.993246427962059,5.363266313807473,4.528236780726346,4.921569970897025,4.398587434269108,4.333202327415454,4.2532509344802305,5.302122187326625,4.791005562211044,4.368285596726971,9.949431559607813,4.650558897172079,4.9208715803444205,4.8547787504095306
[3.0-3.5),,,,,,4.795879646119948,5.415154429025172,4.845742771205287,5.165020934136827,4.630860986470186,3.8554892599088677,4.528293168528534,4.064637748378025,4.058348666861869,4.0505027966005915,4.308780002972317,4.26010080988104,4.51607851250938,4.401444032442245
[2.5-3.0),,,,,,5.269298184411097,4.412177619655947,5.007616835698618,4.563428225494719,4.49385385868191,3.971541473748446,4.173802239122021,4.11045941767383,4.231249533448843,4.671921722019707,4.00660642794826,3.964584063609843,3.9740909826057584,4.35816469350346
[2.0-2.5),,,,,4.3300395655374615,4.826324594271355,4.71294641462551,4.5214391228699435,4.632610241571284,4.051075128715247,4.916490788520259,3.9200722429531356,3.8333007369528698,4.013870480961826,3.918234663263346,3.7925481686866345,4.369421489158592,4.731627125801415,4.178438688745316
[1.5-2.0),,,,4.832574156073372,5.1404500564728055,4.295369013819918,4.387525141787829,4.091192920190194,4.72347049155768,3.6817935404600575,3.933352374048198,3.661124845842074,3.692159683630672,4.044673577120142,4.95480886578249,3.9075443825113223,3.862498647666702,4.167188370667735,4.186359460942965
[1.0-1.5),,,4.473166511621323,4.529216314143874,4.933841566278483,4.7746795169396075,4.512163074040791,4.421011198898004,3.699580424869445,4.445598857634917,3.830880754499669,3.616853258109241,4.352503193828868,3.875077861009697,4.008687897218583,3.8992017688708254,3.9439829852908126,4.145732595911543,3.9238650150429932
[0.5-1.0),,5.147447632341579,5.1597917542493414,5.371093265188176,5.107087455843341,5.2818006922884155,4.9001487102119405,4.072819451233017,4.278045229452957,3.746984124687906,3.8554591435965895,3.856465680702211,3.5910054369892217,4.248316128409646,4.382319659779272,4.349113354218737,3.9263991166796366,3.68674844583178,3.7213804127570014
[0.0-0.5),5.0019246144285185,4.709352268468099,4.817404846875804,4.641316464688393,5.30991033881103,4.914429254397429,4.610122225509271,5.074845635298737,4.380198887788542,4.107912320567879,4.2623277631959064,4.465702816215948,4.938587489938127,4.698593810398398,4.811478547296321,4.107829771264565,4.399616646532996,4.322574000869644,4.1169400043068505
